analysis_sample,analysis_region,metadata_quality,n,prop
DIEGO,EUROPE,metadata_complete,1857,0.9778830963665087
DIEGO,EUROPE,metadata_partial,42,0.022116903633491312
POOLED_ALL,ALL,metadata_complete,4306,0.9053826745164003
POOLED_ALL,ALL,metadata_partial,344,0.07232968881412952
POOLED_ALL,ALL,metadata_poor,106,0.022287636669470142
RENOVISOR,EUROPE,metadata_complete,988,0.8039056143205858
RENOVISOR,EUROPE,metadata_partial,135,0.10984540276647681
RENOVISOR,EUROPE,metadata_poor,106,0.08624898291293735
WHY_EUROPE,EUROPE,metadata_complete,988,0.997979797979798
WHY_EUROPE,EUROPE,metadata_partial,2,0.00202020202020202
WHY_LATAM,LATAM,metadata_complete,473,0.7413793103448276
WHY_LATAM,LATAM,metadata_partial,165,0.25862068965517243
