dataset_source,n_rows,variable,n_valid,prop_valid
diego,1899,age_group_model,1899,1
rv,1229,age_group_model,1014,0.8250610252237591
why,990,age_group_model,988,0.997979797979798
diego,1899,age_model,1899,1
rv,1229,age_model,1014,0.8250610252237591
why,990,age_model,988,0.997979797979798
diego,1899,city_size_model,0,0
rv,1229,city_size_model,1120,0.9113100081366965
why,990,city_size_model,0,0
diego,1899,country_birth_model,0,0
rv,1229,country_birth_model,0,0
why,990,country_birth_model,977,0.9868686868686869
diego,1899,country_model,1899,1
rv,1229,country_model,1113,0.9056143205858421
why,990,country_model,990,1
diego,1899,country_model_grouped,1899,1
rv,1229,country_model_grouped,1113,0.9056143205858421
why,990,country_model_grouped,990,1
diego,1899,education_model,1883,0.9915745129015271
rv,1229,education_model,871,0.708706265256306
why,990,education_model,2,0.00202020202020202
diego,1899,employment_model,1874,0.9868351764086362
rv,1229,employment_model,885,0.7200976403580146
why,990,employment_model,774,0.7818181818181819
diego,1899,ethnicity_model,0,0
rv,1229,ethnicity_model,0,0
why,990,ethnicity_model,957,0.9666666666666667
diego,1899,gender_model,1857,0.9778830963665087
rv,1229,gender_model,1098,0.8934092758340114
why,990,gender_model,988,0.997979797979798
diego,1899,income_model,1764,0.9289099526066351
rv,1229,income_model,0,0
why,990,income_model,0,0
diego,1899,language_model,0,0
rv,1229,language_model,156,0.12693246541903988
why,990,language_model,990,1
diego,1899,nationality_model,0,0
rv,1229,nationality_model,0,0
why,990,nationality_model,986,0.9959595959595959
diego,1899,num_children_model,682,0.3591363875724065
rv,1229,num_children_model,0,0
why,990,num_children_model,0,0
diego,1899,political_block_model,0,0
rv,1229,political_block_model,953,0.7754271765663141
why,990,political_block_model,0,0
diego,1899,political_left_right_model,0,0
rv,1229,political_left_right_model,953,0.7754271765663141
why,990,political_left_right_model,0,0
diego,1899,self_classification_model,0,0
rv,1229,self_classification_model,1086,0.8836452400325467
why,990,self_classification_model,0,0
diego,1899,student_status_model,0,0
rv,1229,student_status_model,0,0
why,990,student_status_model,939,0.9484848484848485
diego,1899,tenure_model,0,0
rv,1229,tenure_model,1075,0.8746948738812043
why,990,tenure_model,0,0
diego,1899,vote_status_declared,0,0
rv,1229,vote_status_declared,1101,0.8958502847843776
why,990,vote_status_declared,0,0
diego,1899,voted_observed,0,0
rv,1229,voted_observed,626,0.5093572009764036
why,990,voted_observed,0,0
