analysis_sample,analysis_region,component_n_variable,n_rows,n_rows_with_any,prop_rows_with_any,mean_n_non_missing,min_n_non_missing,max_n_non_missing
DIEGO,EUROPE,n_attention_quality_non_missing,1899,0,0,0,0,0
DIEGO,EUROPE,n_concerns_barriers_non_missing,1899,0,0,0,0,0
DIEGO,EUROPE,n_det_non_missing,1899,1899,1,32,32,32
DIEGO,EUROPE,n_energy_crisis_non_missing,1899,0,0,0,0,0
DIEGO,EUROPE,n_poverty_non_missing,1899,0,0,0,0,0
DIEGO,EUROPE,n_tariffs_costs_payback_non_missing,1899,0,0,0,0,0
DIEGO,EUROPE,n_technology_adoption_non_missing,1899,0,0,0,0,0
DIEGO,EUROPE,n_trust_information_non_missing,1899,1899,1,2,2,2
POOLED_ALL,ALL,n_attention_quality_non_missing,4756,2695,0.5666526492851135,0.8433557611438247,0,7
POOLED_ALL,ALL,n_concerns_barriers_non_missing,4756,2827,0.5944070647603028,5.681034482758271,0,145
POOLED_ALL,ALL,n_det_non_missing,4756,4462,0.9381833473507148,29.480235492009975,0,32
POOLED_ALL,ALL,n_energy_crisis_non_missing,4756,2788,0.5862068965517241,11.745374264087285,0,161
POOLED_ALL,ALL,n_poverty_non_missing,4756,326,0.06854499579478554,2.2563078216988184,0,159
POOLED_ALL,ALL,n_tariffs_costs_payback_non_missing,4756,2854,0.6000841042893188,21.73633305298605,0,136
POOLED_ALL,ALL,n_technology_adoption_non_missing,4756,2852,0.599663582842725,16.252943650125882,0,136
POOLED_ALL,ALL,n_trust_information_non_missing,4756,4756,1,9.661059714045342,2,52
RENOVISOR,EUROPE,n_attention_quality_non_missing,1229,1212,0.9861676159479251,2.0569568755085412,0,7
RENOVISOR,EUROPE,n_concerns_barriers_non_missing,1229,1226,0.9975589910496339,18.145646867371845,0,145
RENOVISOR,EUROPE,n_det_non_missing,1229,955,0.7770545158665582,23.589096826688397,0,32
RENOVISOR,EUROPE,n_energy_crisis_non_missing,1229,1176,0.9568755085435313,22.404393816110687,0,161
RENOVISOR,EUROPE,n_poverty_non_missing,1229,326,0.26525630593978844,8.731489015459694,0,159
RENOVISOR,EUROPE,n_tariffs_costs_payback_non_missing,1229,1226,0.9975589910496339,30.592351505288836,0,136
RENOVISOR,EUROPE,n_technology_adoption_non_missing,1229,1226,0.9975589910496339,49.184703010577685,0,136
RENOVISOR,EUROPE,n_trust_information_non_missing,1229,1229,1,12.34499593165176,2,52
WHY_EUROPE,EUROPE,n_attention_quality_non_missing,990,984,0.9939393939393939,0.9939393939393939,0,1
WHY_EUROPE,EUROPE,n_concerns_barriers_non_missing,990,978,0.9878787878787879,2.918181818181818,0,3
WHY_EUROPE,EUROPE,n_det_non_missing,990,981,0.990909090909091,31.235353535353532,0,32
WHY_EUROPE,EUROPE,n_energy_crisis_non_missing,990,981,0.990909090909091,3.177777777777778,0,39
WHY_EUROPE,EUROPE,n_poverty_non_missing,990,0,0,0,0,0
WHY_EUROPE,EUROPE,n_tariffs_costs_payback_non_missing,990,990,1,26.802020202020202,4,64
WHY_EUROPE,EUROPE,n_technology_adoption_non_missing,990,988,0.997979797979798,10.236363636363638,0,14
WHY_EUROPE,EUROPE,n_trust_information_non_missing,990,990,1,9.823232323232324,3,27
WHY_LATAM,LATAM,n_attention_quality_non_missing,638,499,0.7821316614420063,0.782131661442005,0,1
WHY_LATAM,LATAM,n_concerns_barriers_non_missing,638,623,0.9764890282131662,2.8667711598746073,0,3
WHY_LATAM,LATAM,n_det_non_missing,638,627,0.9827586206896551,30.605015673981185,0,32
WHY_LATAM,LATAM,n_energy_crisis_non_missing,638,631,0.9890282131661442,39.467084639498424,0,43
WHY_LATAM,LATAM,n_poverty_non_missing,638,0,0,0,0,0
WHY_LATAM,LATAM,n_tariffs_costs_payback_non_missing,638,638,1,61.51410658307207,2,73
WHY_LATAM,LATAM,n_technology_adoption_non_missing,638,638,1,10.528213166144218,1,16
WHY_LATAM,LATAM,n_trust_information_non_missing,638,638,1,27.04231974921631,4,29
