comparison_region,subsample,dataset_source,component_n_variable,n_rows,n_rows_with_any,prop_rows_with_any,mean_n_non_missing,min_n_non_missing,max_n_non_missing
EUROPE,DIEGO,diego,n_attention_quality_non_missing,1899,0,0,0,0,0
EUROPE,DIEGO,diego,n_concerns_barriers_non_missing,1899,0,0,0,0,0
EUROPE,DIEGO,diego,n_det_non_missing,1899,1899,1,32,32,32
EUROPE,DIEGO,diego,n_energy_crisis_non_missing,1899,0,0,0,0,0
EUROPE,DIEGO,diego,n_poverty_non_missing,1899,0,0,0,0,0
EUROPE,DIEGO,diego,n_tariffs_costs_payback_non_missing,1899,0,0,0,0,0
EUROPE,DIEGO,diego,n_technology_adoption_non_missing,1899,0,0,0,0,0
EUROPE,DIEGO,diego,n_trust_information_non_missing,1899,1899,1,2,2,2
EUROPE,RENOVISOR,rv,n_attention_quality_non_missing,1229,1212,0.9861676159479251,2.0569568755085412,0,7
EUROPE,RENOVISOR,rv,n_concerns_barriers_non_missing,1229,1226,0.9975589910496339,18.145646867371845,0,145
EUROPE,RENOVISOR,rv,n_det_non_missing,1229,955,0.7770545158665582,23.589096826688397,0,32
EUROPE,RENOVISOR,rv,n_energy_crisis_non_missing,1229,1176,0.9568755085435313,22.404393816110687,0,161
EUROPE,RENOVISOR,rv,n_poverty_non_missing,1229,326,0.26525630593978844,8.731489015459694,0,159
EUROPE,RENOVISOR,rv,n_tariffs_costs_payback_non_missing,1229,1226,0.9975589910496339,30.592351505288836,0,136
EUROPE,RENOVISOR,rv,n_technology_adoption_non_missing,1229,1226,0.9975589910496339,49.184703010577685,0,136
EUROPE,RENOVISOR,rv,n_trust_information_non_missing,1229,1229,1,12.34499593165176,2,52
EUROPE,WHY_EUROPE,why,n_attention_quality_non_missing,990,984,0.9939393939393939,0.9939393939393939,0,1
EUROPE,WHY_EUROPE,why,n_concerns_barriers_non_missing,990,978,0.9878787878787879,2.918181818181818,0,3
EUROPE,WHY_EUROPE,why,n_det_non_missing,990,981,0.990909090909091,31.235353535353532,0,32
EUROPE,WHY_EUROPE,why,n_energy_crisis_non_missing,990,981,0.990909090909091,3.177777777777778,0,39
EUROPE,WHY_EUROPE,why,n_poverty_non_missing,990,0,0,0,0,0
EUROPE,WHY_EUROPE,why,n_tariffs_costs_payback_non_missing,990,990,1,26.802020202020202,4,64
EUROPE,WHY_EUROPE,why,n_technology_adoption_non_missing,990,988,0.997979797979798,10.236363636363638,0,14
EUROPE,WHY_EUROPE,why,n_trust_information_non_missing,990,990,1,9.823232323232324,3,27
LATAM,WHY_LATAM,why,n_attention_quality_non_missing,638,499,0.7821316614420063,0.782131661442005,0,1
LATAM,WHY_LATAM,why,n_concerns_barriers_non_missing,638,623,0.9764890282131662,2.8667711598746073,0,3
LATAM,WHY_LATAM,why,n_det_non_missing,638,627,0.9827586206896551,30.605015673981185,0,32
LATAM,WHY_LATAM,why,n_energy_crisis_non_missing,638,631,0.9890282131661442,39.467084639498424,0,43
LATAM,WHY_LATAM,why,n_poverty_non_missing,638,0,0,0,0,0
LATAM,WHY_LATAM,why,n_tariffs_costs_payback_non_missing,638,638,1,61.51410658307207,2,73
LATAM,WHY_LATAM,why,n_technology_adoption_non_missing,638,638,1,10.528213166144218,1,16
LATAM,WHY_LATAM,why,n_trust_information_non_missing,638,638,1,27.04231974921631,4,29
