dataset_source,det_col,n_rows,n_missing,prop_missing,n_out_of_range
diego,det_01_profits,1899,0,0,0
diego,det_02_credit_score,1899,0,0,0
diego,det_03_risk_profile,1899,0,0,0
diego,det_04_added_value,1899,0,0,0
diego,det_05_frugality,1899,0,0,0
diego,det_06_climate_protection,1899,0,0,0
diego,det_07_legal,1899,0,0,0
diego,det_08_trust,1899,0,0,0
diego,det_09_safety,1899,0,0,0
diego,det_10_cost_efficiency,1899,0,0,0
diego,det_11_knowledge,1899,0,0,0
diego,det_12_own_competence,1899,0,0,0
diego,det_13_technical_fit,1899,0,0,0
diego,det_14_environmental_concerns,1899,0,0,0
diego,det_15_self_satisfaction,1899,0,0,0
diego,det_16_commitment,1899,0,0,0
diego,det_17_adherence,1899,0,0,0
diego,det_18_autonomy,1899,0,0,0
diego,det_19_wellbeing,1899,0,0,0
diego,det_20_coziness,1899,0,0,0
diego,det_21_rights_and_duties,1899,0,0,0
diego,det_22_peer_pressure,1899,0,0,0
diego,det_23_support,1899,0,0,0
diego,det_24_socialising,1899,0,0,0
diego,det_25_agreement,1899,0,0,0
diego,det_26_novelty,1899,0,0,0
diego,det_27_fun,1899,0,0,0
diego,det_28_recognition,1899,0,0,0
diego,det_29_trends,1899,0,0,0
diego,det_30_authority,1899,0,0,0
diego,det_31_approval,1899,0,0,0
diego,det_32_own_significance,1899,0,0,0
rv,det_01_profits,1229,299,0.24328722538649308,0
rv,det_02_credit_score,1229,310,0.25223759153783565,0
rv,det_03_risk_profile,1229,302,0.24572823433685922,0
rv,det_04_added_value,1229,303,0.24654190398698128,0
rv,det_05_frugality,1229,306,0.24898291293734745,0
rv,det_06_climate_protection,1229,281,0.22864117168429618,0
rv,det_07_legal,1229,301,0.2449145646867372,0
rv,det_08_trust,1229,292,0.23759153783563874,0
rv,det_09_safety,1229,303,0.24654190398698128,0
rv,det_10_cost_efficiency,1229,297,0.24165988608624897,0
rv,det_11_knowledge,1229,285,0.23189585028478438,0
rv,det_12_own_competence,1229,305,0.2481692432872254,0
rv,det_13_technical_fit,1229,294,0.23921887713588283,0
rv,det_14_environmental_concerns,1229,283,0.23026851098454026,0
rv,det_15_self_satisfaction,1229,296,0.24084621643612694,0
rv,det_16_commitment,1229,293,0.23840520748576077,0
rv,det_17_adherence,1229,302,0.24572823433685922,0
rv,det_18_autonomy,1229,298,0.24247355573637103,0
rv,det_19_wellbeing,1229,295,0.24003254678600489,0
rv,det_20_coziness,1229,298,0.24247355573637103,0
rv,det_21_rights_and_duties,1229,293,0.23840520748576077,0
rv,det_22_peer_pressure,1229,296,0.24084621643612694,0
rv,det_23_support,1229,303,0.24654190398698128,0
rv,det_24_socialising,1229,297,0.24165988608624897,0
rv,det_25_agreement,1229,297,0.24165988608624897,0
rv,det_26_novelty,1229,293,0.23840520748576077,0
rv,det_27_fun,1229,299,0.24328722538649308,0
rv,det_28_recognition,1229,295,0.24003254678600489,0
rv,det_29_trends,1229,296,0.24084621643612694,0
rv,det_30_authority,1229,300,0.24410089503661514,0
rv,det_31_approval,1229,292,0.23759153783563874,0
rv,det_32_own_significance,1229,296,0.24084621643612694,0
why,det_01_profits,1628,35,0.0214987714987715,0
why,det_02_credit_score,1628,35,0.0214987714987715,0
why,det_03_risk_profile,1628,33,0.02027027027027027,0
why,det_04_added_value,1628,40,0.02457002457002457,0
why,det_05_frugality,1628,34,0.020884520884520884,0
why,det_06_climate_protection,1628,35,0.0214987714987715,0
why,det_07_legal,1628,35,0.0214987714987715,0
why,det_08_trust,1628,36,0.022113022113022112,0
why,det_09_safety,1628,36,0.022113022113022112,0
why,det_10_cost_efficiency,1628,34,0.020884520884520884,0
why,det_11_knowledge,1628,33,0.02027027027027027,0
why,det_12_own_competence,1628,34,0.020884520884520884,0
why,det_13_technical_fit,1628,37,0.022727272727272728,0
why,det_14_environmental_concerns,1628,33,0.02027027027027027,0
why,det_15_self_satisfaction,1628,36,0.022113022113022112,0
why,det_16_commitment,1628,33,0.02027027027027027,0
why,det_17_adherence,1628,34,0.020884520884520884,0
why,det_18_autonomy,1628,29,0.017813267813267815,0
why,det_19_wellbeing,1628,33,0.02027027027027027,0
why,det_20_coziness,1628,33,0.02027027027027027,0
why,det_21_rights_and_duties,1628,35,0.0214987714987715,0
why,det_22_peer_pressure,1628,34,0.020884520884520884,0
why,det_23_support,1628,32,0.019656019656019656,0
why,det_24_socialising,1628,34,0.020884520884520884,0
why,det_25_agreement,1628,32,0.019656019656019656,0
why,det_26_novelty,1628,35,0.0214987714987715,0
why,det_27_fun,1628,34,0.020884520884520884,0
why,det_28_recognition,1628,37,0.022727272727272728,0
why,det_29_trends,1628,35,0.0214987714987715,0
why,det_30_authority,1628,36,0.022113022113022112,0
why,det_31_approval,1628,37,0.022727272727272728,0
why,det_32_own_significance,1628,37,0.022727272727272728,0
