dataset_source,det_col,n_rows,n_missing,prop_missing,n_out_of_range
diego,det_01_profits,1899,0,0,0
diego,det_02_credit_score,1899,0,0,0
diego,det_03_risk_profile,1899,0,0,0
diego,det_04_added_value,1899,0,0,0
diego,det_05_frugality,1899,0,0,0
diego,det_06_climate_protection,1899,0,0,0
diego,det_07_legal,1899,0,0,0
diego,det_08_trust,1899,0,0,0
diego,det_09_safety,1899,0,0,0
diego,det_10_cost_efficiency,1899,0,0,0
diego,det_11_knowledge,1899,0,0,0
diego,det_12_own_competence,1899,0,0,0
diego,det_13_technical_fit,1899,0,0,0
diego,det_14_environmental_concerns,1899,0,0,0
diego,det_15_self_satisfaction,1899,0,0,0
diego,det_16_commitment,1899,0,0,0
diego,det_17_adherence,1899,0,0,0
diego,det_18_autonomy,1899,0,0,0
diego,det_19_wellbeing,1899,0,0,0
diego,det_20_coziness,1899,0,0,0
diego,det_21_rights_and_duties,1899,0,0,0
diego,det_22_peer_pressure,1899,0,0,0
diego,det_23_support,1899,0,0,0
diego,det_24_socialising,1899,0,0,0
diego,det_25_agreement,1899,0,0,0
diego,det_26_novelty,1899,0,0,0
diego,det_27_fun,1899,0,0,0
diego,det_28_recognition,1899,0,0,0
diego,det_29_trends,1899,0,0,0
diego,det_30_authority,1899,0,0,0
diego,det_31_approval,1899,0,0,0
diego,det_32_own_significance,1899,0,0,0
rv,det_12_own_competence,703,348,0.4950213371266003,0
rv,det_23_support,703,344,0.48933143669985774,0
rv,det_02_credit_score,703,341,0.4850640113798009,0
rv,det_04_added_value,703,340,0.48364153627311524,0
rv,det_30_authority,703,340,0.48364153627311524,0
rv,det_03_risk_profile,703,339,0.4822190611664296,0
rv,det_05_frugality,703,339,0.4822190611664296,0
rv,det_07_legal,703,336,0.4779516358463727,0
rv,det_27_fun,703,336,0.4779516358463727,0
rv,det_24_socialising,703,335,0.47652916073968704,0
rv,det_17_adherence,703,334,0.4751066856330014,0
rv,det_09_safety,703,333,0.47368421052631576,0
rv,det_01_profits,703,329,0.46799431009957326,0
rv,det_20_coziness,703,329,0.46799431009957326,0
rv,det_26_novelty,703,328,0.4665718349928876,0
rv,det_25_agreement,703,325,0.4623044096728307,0
rv,det_21_rights_and_duties,703,324,0.46088193456614507,0
rv,det_32_own_significance,703,324,0.46088193456614507,0
rv,det_29_trends,703,323,0.4594594594594595,0
rv,det_08_trust,703,322,0.45803698435277385,0
rv,det_18_autonomy,703,322,0.45803698435277385,0
rv,det_15_self_satisfaction,703,318,0.4523470839260313,0
rv,det_22_peer_pressure,703,318,0.4523470839260313,0
rv,det_10_cost_efficiency,703,317,0.45092460881934565,0
rv,det_19_wellbeing,703,317,0.45092460881934565,0
rv,det_28_recognition,703,317,0.45092460881934565,0
rv,det_31_approval,703,317,0.45092460881934565,0
rv,det_13_technical_fit,703,316,0.44950213371266,0
rv,det_16_commitment,703,316,0.44950213371266,0
rv,det_11_knowledge,703,307,0.4366998577524893,0
rv,det_06_climate_protection,703,304,0.43243243243243246,0
rv,det_14_environmental_concerns,703,304,0.43243243243243246,0
why,det_04_added_value,871,28,0.03214695752009185,0
why,det_18_autonomy,871,28,0.03214695752009185,0
why,det_08_trust,871,27,0.030998851894374284,0
why,det_02_credit_score,871,25,0.02870264064293915,0
why,det_16_commitment,871,25,0.02870264064293915,0
why,det_25_agreement,871,25,0.02870264064293915,0
why,det_12_own_competence,871,24,0.027554535017221583,0
why,det_21_rights_and_duties,871,24,0.027554535017221583,0
why,det_03_risk_profile,871,23,0.02640642939150402,0
why,det_19_wellbeing,871,23,0.02640642939150402,0
why,det_26_novelty,871,23,0.02640642939150402,0
why,det_30_authority,871,23,0.02640642939150402,0
why,det_32_own_significance,871,23,0.02640642939150402,0
why,det_06_climate_protection,871,22,0.02525832376578645,0
why,det_07_legal,871,22,0.02525832376578645,0
why,det_20_coziness,871,22,0.02525832376578645,0
why,det_05_frugality,871,21,0.024110218140068886,0
why,det_09_safety,871,21,0.024110218140068886,0
why,det_13_technical_fit,871,21,0.024110218140068886,0
why,det_17_adherence,871,21,0.024110218140068886,0
why,det_24_socialising,871,21,0.024110218140068886,0
why,det_27_fun,871,21,0.024110218140068886,0
why,det_10_cost_efficiency,871,20,0.022962112514351322,0
why,det_22_peer_pressure,871,20,0.022962112514351322,0
why,det_23_support,871,20,0.022962112514351322,0
why,det_31_approval,871,18,0.02066590126291619,0
why,det_14_environmental_concerns,871,17,0.01951779563719862,0
why,det_28_recognition,871,17,0.01951779563719862,0
why,det_01_profits,871,16,0.018369690011481057,0
why,det_11_knowledge,871,15,0.01722158438576349,0
why,det_15_self_satisfaction,871,15,0.01722158438576349,0
why,det_29_trends,871,15,0.01722158438576349,0
