bootstrap_id,target_sample_type,target_electoral_group,n,prop_bootstrap
1,abstention,ABSTENTION,506,0.506
1,voter,ECR,53,0.053
1,voter,EPP,122,0.122
1,voter,GREENS_EFA_RENEW,88,0.088
1,voter,GUE_NGL,32,0.032
1,voter,NI,23,0.023
1,voter,PFE_ESN,78,0.078
1,voter,SD,98,0.098
2,abstention,ABSTENTION,506,0.506
2,voter,ECR,53,0.053
2,voter,EPP,122,0.122
2,voter,GREENS_EFA_RENEW,88,0.088
2,voter,GUE_NGL,32,0.032
2,voter,NI,23,0.023
2,voter,PFE_ESN,78,0.078
2,voter,SD,98,0.098
3,abstention,ABSTENTION,506,0.506
3,voter,ECR,53,0.053
3,voter,EPP,122,0.122
3,voter,GREENS_EFA_RENEW,88,0.088
3,voter,GUE_NGL,32,0.032
3,voter,NI,23,0.023
3,voter,PFE_ESN,78,0.078
3,voter,SD,98,0.098
4,abstention,ABSTENTION,506,0.506
4,voter,ECR,53,0.053
4,voter,EPP,122,0.122
4,voter,GREENS_EFA_RENEW,88,0.088
4,voter,GUE_NGL,32,0.032
4,voter,NI,23,0.023
4,voter,PFE_ESN,78,0.078
4,voter,SD,98,0.098
5,abstention,ABSTENTION,506,0.506
5,voter,ECR,53,0.053
5,voter,EPP,122,0.122
5,voter,GREENS_EFA_RENEW,88,0.088
5,voter,GUE_NGL,32,0.032
5,voter,NI,23,0.023
5,voter,PFE_ESN,78,0.078
5,voter,SD,98,0.098
6,abstention,ABSTENTION,506,0.506
6,voter,ECR,53,0.053
6,voter,EPP,122,0.122
6,voter,GREENS_EFA_RENEW,88,0.088
6,voter,GUE_NGL,32,0.032
6,voter,NI,23,0.023
6,voter,PFE_ESN,78,0.078
6,voter,SD,98,0.098
7,abstention,ABSTENTION,506,0.506
7,voter,ECR,53,0.053
7,voter,EPP,122,0.122
7,voter,GREENS_EFA_RENEW,88,0.088
7,voter,GUE_NGL,32,0.032
7,voter,NI,23,0.023
7,voter,PFE_ESN,78,0.078
7,voter,SD,98,0.098
8,abstention,ABSTENTION,506,0.506
8,voter,ECR,53,0.053
8,voter,EPP,122,0.122
8,voter,GREENS_EFA_RENEW,88,0.088
8,voter,GUE_NGL,32,0.032
8,voter,NI,23,0.023
8,voter,PFE_ESN,78,0.078
8,voter,SD,98,0.098
9,abstention,ABSTENTION,506,0.506
9,voter,ECR,53,0.053
9,voter,EPP,122,0.122
9,voter,GREENS_EFA_RENEW,88,0.088
9,voter,GUE_NGL,32,0.032
9,voter,NI,23,0.023
9,voter,PFE_ESN,78,0.078
9,voter,SD,98,0.098
10,abstention,ABSTENTION,506,0.506
10,voter,ECR,53,0.053
10,voter,EPP,122,0.122
10,voter,GREENS_EFA_RENEW,88,0.088
10,voter,GUE_NGL,32,0.032
10,voter,NI,23,0.023
10,voter,PFE_ESN,78,0.078
10,voter,SD,98,0.098
