bootstrap_id,target_sample_type,dataset_source,n,prop_within_type
1,abstention,diego,239,0.4723320158102767
1,abstention,rv,132,0.2608695652173913
1,abstention,why,135,0.26679841897233203
1,voter,rv,494,1
2,abstention,diego,226,0.44664031620553357
2,abstention,rv,140,0.2766798418972332
2,abstention,why,140,0.2766798418972332
2,voter,rv,494,1
3,abstention,diego,221,0.4367588932806324
3,abstention,rv,157,0.3102766798418972
3,abstention,why,128,0.25296442687747034
3,voter,rv,494,1
4,abstention,diego,211,0.41699604743083
4,abstention,rv,142,0.28063241106719367
4,abstention,why,153,0.30237154150197626
4,voter,rv,494,1
5,abstention,diego,240,0.4743083003952569
5,abstention,rv,132,0.2608695652173913
5,abstention,why,134,0.2648221343873518
5,voter,rv,494,1
6,abstention,diego,232,0.45849802371541504
6,abstention,rv,141,0.27865612648221344
6,abstention,why,133,0.2628458498023715
6,voter,rv,494,1
7,abstention,diego,231,0.45652173913043476
7,abstention,rv,135,0.26679841897233203
7,abstention,why,140,0.2766798418972332
7,voter,rv,494,1
8,abstention,diego,239,0.4723320158102767
8,abstention,rv,138,0.2727272727272727
8,abstention,why,129,0.2549407114624506
8,voter,rv,494,1
9,abstention,diego,221,0.4367588932806324
9,abstention,rv,147,0.29051383399209485
9,abstention,why,138,0.2727272727272727
9,voter,rv,494,1
10,abstention,diego,216,0.4268774703557312
10,abstention,rv,165,0.32608695652173914
10,abstention,why,125,0.24703557312252963
10,voter,rv,494,1
11,abstention,diego,232,0.45849802371541504
11,abstention,rv,135,0.26679841897233203
11,abstention,why,139,0.274703557312253
11,voter,rv,494,1
12,abstention,diego,223,0.4407114624505929
12,abstention,rv,145,0.2865612648221344
12,abstention,why,138,0.2727272727272727
12,voter,rv,494,1
13,abstention,diego,243,0.48023715415019763
13,abstention,rv,124,0.2450592885375494
13,abstention,why,139,0.274703557312253
13,voter,rv,494,1
14,abstention,diego,218,0.4308300395256917
14,abstention,rv,144,0.2845849802371542
14,abstention,why,144,0.2845849802371542
14,voter,rv,494,1
15,abstention,diego,250,0.49407114624505927
15,abstention,rv,138,0.2727272727272727
15,abstention,why,118,0.233201581027668
15,voter,rv,494,1
16,abstention,diego,238,0.47035573122529645
16,abstention,rv,115,0.22727272727272727
16,abstention,why,153,0.30237154150197626
16,voter,rv,494,1
17,abstention,diego,241,0.4762845849802372
17,abstention,rv,144,0.2845849802371542
17,abstention,why,121,0.2391304347826087
17,voter,rv,494,1
18,abstention,diego,229,0.4525691699604743
18,abstention,rv,138,0.2727272727272727
18,abstention,why,139,0.274703557312253
18,voter,rv,494,1
19,abstention,diego,226,0.44664031620553357
19,abstention,rv,143,0.2826086956521739
19,abstention,why,137,0.2707509881422925
19,voter,rv,494,1
20,abstention,diego,229,0.4525691699604743
20,abstention,rv,134,0.2648221343873518
20,abstention,why,143,0.2826086956521739
20,voter,rv,494,1
21,abstention,diego,243,0.48023715415019763
21,abstention,rv,135,0.26679841897233203
21,abstention,why,128,0.25296442687747034
21,voter,rv,494,1
22,abstention,diego,224,0.4426877470355731
22,abstention,rv,138,0.2727272727272727
22,abstention,why,144,0.2845849802371542
22,voter,rv,494,1
23,abstention,diego,240,0.4743083003952569
23,abstention,rv,132,0.2608695652173913
23,abstention,why,134,0.2648221343873518
23,voter,rv,494,1
24,abstention,diego,219,0.43280632411067194
24,abstention,rv,159,0.3142292490118577
24,abstention,why,128,0.25296442687747034
24,voter,rv,494,1
25,abstention,diego,254,0.5019762845849802
25,abstention,rv,143,0.2826086956521739
25,abstention,why,109,0.21541501976284586
25,voter,rv,494,1
26,abstention,diego,214,0.42292490118577075
26,abstention,rv,146,0.2885375494071146
26,abstention,why,146,0.2885375494071146
26,voter,rv,494,1
27,abstention,diego,233,0.46047430830039526
27,abstention,rv,132,0.2608695652173913
27,abstention,why,141,0.27865612648221344
27,voter,rv,494,1
28,abstention,diego,236,0.466403162055336
28,abstention,rv,124,0.2450592885375494
28,abstention,why,146,0.2885375494071146
28,voter,rv,494,1
29,abstention,diego,230,0.45454545454545453
29,abstention,rv,136,0.26877470355731226
29,abstention,why,140,0.2766798418972332
29,voter,rv,494,1
30,abstention,diego,240,0.4743083003952569
30,abstention,rv,137,0.2707509881422925
30,abstention,why,129,0.2549407114624506
30,voter,rv,494,1
31,abstention,diego,213,0.4209486166007905
31,abstention,rv,162,0.3201581027667984
31,abstention,why,131,0.25889328063241107
31,voter,rv,494,1
32,abstention,diego,231,0.45652173913043476
32,abstention,rv,126,0.2490118577075099
32,abstention,why,149,0.29446640316205536
32,voter,rv,494,1
33,abstention,diego,224,0.4426877470355731
33,abstention,rv,138,0.2727272727272727
33,abstention,why,144,0.2845849802371542
33,voter,rv,494,1
34,abstention,diego,222,0.43873517786561267
34,abstention,rv,142,0.28063241106719367
34,abstention,why,142,0.28063241106719367
34,voter,rv,494,1
35,abstention,diego,230,0.45454545454545453
35,abstention,rv,133,0.2628458498023715
35,abstention,why,143,0.2826086956521739
35,voter,rv,494,1
36,abstention,diego,231,0.45652173913043476
36,abstention,rv,138,0.2727272727272727
36,abstention,why,137,0.2707509881422925
36,voter,rv,494,1
37,abstention,diego,216,0.4268774703557312
37,abstention,rv,140,0.2766798418972332
37,abstention,why,150,0.2964426877470356
37,voter,rv,494,1
38,abstention,diego,223,0.4407114624505929
38,abstention,rv,139,0.274703557312253
38,abstention,why,144,0.2845849802371542
38,voter,rv,494,1
39,abstention,diego,236,0.466403162055336
39,abstention,rv,121,0.2391304347826087
39,abstention,why,149,0.29446640316205536
39,voter,rv,494,1
40,abstention,diego,227,0.44861660079051385
40,abstention,rv,144,0.2845849802371542
40,abstention,why,135,0.26679841897233203
40,voter,rv,494,1
41,abstention,diego,241,0.4762845849802372
41,abstention,rv,122,0.24110671936758893
41,abstention,why,143,0.2826086956521739
41,voter,rv,494,1
42,abstention,diego,228,0.4505928853754941
42,abstention,rv,137,0.2707509881422925
42,abstention,why,141,0.27865612648221344
42,voter,rv,494,1
43,abstention,diego,259,0.5118577075098815
43,abstention,rv,128,0.25296442687747034
43,abstention,why,119,0.23517786561264822
43,voter,rv,494,1
44,abstention,diego,245,0.4841897233201581
44,abstention,rv,141,0.27865612648221344
44,abstention,why,120,0.23715415019762845
44,voter,rv,494,1
45,abstention,diego,222,0.43873517786561267
45,abstention,rv,142,0.28063241106719367
45,abstention,why,142,0.28063241106719367
45,voter,rv,494,1
46,abstention,diego,224,0.4426877470355731
46,abstention,rv,158,0.31225296442687744
46,abstention,why,124,0.2450592885375494
46,voter,rv,494,1
47,abstention,diego,250,0.49407114624505927
47,abstention,rv,137,0.2707509881422925
47,abstention,why,119,0.23517786561264822
47,voter,rv,494,1
48,abstention,diego,250,0.49407114624505927
48,abstention,rv,124,0.2450592885375494
48,abstention,why,132,0.2608695652173913
48,voter,rv,494,1
49,abstention,diego,215,0.424901185770751
49,abstention,rv,133,0.2628458498023715
49,abstention,why,158,0.31225296442687744
49,voter,rv,494,1
50,abstention,diego,239,0.4723320158102767
50,abstention,rv,129,0.2549407114624506
50,abstention,why,138,0.2727272727272727
50,voter,rv,494,1
51,abstention,diego,211,0.41699604743083
51,abstention,rv,154,0.30434782608695654
51,abstention,why,141,0.27865612648221344
51,voter,rv,494,1
52,abstention,diego,230,0.45454545454545453
52,abstention,rv,139,0.274703557312253
52,abstention,why,137,0.2707509881422925
52,voter,rv,494,1
53,abstention,diego,217,0.4288537549407115
53,abstention,rv,127,0.2509881422924901
53,abstention,why,162,0.3201581027667984
53,voter,rv,494,1
54,abstention,diego,214,0.42292490118577075
54,abstention,rv,150,0.2964426877470356
54,abstention,why,142,0.28063241106719367
54,voter,rv,494,1
55,abstention,diego,229,0.4525691699604743
55,abstention,rv,138,0.2727272727272727
55,abstention,why,139,0.274703557312253
55,voter,rv,494,1
56,abstention,diego,234,0.4624505928853755
56,abstention,rv,140,0.2766798418972332
56,abstention,why,132,0.2608695652173913
56,voter,rv,494,1
57,abstention,diego,253,0.5
57,abstention,rv,122,0.24110671936758893
57,abstention,why,131,0.25889328063241107
57,voter,rv,494,1
58,abstention,diego,232,0.45849802371541504
58,abstention,rv,148,0.2924901185770751
58,abstention,why,126,0.2490118577075099
58,voter,rv,494,1
59,abstention,diego,213,0.4209486166007905
59,abstention,rv,145,0.2865612648221344
59,abstention,why,148,0.2924901185770751
59,voter,rv,494,1
60,abstention,diego,223,0.4407114624505929
60,abstention,rv,133,0.2628458498023715
60,abstention,why,150,0.2964426877470356
60,voter,rv,494,1
61,abstention,diego,232,0.45849802371541504
61,abstention,rv,140,0.2766798418972332
61,abstention,why,134,0.2648221343873518
61,voter,rv,494,1
62,abstention,diego,224,0.4426877470355731
62,abstention,rv,143,0.2826086956521739
62,abstention,why,139,0.274703557312253
62,voter,rv,494,1
63,abstention,diego,231,0.45652173913043476
63,abstention,rv,129,0.2549407114624506
63,abstention,why,146,0.2885375494071146
63,voter,rv,494,1
64,abstention,diego,231,0.45652173913043476
64,abstention,rv,140,0.2766798418972332
64,abstention,why,135,0.26679841897233203
64,voter,rv,494,1
65,abstention,diego,226,0.44664031620553357
65,abstention,rv,145,0.2865612648221344
65,abstention,why,135,0.26679841897233203
65,voter,rv,494,1
66,abstention,diego,229,0.4525691699604743
66,abstention,rv,143,0.2826086956521739
66,abstention,why,134,0.2648221343873518
66,voter,rv,494,1
67,abstention,diego,226,0.44664031620553357
67,abstention,rv,151,0.2984189723320158
67,abstention,why,129,0.2549407114624506
67,voter,rv,494,1
68,abstention,diego,236,0.466403162055336
68,abstention,rv,130,0.25691699604743085
68,abstention,why,140,0.2766798418972332
68,voter,rv,494,1
69,abstention,diego,224,0.4426877470355731
69,abstention,rv,145,0.2865612648221344
69,abstention,why,137,0.2707509881422925
69,voter,rv,494,1
70,abstention,diego,253,0.5
70,abstention,rv,124,0.2450592885375494
70,abstention,why,129,0.2549407114624506
70,voter,rv,494,1
71,abstention,diego,218,0.4308300395256917
71,abstention,rv,144,0.2845849802371542
71,abstention,why,144,0.2845849802371542
71,voter,rv,494,1
72,abstention,diego,231,0.45652173913043476
72,abstention,rv,132,0.2608695652173913
72,abstention,why,143,0.2826086956521739
72,voter,rv,494,1
73,abstention,diego,221,0.4367588932806324
73,abstention,rv,137,0.2707509881422925
73,abstention,why,148,0.2924901185770751
73,voter,rv,494,1
74,abstention,diego,238,0.47035573122529645
74,abstention,rv,139,0.274703557312253
74,abstention,why,129,0.2549407114624506
74,voter,rv,494,1
75,abstention,diego,257,0.5079051383399209
75,abstention,rv,119,0.23517786561264822
75,abstention,why,130,0.25691699604743085
75,voter,rv,494,1
76,abstention,diego,219,0.43280632411067194
76,abstention,rv,149,0.29446640316205536
76,abstention,why,138,0.2727272727272727
76,voter,rv,494,1
77,abstention,diego,246,0.48616600790513836
77,abstention,rv,143,0.2826086956521739
77,abstention,why,117,0.23122529644268774
77,voter,rv,494,1
78,abstention,diego,240,0.4743083003952569
78,abstention,rv,130,0.25691699604743085
78,abstention,why,136,0.26877470355731226
78,voter,rv,494,1
79,abstention,diego,226,0.44664031620553357
79,abstention,rv,155,0.30632411067193677
79,abstention,why,125,0.24703557312252963
79,voter,rv,494,1
80,abstention,diego,239,0.4723320158102767
80,abstention,rv,144,0.2845849802371542
80,abstention,why,123,0.24308300395256918
80,voter,rv,494,1
81,abstention,diego,240,0.4743083003952569
81,abstention,rv,132,0.2608695652173913
81,abstention,why,134,0.2648221343873518
81,voter,rv,494,1
82,abstention,diego,247,0.4881422924901186
82,abstention,rv,120,0.23715415019762845
82,abstention,why,139,0.274703557312253
82,voter,rv,494,1
83,abstention,diego,222,0.43873517786561267
83,abstention,rv,153,0.30237154150197626
83,abstention,why,131,0.25889328063241107
83,voter,rv,494,1
84,abstention,diego,227,0.44861660079051385
84,abstention,rv,126,0.2490118577075099
84,abstention,why,153,0.30237154150197626
84,voter,rv,494,1
85,abstention,diego,205,0.4051383399209486
85,abstention,rv,156,0.308300395256917
85,abstention,why,145,0.2865612648221344
85,voter,rv,494,1
86,abstention,diego,238,0.47035573122529645
86,abstention,rv,133,0.2628458498023715
86,abstention,why,135,0.26679841897233203
86,voter,rv,494,1
87,abstention,diego,217,0.4288537549407115
87,abstention,rv,146,0.2885375494071146
87,abstention,why,143,0.2826086956521739
87,voter,rv,494,1
88,abstention,diego,226,0.44664031620553357
88,abstention,rv,151,0.2984189723320158
88,abstention,why,129,0.2549407114624506
88,voter,rv,494,1
89,abstention,diego,263,0.5197628458498024
89,abstention,rv,138,0.2727272727272727
89,abstention,why,105,0.2075098814229249
89,voter,rv,494,1
90,abstention,diego,231,0.45652173913043476
90,abstention,rv,143,0.2826086956521739
90,abstention,why,132,0.2608695652173913
90,voter,rv,494,1
91,abstention,diego,231,0.45652173913043476
91,abstention,rv,155,0.30632411067193677
91,abstention,why,120,0.23715415019762845
91,voter,rv,494,1
92,abstention,diego,230,0.45454545454545453
92,abstention,rv,125,0.24703557312252963
92,abstention,why,151,0.2984189723320158
92,voter,rv,494,1
93,abstention,diego,230,0.45454545454545453
93,abstention,rv,135,0.26679841897233203
93,abstention,why,141,0.27865612648221344
93,voter,rv,494,1
94,abstention,diego,249,0.49209486166007904
94,abstention,rv,134,0.2648221343873518
94,abstention,why,123,0.24308300395256918
94,voter,rv,494,1
95,abstention,diego,219,0.43280632411067194
95,abstention,rv,131,0.25889328063241107
95,abstention,why,156,0.308300395256917
95,voter,rv,494,1
96,abstention,diego,223,0.4407114624505929
96,abstention,rv,150,0.2964426877470356
96,abstention,why,133,0.2628458498023715
96,voter,rv,494,1
97,abstention,diego,237,0.4683794466403162
97,abstention,rv,132,0.2608695652173913
97,abstention,why,137,0.2707509881422925
97,voter,rv,494,1
98,abstention,diego,221,0.4367588932806324
98,abstention,rv,144,0.2845849802371542
98,abstention,why,141,0.27865612648221344
98,voter,rv,494,1
99,abstention,diego,250,0.49407114624505927
99,abstention,rv,130,0.25691699604743085
99,abstention,why,126,0.2490118577075099
99,voter,rv,494,1
100,abstention,diego,231,0.45652173913043476
100,abstention,rv,146,0.2885375494071146
100,abstention,why,129,0.2549407114624506
100,voter,rv,494,1
101,abstention,diego,243,0.48023715415019763
101,abstention,rv,148,0.2924901185770751
101,abstention,why,115,0.22727272727272727
101,voter,rv,494,1
102,abstention,diego,224,0.4426877470355731
102,abstention,rv,147,0.29051383399209485
102,abstention,why,135,0.26679841897233203
102,voter,rv,494,1
103,abstention,diego,233,0.46047430830039526
103,abstention,rv,143,0.2826086956521739
103,abstention,why,130,0.25691699604743085
103,voter,rv,494,1
104,abstention,diego,243,0.48023715415019763
104,abstention,rv,126,0.2490118577075099
104,abstention,why,137,0.2707509881422925
104,voter,rv,494,1
105,abstention,diego,221,0.4367588932806324
105,abstention,rv,154,0.30434782608695654
105,abstention,why,131,0.25889328063241107
105,voter,rv,494,1
106,abstention,diego,221,0.4367588932806324
