bootstrap_id,target_sample_type,row_quality_final,n,prop_within_type
1,abstention,usable_complete,439,0.8675889328063241
1,abstention,usable_complete_limited_metadata,14,0.02766798418972332
1,abstention,usable_partial,52,0.10276679841897234
1,abstention,usable_partial_limited_metadata,1,0.001976284584980237
1,voter,usable_complete,304,0.6153846153846154
1,voter,usable_complete_limited_metadata,12,0.024291497975708502
1,voter,usable_partial,176,0.3562753036437247
1,voter,usable_partial_limited_metadata,2,0.004048582995951417
2,abstention,usable_complete,432,0.8537549407114624
2,abstention,usable_complete_limited_metadata,19,0.037549407114624504
2,abstention,usable_partial,51,0.1007905138339921
2,abstention,usable_partial_limited_metadata,4,0.007905138339920948
2,voter,usable_complete,311,0.6295546558704453
2,voter,usable_complete_limited_metadata,10,0.020242914979757085
2,voter,usable_partial,172,0.3481781376518219
2,voter,usable_partial_limited_metadata,1,0.0020242914979757085
3,abstention,usable_complete,437,0.8636363636363636
3,abstention,usable_complete_limited_metadata,16,0.03162055335968379
3,abstention,usable_partial,47,0.09288537549407115
3,abstention,usable_partial_limited_metadata,6,0.011857707509881422
3,voter,usable_complete,314,0.6356275303643725
3,voter,usable_complete_limited_metadata,12,0.024291497975708502
3,voter,usable_partial,166,0.3360323886639676
3,voter,usable_partial_limited_metadata,2,0.004048582995951417
4,abstention,usable_complete,426,0.841897233201581
4,abstention,usable_complete_limited_metadata,23,0.045454545454545456
4,abstention,usable_partial,55,0.10869565217391304
4,abstention,usable_partial_limited_metadata,2,0.003952569169960474
4,voter,usable_complete,312,0.631578947368421
4,voter,usable_complete_limited_metadata,7,0.01417004048582996
4,voter,usable_partial,174,0.3522267206477733
4,voter,usable_partial_limited_metadata,1,0.0020242914979757085
5,abstention,usable_complete,433,0.8557312252964426
5,abstention,usable_complete_limited_metadata,18,0.03557312252964427
5,abstention,usable_partial,53,0.10474308300395258
5,abstention,usable_partial_limited_metadata,2,0.003952569169960474
5,voter,usable_complete,332,0.6720647773279352
5,voter,usable_complete_limited_metadata,4,0.008097165991902834
5,voter,usable_partial,156,0.3157894736842105
5,voter,usable_partial_limited_metadata,2,0.004048582995951417
6,abstention,usable_complete,435,0.8596837944664032
6,abstention,usable_complete_limited_metadata,15,0.029644268774703556
6,abstention,usable_partial,51,0.1007905138339921
6,abstention,usable_partial_limited_metadata,5,0.009881422924901186
6,voter,usable_complete,300,0.6072874493927125
6,voter,usable_complete_limited_metadata,9,0.018218623481781375
6,voter,usable_partial,185,0.37449392712550605
7,abstention,usable_complete,432,0.8537549407114624
7,abstention,usable_complete_limited_metadata,20,0.039525691699604744
7,abstention,usable_partial,53,0.10474308300395258
7,abstention,usable_partial_limited_metadata,1,0.001976284584980237
7,voter,usable_complete,316,0.6396761133603239
7,voter,usable_complete_limited_metadata,9,0.018218623481781375
7,voter,usable_partial,167,0.33805668016194335
7,voter,usable_partial_limited_metadata,2,0.004048582995951417
8,abstention,usable_complete,422,0.83399209486166
8,abstention,usable_complete_limited_metadata,28,0.05533596837944664
8,abstention,usable_partial,54,0.1067193675889328
8,abstention,usable_partial_limited_metadata,2,0.003952569169960474
8,voter,usable_complete,296,0.5991902834008097
8,voter,usable_complete_limited_metadata,9,0.018218623481781375
8,voter,usable_partial,189,0.3825910931174089
9,abstention,usable_complete,415,0.8201581027667985
9,abstention,usable_complete_limited_metadata,26,0.05138339920948617
9,abstention,usable_partial,62,0.1225296442687747
9,abstention,usable_partial_limited_metadata,3,0.005928853754940711
9,voter,usable_complete,318,0.6437246963562753
9,voter,usable_complete_limited_metadata,10,0.020242914979757085
9,voter,usable_partial,164,0.3319838056680162
9,voter,usable_partial_limited_metadata,2,0.004048582995951417
10,abstention,usable_complete,425,0.8399209486166008
10,abstention,usable_complete_limited_metadata,29,0.05731225296442688
10,abstention,usable_partial,50,0.09881422924901186
10,abstention,usable_partial_limited_metadata,2,0.003952569169960474
10,voter,usable_complete,321,0.6497975708502024
10,voter,usable_complete_limited_metadata,10,0.020242914979757085
10,voter,usable_partial,162,0.32793522267206476
10,voter,usable_partial_limited_metadata,1,0.0020242914979757085
11,abstention,usable_complete,432,0.8537549407114624
11,abstention,usable_complete_limited_metadata,19,0.037549407114624504
11,abstention,usable_partial,54,0.1067193675889328
11,abstention,usable_partial_limited_metadata,1,0.001976284584980237
11,voter,usable_complete,327,0.6619433198380567
11,voter,usable_complete_limited_metadata,11,0.022267206477732792
11,voter,usable_partial,156,0.3157894736842105
12,abstention,usable_complete,433,0.8557312252964426
12,abstention,usable_complete_limited_metadata,18,0.03557312252964427
12,abstention,usable_partial,50,0.09881422924901186
12,abstention,usable_partial_limited_metadata,5,0.009881422924901186
12,voter,usable_complete,302,0.611336032388664
12,voter,usable_complete_limited_metadata,5,0.010121457489878543
12,voter,usable_partial,185,0.37449392712550605
12,voter,usable_partial_limited_metadata,2,0.004048582995951417
13,abstention,usable_complete,433,0.8557312252964426
13,abstention,usable_complete_limited_metadata,12,0.023715415019762844
13,abstention,usable_partial,58,0.11462450592885376
13,abstention,usable_partial_limited_metadata,3,0.005928853754940711
13,voter,usable_complete,297,0.6012145748987854
13,voter,usable_complete_limited_metadata,11,0.022267206477732792
13,voter,usable_partial,185,0.37449392712550605
13,voter,usable_partial_limited_metadata,1,0.0020242914979757085
14,abstention,usable_complete,431,0.8517786561264822
14,abstention,usable_complete_limited_metadata,21,0.041501976284584984
14,abstention,usable_partial,51,0.1007905138339921
14,abstention,usable_partial_limited_metadata,3,0.005928853754940711
14,voter,usable_complete,307,0.6214574898785425
14,voter,usable_complete_limited_metadata,9,0.018218623481781375
14,voter,usable_partial,177,0.3582995951417004
14,voter,usable_partial_limited_metadata,1,0.0020242914979757085
15,abstention,usable_complete,438,0.8656126482213439
15,abstention,usable_complete_limited_metadata,18,0.03557312252964427
15,abstention,usable_partial,47,0.09288537549407115
15,abstention,usable_partial_limited_metadata,3,0.005928853754940711
15,voter,usable_complete,307,0.6214574898785425
15,voter,usable_complete_limited_metadata,5,0.010121457489878543
15,voter,usable_partial,182,0.3684210526315789
16,abstention,usable_complete,431,0.8517786561264822
16,abstention,usable_complete_limited_metadata,25,0.04940711462450593
16,abstention,usable_partial,45,0.08893280632411067
16,abstention,usable_partial_limited_metadata,5,0.009881422924901186
16,voter,usable_complete,296,0.5991902834008097
16,voter,usable_complete_limited_metadata,13,0.02631578947368421
16,voter,usable_partial,185,0.37449392712550605
17,abstention,usable_complete,431,0.8517786561264822
17,abstention,usable_complete_limited_metadata,17,0.03359683794466403
17,abstention,usable_partial,56,0.11067193675889328
17,abstention,usable_partial_limited_metadata,2,0.003952569169960474
17,voter,usable_complete,335,0.6781376518218624
17,voter,usable_complete_limited_metadata,10,0.020242914979757085
17,voter,usable_partial,149,0.3016194331983806
18,abstention,usable_complete,436,0.8616600790513834
18,abstention,usable_complete_limited_metadata,16,0.03162055335968379
18,abstention,usable_partial,54,0.1067193675889328
18,voter,usable_complete,305,0.6174089068825911
18,voter,usable_complete_limited_metadata,11,0.022267206477732792
18,voter,usable_partial,174,0.3522267206477733
18,voter,usable_partial_limited_metadata,4,0.008097165991902834
19,abstention,usable_complete,441,0.8715415019762845
19,abstention,usable_complete_limited_metadata,22,0.043478260869565216
19,abstention,usable_partial,43,0.08498023715415019
19,voter,usable_complete,312,0.631578947368421
19,voter,usable_complete_limited_metadata,10,0.020242914979757085
19,voter,usable_partial,172,0.3481781376518219
20,abstention,usable_complete,426,0.841897233201581
20,abstention,usable_complete_limited_metadata,23,0.045454545454545456
20,abstention,usable_partial,54,0.1067193675889328
20,abstention,usable_partial_limited_metadata,3,0.005928853754940711
20,voter,usable_complete,307,0.6214574898785425
20,voter,usable_complete_limited_metadata,11,0.022267206477732792
20,voter,usable_partial,173,0.35020242914979755
20,voter,usable_partial_limited_metadata,3,0.006072874493927126
21,abstention,usable_complete,424,0.8379446640316206
21,abstention,usable_complete_limited_metadata,15,0.029644268774703556
21,abstention,usable_partial,63,0.12450592885375494
21,abstention,usable_partial_limited_metadata,4,0.007905138339920948
21,voter,usable_complete,313,0.6336032388663968
21,voter,usable_complete_limited_metadata,4,0.008097165991902834
21,voter,usable_partial,174,0.3522267206477733
21,voter,usable_partial_limited_metadata,3,0.006072874493927126
22,abstention,usable_complete,418,0.8260869565217391
22,abstention,usable_complete_limited_metadata,23,0.045454545454545456
22,abstention,usable_partial,62,0.1225296442687747
22,abstention,usable_partial_limited_metadata,3,0.005928853754940711
