bootstrap_id,target_sample_type,dataset_source,n,prop_within_type
1,abstention,diego,256,0.5059288537549407
1,abstention,rv,118,0.233201581027668
1,abstention,why,132,0.2608695652173913
1,voter,rv,494,1
2,abstention,diego,257,0.5079051383399209
2,abstention,rv,118,0.233201581027668
2,abstention,why,131,0.25889328063241107
2,voter,rv,494,1
3,abstention,diego,250,0.49407114624505927
3,abstention,rv,106,0.20948616600790515
3,abstention,why,150,0.2964426877470356
3,voter,rv,494,1
4,abstention,diego,250,0.49407114624505927
4,abstention,rv,109,0.21541501976284586
4,abstention,why,147,0.29051383399209485
4,voter,rv,494,1
5,abstention,diego,250,0.49407114624505927
5,abstention,rv,119,0.23517786561264822
5,abstention,why,137,0.2707509881422925
5,voter,rv,494,1
6,abstention,diego,259,0.5118577075098815
6,abstention,rv,104,0.20553359683794467
6,abstention,why,143,0.2826086956521739
6,voter,rv,494,1
7,abstention,diego,254,0.5019762845849802
7,abstention,rv,113,0.22332015810276679
7,abstention,why,139,0.274703557312253
7,voter,rv,494,1
8,abstention,diego,247,0.4881422924901186
8,abstention,rv,121,0.2391304347826087
8,abstention,why,138,0.2727272727272727
8,voter,rv,494,1
9,abstention,diego,251,0.49604743083003955
9,abstention,rv,129,0.2549407114624506
9,abstention,why,126,0.2490118577075099
9,voter,rv,494,1
10,abstention,diego,280,0.5533596837944664
10,abstention,rv,108,0.2134387351778656
10,abstention,why,118,0.233201581027668
10,voter,rv,494,1
11,abstention,diego,227,0.44861660079051385
11,abstention,rv,123,0.24308300395256918
11,abstention,why,156,0.308300395256917
11,voter,rv,494,1
12,abstention,diego,237,0.4683794466403162
12,abstention,rv,130,0.25691699604743085
12,abstention,why,139,0.274703557312253
12,voter,rv,494,1
13,abstention,diego,232,0.45849802371541504
13,abstention,rv,122,0.24110671936758893
13,abstention,why,152,0.30039525691699603
13,voter,rv,494,1
14,abstention,diego,260,0.5138339920948617
14,abstention,rv,114,0.22529644268774704
14,abstention,why,132,0.2608695652173913
14,voter,rv,494,1
15,abstention,diego,262,0.5177865612648221
15,abstention,rv,127,0.2509881422924901
15,abstention,why,117,0.23122529644268774
15,voter,rv,494,1
16,abstention,diego,250,0.49407114624505927
16,abstention,rv,111,0.21936758893280633
16,abstention,why,145,0.2865612648221344
16,voter,rv,494,1
17,abstention,diego,258,0.5098814229249012
17,abstention,rv,132,0.2608695652173913
17,abstention,why,116,0.22924901185770752
17,voter,rv,494,1
18,abstention,diego,247,0.4881422924901186
18,abstention,rv,124,0.2450592885375494
18,abstention,why,135,0.26679841897233203
18,voter,rv,494,1
19,abstention,diego,261,0.5158102766798419
19,abstention,rv,113,0.22332015810276679
19,abstention,why,132,0.2608695652173913
19,voter,rv,494,1
20,abstention,diego,251,0.49604743083003955
20,abstention,rv,125,0.24703557312252963
20,abstention,why,130,0.25691699604743085
20,voter,rv,494,1
21,abstention,diego,233,0.46047430830039526
21,abstention,rv,117,0.23122529644268774
21,abstention,why,156,0.308300395256917
21,voter,rv,494,1
22,abstention,diego,260,0.5138339920948617
22,abstention,rv,117,0.23122529644268774
22,abstention,why,129,0.2549407114624506
22,voter,rv,494,1
23,abstention,diego,258,0.5098814229249012
23,abstention,rv,100,0.1976284584980237
23,abstention,why,148,0.2924901185770751
23,voter,rv,494,1
24,abstention,diego,229,0.4525691699604743
24,abstention,rv,122,0.24110671936758893
24,abstention,why,155,0.30632411067193677
24,voter,rv,494,1
25,abstention,diego,251,0.49604743083003955
25,abstention,rv,114,0.22529644268774704
25,abstention,why,141,0.27865612648221344
25,voter,rv,494,1
26,abstention,diego,246,0.48616600790513836
