predictor,raw_training_level,n_training,kept_in_model,model_level,reference_level
age_group_model,25_34,181,TRUE,25_34,25_34
age_group_model,35_44,116,TRUE,35_44,25_34
age_group_model,45_54,80,TRUE,45_54,25_34
age_group_model,UNKNOWN_MODEL,77,TRUE,UNKNOWN_MODEL,25_34
age_group_model,18_24,73,TRUE,18_24,25_34
age_group_model,55_64,65,TRUE,55_64,25_34
age_group_model,65_PLUS,34,TRUE,65_PLUS,25_34
gender_model,MALE,325,TRUE,MALE,MALE
gender_model,FEMALE,285,TRUE,FEMALE,MALE
gender_model,UNKNOWN_MODEL,11,TRUE,UNKNOWN_MODEL,MALE
gender_model,OTHER,5,FALSE,OTHER_MODEL,MALE
country_model_grouped,ES,184,TRUE,ES,ES
country_model_grouped,GB,113,TRUE,GB,ES
country_model_grouped,DE,59,TRUE,DE,ES
country_model_grouped,FR,57,TRUE,FR,ES
country_model_grouped,IT,47,TRUE,IT,ES
country_model_grouped,PL,30,TRUE,PL,ES
country_model_grouped,NL,17,TRUE,NL,ES
country_model_grouped,RO,14,TRUE,RO,ES
country_model_grouped,GR,13,TRUE,GR,ES
country_model_grouped,BE,10,TRUE,BE,ES
country_model_grouped,CZ,9,TRUE,CZ,ES
country_model_grouped,IE,9,TRUE,IE,ES
country_model_grouped,PT,9,TRUE,PT,ES
country_model_grouped,CH,8,TRUE,CH,ES
country_model_grouped,SE,8,TRUE,SE,ES
country_model_grouped,AT,7,FALSE,OTHER_MODEL,ES
country_model_grouped,OTHER_COUNTRIES,7,FALSE,OTHER_MODEL,ES
country_model_grouped,HU,6,FALSE,OTHER_MODEL,ES
country_model_grouped,UNKNOWN_MODEL,6,FALSE,OTHER_MODEL,ES
country_model_grouped,SK,5,FALSE,OTHER_MODEL,ES
country_model_grouped,FI,3,FALSE,OTHER_MODEL,ES
country_model_grouped,LV,2,FALSE,OTHER_MODEL,ES
country_model_grouped,SI,2,FALSE,OTHER_MODEL,ES
country_model_grouped,DK,1,FALSE,OTHER_MODEL,ES
employment_model,EMPLOYED,274,TRUE,EMPLOYED,EMPLOYED
employment_model,UNKNOWN_MODEL,124,TRUE,UNKNOWN_MODEL,EMPLOYED
employment_model,SELF_EMPLOYED,64,TRUE,SELF_EMPLOYED,EMPLOYED
employment_model,STUDENT,63,TRUE,STUDENT,EMPLOYED
employment_model,RETIRED,48,TRUE,RETIRED,EMPLOYED
employment_model,UNEMPLOYED,43,TRUE,UNEMPLOYED,EMPLOYED
employment_model,OTHER,10,TRUE,OTHER,EMPLOYED
