bootstrap_id,country_code,country,income_band,n,prop
1,CL,Chile,15000_30000,16,0.20512820512820512
1,CL,Chile,30000_50000,13,0.16666666666666666
1,CL,Chile,50000_100000,2,0.02564102564102564
1,CL,Chile,<15000,47,0.6025641025641025
1,CO,Colombia,15000_30000,1,0.07692307692307693
1,CO,Colombia,<15000,12,0.9230769230769231
1,MX,Mexico,15000_30000,109,0.21083172147001933
1,MX,Mexico,30000_50000,54,0.10444874274661509
1,MX,Mexico,50000_100000,18,0.03481624758220503
1,MX,Mexico,<15000,336,0.6499032882011605
2,CL,Chile,15000_30000,20,0.2564102564102564
2,CL,Chile,30000_50000,9,0.11538461538461539
2,CL,Chile,50000_100000,2,0.02564102564102564
2,CL,Chile,<15000,47,0.6025641025641025
2,CO,Colombia,15000_30000,3,0.23076923076923078
2,CO,Colombia,<15000,10,0.7692307692307693
2,MX,Mexico,15000_30000,114,0.2205029013539652
2,MX,Mexico,30000_50000,46,0.08897485493230174
2,MX,Mexico,50000_100000,20,0.03868471953578337
2,MX,Mexico,<15000,336,0.6499032882011605
2,MX,Mexico,>100000,1,0.0019342359767891683
3,CL,Chile,15000_30000,18,0.23076923076923078
3,CL,Chile,30000_50000,12,0.15384615384615385
3,CL,Chile,50000_100000,4,0.05128205128205128
3,CL,Chile,<15000,44,0.5641025641025641
3,CO,Colombia,15000_30000,5,0.38461538461538464
3,CO,Colombia,<15000,8,0.6153846153846154
3,MX,Mexico,15000_30000,113,0.218568665377176
3,MX,Mexico,30000_50000,59,0.11411992263056092
3,MX,Mexico,50000_100000,17,0.03288201160541586
3,MX,Mexico,<15000,327,0.632495164410058
3,MX,Mexico,>100000,1,0.0019342359767891683
4,CL,Chile,15000_30000,20,0.2564102564102564
4,CL,Chile,30000_50000,5,0.0641025641025641
4,CL,Chile,50000_100000,3,0.038461538461538464
4,CL,Chile,<15000,49,0.6282051282051282
4,CL,Chile,>100000,1,0.01282051282051282
4,CO,Colombia,15000_30000,3,0.23076923076923078
4,CO,Colombia,<15000,10,0.7692307692307693
4,MX,Mexico,15000_30000,112,0.21663442940038685
4,MX,Mexico,30000_50000,49,0.09477756286266925
4,MX,Mexico,50000_100000,21,0.04061895551257253
4,MX,Mexico,<15000,332,0.6421663442940039
4,MX,Mexico,>100000,3,0.005802707930367505
5,CL,Chile,15000_30000,17,0.21794871794871795
5,CL,Chile,30000_50000,12,0.15384615384615385
5,CL,Chile,50000_100000,5,0.0641025641025641
5,CL,Chile,<15000,44,0.5641025641025641
5,CO,Colombia,15000_30000,3,0.23076923076923078
5,CO,Colombia,<15000,10,0.7692307692307693
5,MX,Mexico,15000_30000,102,0.19729206963249515
5,MX,Mexico,30000_50000,44,0.0851063829787234
5,MX,Mexico,50000_100000,10,0.019342359767891684
5,MX,Mexico,<15000,358,0.6924564796905223
5,MX,Mexico,>100000,3,0.005802707930367505
6,CL,Chile,15000_30000,21,0.2692307692307692
6,CL,Chile,30000_50000,11,0.14102564102564102
6,CL,Chile,50000_100000,3,0.038461538461538464
6,CL,Chile,<15000,43,0.5512820512820513
6,CO,Colombia,15000_30000,2,0.15384615384615385
6,CO,Colombia,<15000,11,0.8461538461538461
6,MX,Mexico,15000_30000,109,0.21083172147001933
6,MX,Mexico,30000_50000,67,0.12959381044487428
6,MX,Mexico,50000_100000,30,0.058027079303675046
6,MX,Mexico,<15000,311,0.6015473887814313
7,CL,Chile,15000_30000,19,0.24358974358974358
7,CL,Chile,30000_50000,8,0.10256410256410256
7,CL,Chile,50000_100000,4,0.05128205128205128
7,CL,Chile,<15000,47,0.6025641025641025
7,CO,Colombia,15000_30000,3,0.23076923076923078
7,CO,Colombia,<15000,10,0.7692307692307693
7,MX,Mexico,15000_30000,108,0.20889748549323017
7,MX,Mexico,30000_50000,65,0.12572533849129594
7,MX,Mexico,50000_100000,29,0.05609284332688588
