country_code,income_band,n_sample,country,n_valid_income,sample_prop
CL,<15000,26,Chile,66,0.3939393939393939
CL,>100000,1,Chile,66,0.015151515151515152
CL,15000_30000,23,Chile,66,0.3484848484848485
CL,30000_50000,8,Chile,66,0.12121212121212122
CL,50000_100000,8,Chile,66,0.12121212121212122
CO,<15000,2,Colombia,3,0.6666666666666666
CO,>100000,0,Colombia,3,0
CO,15000_30000,1,Colombia,3,0.3333333333333333
CO,30000_50000,0,Colombia,3,0
CO,50000_100000,0,Colombia,3,0
MX,<15000,183,Mexico,347,0.5273775216138329
MX,>100000,12,Mexico,347,0.0345821325648415
MX,15000_30000,82,Mexico,347,0.23631123919308358
MX,30000_50000,38,Mexico,347,0.10951008645533142
MX,50000_100000,32,Mexico,347,0.09221902017291066
