country_code,country,income_tranche_10,target_pct_original
MX,Mexico,1,45.2
MX,Mexico,2,18.5
MX,Mexico,3,12.4
MX,Mexico,4,9
MX,Mexico,5,6.4
MX,Mexico,6,4.4
MX,Mexico,7,2.7
MX,Mexico,8,1.2
MX,Mexico,9,0.2
MX,Mexico,10,0.05
CL,Chile,1,41
CL,Chile,2,18.5
CL,Chile,3,13
CL,Chile,4,9.6
CL,Chile,5,7.1
CL,Chile,6,5
CL,Chile,7,3.2
CL,Chile,8,1.8
CL,Chile,9,0.7
CL,Chile,10,0.1
CO,Colombia,1,48.1
CO,Colombia,2,18
CO,Colombia,3,11.8
CO,Colombia,4,8.4
CO,Colombia,5,5.9
CO,Colombia,6,4
CO,Colombia,7,2.4
CO,Colombia,8,1.2
CO,Colombia,9,0.2
CO,Colombia,10,0.05
