bootstrap_id,comparison_region,n_draws,prop_complete
1,EUROPE,1000,0.6218905472636815
1,LATAM,608,0.3781094527363184
2,EUROPE,1000,0.6218905472636815
2,LATAM,608,0.3781094527363184
3,EUROPE,1000,0.6218905472636815
3,LATAM,608,0.3781094527363184
4,EUROPE,1000,0.6218905472636815
4,LATAM,608,0.3781094527363184
5,EUROPE,1000,0.6218905472636815
5,LATAM,608,0.3781094527363184
6,EUROPE,1000,0.6218905472636815
6,LATAM,608,0.3781094527363184
7,EUROPE,1000,0.6218905472636815
7,LATAM,608,0.3781094527363184
8,EUROPE,1000,0.6218905472636815
8,LATAM,608,0.3781094527363184
9,EUROPE,1000,0.6218905472636815
9,LATAM,608,0.3781094527363184
10,EUROPE,1000,0.6218905472636815
10,LATAM,608,0.3781094527363184
11,EUROPE,1000,0.6218905472636815
11,LATAM,608,0.3781094527363184
12,EUROPE,1000,0.6218905472636815
12,LATAM,608,0.3781094527363184
13,EUROPE,1000,0.6218905472636815
13,LATAM,608,0.3781094527363184
14,EUROPE,1000,0.6218905472636815
14,LATAM,608,0.3781094527363184
15,EUROPE,1000,0.6218905472636815
15,LATAM,608,0.3781094527363184
16,EUROPE,1000,0.6218905472636815
16,LATAM,608,0.3781094527363184
17,EUROPE,1000,0.6218905472636815
17,LATAM,608,0.3781094527363184
18,EUROPE,1000,0.6218905472636815
18,LATAM,608,0.3781094527363184
19,EUROPE,1000,0.6218905472636815
19,LATAM,608,0.3781094527363184
20,EUROPE,1000,0.6218905472636815
20,LATAM,608,0.3781094527363184
21,EUROPE,1000,0.6218905472636815
21,LATAM,608,0.3781094527363184
22,EUROPE,1000,0.6218905472636815
22,LATAM,608,0.3781094527363184
23,EUROPE,1000,0.6218905472636815
23,LATAM,608,0.3781094527363184
24,EUROPE,1000,0.6218905472636815
24,LATAM,608,0.3781094527363184
25,EUROPE,1000,0.6218905472636815
25,LATAM,608,0.3781094527363184
26,EUROPE,1000,0.6218905472636815
26,LATAM,608,0.3781094527363184
27,EUROPE,1000,0.6218905472636815
27,LATAM,608,0.3781094527363184
28,EUROPE,1000,0.6218905472636815
28,LATAM,608,0.3781094527363184
29,EUROPE,1000,0.6218905472636815
29,LATAM,608,0.3781094527363184
30,EUROPE,1000,0.6218905472636815
30,LATAM,608,0.3781094527363184
31,EUROPE,1000,0.6218905472636815
31,LATAM,608,0.3781094527363184
32,EUROPE,1000,0.6218905472636815
32,LATAM,608,0.3781094527363184
33,EUROPE,1000,0.6218905472636815
33,LATAM,608,0.3781094527363184
34,EUROPE,1000,0.6218905472636815
34,LATAM,608,0.3781094527363184
35,EUROPE,1000,0.6218905472636815
35,LATAM,608,0.3781094527363184
36,EUROPE,1000,0.6218905472636815
36,LATAM,608,0.3781094527363184
37,EUROPE,1000,0.6218905472636815
37,LATAM,608,0.3781094527363184
38,EUROPE,1000,0.6218905472636815
38,LATAM,608,0.3781094527363184
39,EUROPE,1000,0.6218905472636815
39,LATAM,608,0.3781094527363184
40,EUROPE,1000,0.6218905472636815
40,LATAM,608,0.3781094527363184
41,EUROPE,1000,0.6218905472636815
41,LATAM,608,0.3781094527363184
42,EUROPE,1000,0.6218905472636815
42,LATAM,608,0.3781094527363184
43,EUROPE,1000,0.6218905472636815
43,LATAM,608,0.3781094527363184
44,EUROPE,1000,0.6218905472636815
44,LATAM,608,0.3781094527363184
45,EUROPE,1000,0.6218905472636815
45,LATAM,608,0.3781094527363184
46,EUROPE,1000,0.6218905472636815
46,LATAM,608,0.3781094527363184
47,EUROPE,1000,0.6218905472636815
47,LATAM,608,0.3781094527363184
48,EUROPE,1000,0.6218905472636815
48,LATAM,608,0.3781094527363184
49,EUROPE,1000,0.6218905472636815
49,LATAM,608,0.3781094527363184
50,EUROPE,1000,0.6218905472636815
50,LATAM,608,0.3781094527363184
51,EUROPE,1000,0.6218905472636815
51,LATAM,608,0.3781094527363184
52,EUROPE,1000,0.6218905472636815
52,LATAM,608,0.3781094527363184
53,EUROPE,1000,0.6218905472636815
53,LATAM,608,0.3781094527363184
54,EUROPE,1000,0.6218905472636815
54,LATAM,608,0.3781094527363184
55,EUROPE,1000,0.6218905472636815
55,LATAM,608,0.3781094527363184
