bootstrap_id,analysis_sample,n_draws
1,COMPLETE,1608
1,EUROPE,1000
1,LATAM,608
1,DIEGO,256
1,RENOVISOR,612
1,WHY_EUROPE,132
1,WHY_LATAM,608
2,COMPLETE,1608
2,EUROPE,1000
2,LATAM,608
2,DIEGO,257
2,RENOVISOR,612
2,WHY_EUROPE,131
2,WHY_LATAM,608
3,COMPLETE,1608
3,EUROPE,1000
3,LATAM,608
3,DIEGO,250
3,RENOVISOR,600
3,WHY_EUROPE,150
3,WHY_LATAM,608
4,COMPLETE,1608
4,EUROPE,1000
4,LATAM,608
4,DIEGO,250
4,RENOVISOR,603
4,WHY_EUROPE,147
4,WHY_LATAM,608
5,COMPLETE,1608
5,EUROPE,1000
5,LATAM,608
5,DIEGO,250
5,RENOVISOR,613
5,WHY_EUROPE,137
5,WHY_LATAM,608
6,COMPLETE,1608
6,EUROPE,1000
6,LATAM,608
6,DIEGO,259
6,RENOVISOR,598
6,WHY_EUROPE,143
6,WHY_LATAM,608
7,COMPLETE,1608
7,EUROPE,1000
7,LATAM,608
7,DIEGO,254
7,RENOVISOR,607
7,WHY_EUROPE,139
7,WHY_LATAM,608
8,COMPLETE,1608
8,EUROPE,1000
8,LATAM,608
8,DIEGO,247
8,RENOVISOR,615
8,WHY_EUROPE,138
8,WHY_LATAM,608
9,COMPLETE,1608
9,EUROPE,1000
9,LATAM,608
9,DIEGO,251
9,RENOVISOR,623
9,WHY_EUROPE,126
9,WHY_LATAM,608
10,COMPLETE,1608
10,EUROPE,1000
10,LATAM,608
10,DIEGO,280
10,RENOVISOR,602
10,WHY_EUROPE,118
10,WHY_LATAM,608
11,COMPLETE,1608
11,EUROPE,1000
11,LATAM,608
11,DIEGO,227
11,RENOVISOR,617
11,WHY_EUROPE,156
11,WHY_LATAM,608
12,COMPLETE,1608
12,EUROPE,1000
12,LATAM,608
12,DIEGO,237
12,RENOVISOR,624
12,WHY_EUROPE,139
12,WHY_LATAM,608
13,COMPLETE,1608
13,EUROPE,1000
13,LATAM,608
13,DIEGO,232
13,RENOVISOR,616
13,WHY_EUROPE,152
13,WHY_LATAM,608
14,COMPLETE,1608
14,EUROPE,1000
14,LATAM,608
14,DIEGO,260
14,RENOVISOR,608
14,WHY_EUROPE,132
14,WHY_LATAM,608
15,COMPLETE,1608
15,EUROPE,1000
15,LATAM,608
15,DIEGO,262
15,RENOVISOR,621
15,WHY_EUROPE,117
15,WHY_LATAM,608
16,COMPLETE,1608
16,EUROPE,1000
16,LATAM,608
16,DIEGO,250
16,RENOVISOR,605
16,WHY_EUROPE,145
16,WHY_LATAM,608
17,COMPLETE,1608
