analysis_sample,variable,category,mean_n,sd_n,mean_total_n,sd_total_n,mean_prop,sd_prop,n_bootstraps
COMPLETE,age_group_model,25_34,690.917,18.484799127899628,1608,0,0.4296747512437811,0.011495521845708751,1000
COMPLETE,age_group_model,18_24,415.134,16.629389062156857,1608,0,0.2581679104477612,0.010341659864525376,1000
COMPLETE,age_group_model,35_44,194.272,12.621859107410735,1608,0,0.12081592039800995,0.007849414867792741,1000
COMPLETE,age_group_model,45_54,139.345,10.890389137931464,1608,0,0.08665733830845772,0.006772630060902649,1000
COMPLETE,age_group_model,unknown,91.739,7.986655474331272,1608,0,0.05705161691542288,0.0049668255437383515,1000
COMPLETE,age_group_model,55_64,56.871,6.9978088233623765,1608,0,0.03536753731343283,0.004351871158807448,1000
COMPLETE,age_group_model,65_plus,19.722,4.261323136641357,1608,0,0.012264925373134328,0.0026500765775132654,1000
EUROPE,age_group_model,25_34,379.654,14.523953636294372,1000,0,0.379654,0.014523953636294407,1000
EUROPE,age_group_model,18_24,229.327,12.817423975095668,1000,0,0.229327,0.012817423975095681,1000
EUROPE,age_group_model,35_44,138.359,10.393755295808592,1000,0,0.138359,0.010393755295808571,1000
EUROPE,age_group_model,45_54,119.773,9.918157129267552,1000,0,0.119773,0.009918157129267536,1000
EUROPE,age_group_model,unknown,62.849,7.127341580000076,1000,0,0.062849,0.007127341580000082,1000
EUROPE,age_group_model,55_64,50.539,6.49512630097873,1000,0,0.050539,0.006495126300978742,1000
EUROPE,age_group_model,65_plus,19.499,4.233192520889987,1000,0,0.019499,0.00423319252088999,1000
LATAM,age_group_model,25_34,311.263,12.133303262015996,608,0,0.5119457236842105,0.019956090891473703,1000
LATAM,age_group_model,18_24,185.807,11.128323799682985,608,0,0.30560361842105266,0.01830316414421542,1000
LATAM,age_group_model,35_44,55.913,7.005605577643485,608,0,0.09196217105263157,0.011522377594808364,1000
LATAM,age_group_model,unknown,28.89,3.807939127717296,608,0,0.047516447368421054,0.006263057775850809,1000
LATAM,age_group_model,45_54,19.572,4.412968421628494,608,0,0.03219078947368421,0.007258171746099504,1000
LATAM,age_group_model,55_64,6.332,2.446990756779391,608,0,0.010414473684210526,0.004024655849966117,1000
LATAM,age_group_model,65_plus,0.223,0.46204381229975117,608,0,3.667763157894737e-4,7.599404807561649e-4,1000
DIEGO,age_group_model,18_24,105.173,9.60986058277749,249.936,11.36992432600935,0.4206943892706886,0.03196727470423563,1000
DIEGO,age_group_model,25_34,93.698,8.475531288988943,249.936,11.36992432600935,0.37495194264643744,0.030080155553978357,1000
DIEGO,age_group_model,45_54,48.063,6.473866073834245,249.936,11.36992432600935,0.19233848078292007,0.02477639275107898,1000
DIEGO,age_group_model,65_plus,3.002,1.7184146615264129,249.936,11.36992432600935,0.012015187299953864,0.006868182715693309,1000
RENOVISOR,age_group_model,25_34,220.716,12.077218355366577,611.641,9.484939803872402,0.36083404004864045,0.018471199559373673,1000
RENOVISOR,age_group_model,35_44,124.483,9.836893588703445,611.641,9.484939803872402,0.20353281883044502,0.015895002726064682,1000
