analysis_sample,bootstrap_id,variable,category,n,total_n,prop
COMPLETE,1,self_classification_archetype_model,Activist,66,605,0.10909090909090909
COMPLETE,1,self_classification_archetype_model,Careful,160,605,0.2644628099173554
COMPLETE,1,self_classification_archetype_model,Early adopter,9,605,0.01487603305785124
COMPLETE,1,self_classification_archetype_model,Fearful,87,605,0.14380165289256197
COMPLETE,1,self_classification_archetype_model,Homo economicus,177,605,0.29256198347107437
COMPLETE,1,self_classification_archetype_model,Influencer,26,605,0.04297520661157025
COMPLETE,1,self_classification_archetype_model,None,17,605,0.02809917355371901
COMPLETE,1,self_classification_archetype_model,Stubborn,47,605,0.07768595041322314
COMPLETE,1,self_classification_archetype_model,Uninterested,16,605,0.026446280991735537
COMPLETE,2,self_classification_archetype_model,Activist,76,605,0.1256198347107438
COMPLETE,2,self_classification_archetype_model,Careful,190,605,0.3140495867768595
COMPLETE,2,self_classification_archetype_model,Early adopter,10,605,0.01652892561983471
COMPLETE,2,self_classification_archetype_model,Fearful,70,605,0.11570247933884298
COMPLETE,2,self_classification_archetype_model,Homo economicus,163,605,0.2694214876033058
COMPLETE,2,self_classification_archetype_model,Influencer,33,605,0.05454545454545454
COMPLETE,2,self_classification_archetype_model,None,13,605,0.021487603305785124
COMPLETE,2,self_classification_archetype_model,Stubborn,41,605,0.06776859504132231
COMPLETE,2,self_classification_archetype_model,Uninterested,9,605,0.01487603305785124
COMPLETE,3,self_classification_archetype_model,Activist,76,585,0.12991452991452992
COMPLETE,3,self_classification_archetype_model,Careful,181,585,0.3094017094017094
COMPLETE,3,self_classification_archetype_model,Early adopter,6,585,0.010256410256410256
COMPLETE,3,self_classification_archetype_model,Fearful,87,585,0.14871794871794872
COMPLETE,3,self_classification_archetype_model,Homo economicus,145,585,0.24786324786324787
COMPLETE,3,self_classification_archetype_model,Influencer,30,585,0.05128205128205128
COMPLETE,3,self_classification_archetype_model,None,9,585,0.015384615384615385
COMPLETE,3,self_classification_archetype_model,Stubborn,35,585,0.05982905982905983
COMPLETE,3,self_classification_archetype_model,Uninterested,16,585,0.02735042735042735
COMPLETE,4,self_classification_archetype_model,Activist,70,596,0.1174496644295302
COMPLETE,4,self_classification_archetype_model,Careful,180,596,0.30201342281879195
COMPLETE,4,self_classification_archetype_model,Early adopter,7,596,0.01174496644295302
COMPLETE,4,self_classification_archetype_model,Fearful,94,596,0.15771812080536912
COMPLETE,4,self_classification_archetype_model,Homo economicus,172,596,0.28859060402684567
COMPLETE,4,self_classification_archetype_model,Influencer,25,596,0.04194630872483222
COMPLETE,4,self_classification_archetype_model,None,10,596,0.016778523489932886
COMPLETE,4,self_classification_archetype_model,Stubborn,23,596,0.03859060402684564
COMPLETE,4,self_classification_archetype_model,Uninterested,15,596,0.025167785234899327
COMPLETE,5,self_classification_archetype_model,Activist,65,600,0.10833333333333334
COMPLETE,5,self_classification_archetype_model,Careful,178,600,0.2966666666666667
COMPLETE,5,self_classification_archetype_model,Early adopter,2,600,0.0033333333333333335
COMPLETE,5,self_classification_archetype_model,Fearful,85,600,0.14166666666666666
COMPLETE,5,self_classification_archetype_model,Homo economicus,171,600,0.285
COMPLETE,5,self_classification_archetype_model,Influencer,27,600,0.045
COMPLETE,5,self_classification_archetype_model,None,16,600,0.02666666666666667
COMPLETE,5,self_classification_archetype_model,Stubborn,35,600,0.058333333333333334
COMPLETE,5,self_classification_archetype_model,Uninterested,21,600,0.035
COMPLETE,6,self_classification_archetype_model,Activist,71,588,0.12074829931972789
COMPLETE,6,self_classification_archetype_model,Careful,171,588,0.29081632653061223
COMPLETE,6,self_classification_archetype_model,Early adopter,5,588,0.008503401360544218
COMPLETE,6,self_classification_archetype_model,Fearful,87,588,0.14795918367346939
COMPLETE,6,self_classification_archetype_model,Homo economicus,170,588,0.2891156462585034
COMPLETE,6,self_classification_archetype_model,Influencer,26,588,0.04421768707482993
COMPLETE,6,self_classification_archetype_model,None,11,588,0.01870748299319728
COMPLETE,6,self_classification_archetype_model,Stubborn,33,588,0.05612244897959184
COMPLETE,6,self_classification_archetype_model,Uninterested,14,588,0.023809523809523808
COMPLETE,7,self_classification_archetype_model,Activist,78,602,0.12956810631229235
COMPLETE,7,self_classification_archetype_model,Careful,178,602,0.2956810631229236
COMPLETE,7,self_classification_archetype_model,Early adopter,5,602,0.008305647840531562
COMPLETE,7,self_classification_archetype_model,Fearful,76,602,0.12624584717607973
COMPLETE,7,self_classification_archetype_model,Homo economicus,167,602,0.27740863787375414
COMPLETE,7,self_classification_archetype_model,Influencer,35,602,0.05813953488372093
COMPLETE,7,self_classification_archetype_model,None,9,602,0.014950166112956811
COMPLETE,7,self_classification_archetype_model,Stubborn,31,602,0.05149501661129568
COMPLETE,7,self_classification_archetype_model,Uninterested,23,602,0.03820598006644518
COMPLETE,8,self_classification_archetype_model,Activist,74,605,0.12231404958677686
COMPLETE,8,self_classification_archetype_model,Careful,178,605,0.29421487603305785
COMPLETE,8,self_classification_archetype_model,Early adopter,10,605,0.01652892561983471
COMPLETE,8,self_classification_archetype_model,Fearful,90,605,0.1487603305785124
COMPLETE,8,self_classification_archetype_model,Homo economicus,166,605,0.2743801652892562
COMPLETE,8,self_classification_archetype_model,Influencer,23,605,0.03801652892561983
COMPLETE,8,self_classification_archetype_model,None,7,605,0.011570247933884297
COMPLETE,8,self_classification_archetype_model,Stubborn,44,605,0.07272727272727272
COMPLETE,8,self_classification_archetype_model,Uninterested,13,605,0.021487603305785124
COMPLETE,9,self_classification_archetype_model,Activist,70,612,0.11437908496732026
COMPLETE,9,self_classification_archetype_model,Careful,182,612,0.2973856209150327
COMPLETE,9,self_classification_archetype_model,Early adopter,2,612,0.0032679738562091504
COMPLETE,9,self_classification_archetype_model,Fearful,84,612,0.13725490196078433
COMPLETE,9,self_classification_archetype_model,Homo economicus,181,612,0.2957516339869281
COMPLETE,9,self_classification_archetype_model,Influencer,25,612,0.04084967320261438
COMPLETE,9,self_classification_archetype_model,None,5,612,0.008169934640522876
COMPLETE,9,self_classification_archetype_model,Stubborn,46,612,0.07516339869281045
COMPLETE,9,self_classification_archetype_model,Uninterested,17,612,0.027777777777777776
COMPLETE,10,self_classification_archetype_model,Activist,77,595,0.12941176470588237
COMPLETE,10,self_classification_archetype_model,Careful,161,595,0.27058823529411763
COMPLETE,10,self_classification_archetype_model,Early adopter,3,595,0.005042016806722689
COMPLETE,10,self_classification_archetype_model,Fearful,93,595,0.15630252100840336
COMPLETE,10,self_classification_archetype_model,Homo economicus,175,595,0.29411764705882354
COMPLETE,10,self_classification_archetype_model,Influencer,25,595,0.04201680672268908
COMPLETE,10,self_classification_archetype_model,None,12,595,0.020168067226890758
COMPLETE,10,self_classification_archetype_model,Stubborn,34,595,0.05714285714285714
COMPLETE,10,self_classification_archetype_model,Uninterested,15,595,0.025210084033613446
COMPLETE,11,self_classification_archetype_model,Activist,71,608,0.11677631578947369
COMPLETE,11,self_classification_archetype_model,Careful,176,608,0.2894736842105263
COMPLETE,11,self_classification_archetype_model,Early adopter,6,608,0.009868421052631578
COMPLETE,11,self_classification_archetype_model,Fearful,80,608,0.13157894736842105
COMPLETE,11,self_classification_archetype_model,Homo economicus,179,608,0.2944078947368421
COMPLETE,11,self_classification_archetype_model,Influencer,33,608,0.054276315789473686
COMPLETE,11,self_classification_archetype_model,None,3,608,0.004934210526315789
COMPLETE,11,self_classification_archetype_model,Stubborn,45,608,0.07401315789473684
COMPLETE,11,self_classification_archetype_model,Uninterested,15,608,0.024671052631578948
COMPLETE,12,self_classification_archetype_model,Activist,68,618,0.11003236245954692
COMPLETE,12,self_classification_archetype_model,Careful,193,618,0.3122977346278317
COMPLETE,12,self_classification_archetype_model,Early adopter,8,618,0.012944983818770227
COMPLETE,12,self_classification_archetype_model,Fearful,83,618,0.1343042071197411
COMPLETE,12,self_classification_archetype_model,Homo economicus,169,618,0.27346278317152106
COMPLETE,12,self_classification_archetype_model,Influencer,32,618,0.05177993527508091
COMPLETE,12,self_classification_archetype_model,None,7,618,0.011326860841423949
COMPLETE,12,self_classification_archetype_model,Stubborn,42,618,0.06796116504854369
COMPLETE,12,self_classification_archetype_model,Uninterested,16,618,0.025889967637540454
COMPLETE,13,self_classification_archetype_model,Activist,71,611,0.11620294599018004
COMPLETE,13,self_classification_archetype_model,Careful,184,611,0.3011456628477905
COMPLETE,13,self_classification_archetype_model,Early adopter,8,611,0.01309328968903437
COMPLETE,13,self_classification_archetype_model,Fearful,92,611,0.15057283142389524
COMPLETE,13,self_classification_archetype_model,Homo economicus,158,611,0.25859247135842883
COMPLETE,13,self_classification_archetype_model,Influencer,38,611,0.062193126022913256
COMPLETE,13,self_classification_archetype_model,None,14,611,0.022913256955810146
COMPLETE,13,self_classification_archetype_model,Stubborn,34,611,0.05564648117839607
COMPLETE,13,self_classification_archetype_model,Uninterested,12,611,0.019639934533551555
COMPLETE,14,self_classification_archetype_model,Activist,68,599,0.11352253756260434
COMPLETE,14,self_classification_archetype_model,Careful,176,599,0.2938230383973289
COMPLETE,14,self_classification_archetype_model,Early adopter,8,599,0.01335559265442404
COMPLETE,14,self_classification_archetype_model,Fearful,82,599,0.13689482470784642
COMPLETE,14,self_classification_archetype_model,Homo economicus,179,599,0.2988313856427379
COMPLETE,14,self_classification_archetype_model,Influencer,27,599,0.045075125208681135
COMPLETE,14,self_classification_archetype_model,None,15,599,0.025041736227045076
COMPLETE,14,self_classification_archetype_model,Stubborn,30,599,0.05008347245409015
COMPLETE,14,self_classification_archetype_model,Uninterested,14,599,0.02337228714524207
COMPLETE,15,self_classification_archetype_model,Activist,82,611,0.1342062193126023
COMPLETE,15,self_classification_archetype_model,Careful,181,611,0.29623567921440264
COMPLETE,15,self_classification_archetype_model,Early adopter,10,611,0.016366612111292964
COMPLETE,15,self_classification_archetype_model,Fearful,79,611,0.12929623567921442
COMPLETE,15,self_classification_archetype_model,Homo economicus,163,611,0.26677577741407527
COMPLETE,15,self_classification_archetype_model,Influencer,31,611,0.05073649754500818
COMPLETE,15,self_classification_archetype_model,None,6,611,0.009819967266775777
COMPLETE,15,self_classification_archetype_model,Stubborn,42,611,0.06873977086743044
COMPLETE,15,self_classification_archetype_model,Uninterested,17,611,0.027823240589198037
COMPLETE,16,self_classification_archetype_model,Activist,65,598,0.10869565217391304
COMPLETE,16,self_classification_archetype_model,Careful,172,598,0.28762541806020064
COMPLETE,16,self_classification_archetype_model,Early adopter,11,598,0.01839464882943144
COMPLETE,16,self_classification_archetype_model,Fearful,76,598,0.12709030100334448
COMPLETE,16,self_classification_archetype_model,Homo economicus,183,598,0.3060200668896321
COMPLETE,16,self_classification_archetype_model,Influencer,33,598,0.05518394648829431
COMPLETE,16,self_classification_archetype_model,None,7,598,0.011705685618729096
COMPLETE,16,self_classification_archetype_model,Stubborn,31,598,0.051839464882943144
COMPLETE,16,self_classification_archetype_model,Uninterested,20,598,0.033444816053511704
COMPLETE,17,self_classification_archetype_model,Activist,82,618,0.13268608414239483
COMPLETE,17,self_classification_archetype_model,Careful,179,618,0.2896440129449838
COMPLETE,17,self_classification_archetype_model,Early adopter,12,618,0.019417475728155338
COMPLETE,17,self_classification_archetype_model,Fearful,90,618,0.14563106796116504
COMPLETE,17,self_classification_archetype_model,Homo economicus,170,618,0.2750809061488673
COMPLETE,17,self_classification_archetype_model,Influencer,25,618,0.040453074433656956
COMPLETE,17,self_classification_archetype_model,None,8,618,0.012944983818770227
COMPLETE,17,self_classification_archetype_model,Stubborn,31,618,0.05016181229773463
COMPLETE,17,self_classification_archetype_model,Uninterested,21,618,0.03398058252427184
COMPLETE,18,self_classification_archetype_model,Activist,80,612,0.13071895424836602
COMPLETE,18,self_classification_archetype_model,Careful,159,612,0.25980392156862747
COMPLETE,18,self_classification_archetype_model,Early adopter,11,612,0.017973856209150325
COMPLETE,18,self_classification_archetype_model,Fearful,93,612,0.15196078431372548
COMPLETE,18,self_classification_archetype_model,Homo economicus,173,612,0.2826797385620915
COMPLETE,18,self_classification_archetype_model,Influencer,30,612,0.049019607843137254
COMPLETE,18,self_classification_archetype_model,None,14,612,0.02287581699346405
COMPLETE,18,self_classification_archetype_model,Stubborn,43,612,0.07026143790849673
COMPLETE,18,self_classification_archetype_model,Uninterested,9,612,0.014705882352941176
COMPLETE,19,self_classification_archetype_model,Activist,48,600,0.08
COMPLETE,19,self_classification_archetype_model,Careful,178,600,0.2966666666666667
COMPLETE,19,self_classification_archetype_model,Early adopter,6,600,0.01
COMPLETE,19,self_classification_archetype_model,Fearful,88,600,0.14666666666666667
COMPLETE,19,self_classification_archetype_model,Homo economicus,192,600,0.32
COMPLETE,19,self_classification_archetype_model,Influencer,30,600,0.05
COMPLETE,19,self_classification_archetype_model,None,11,600,0.018333333333333333
COMPLETE,19,self_classification_archetype_model,Stubborn,34,600,0.056666666666666664
COMPLETE,19,self_classification_archetype_model,Uninterested,13,600,0.021666666666666667
COMPLETE,20,self_classification_archetype_model,Activist,68,608,0.1118421052631579
COMPLETE,20,self_classification_archetype_model,Careful,181,608,0.29769736842105265
COMPLETE,20,self_classification_archetype_model,Early adopter,9,608,0.014802631578947368
COMPLETE,20,self_classification_archetype_model,Fearful,88,608,0.14473684210526316
COMPLETE,20,self_classification_archetype_model,Homo economicus,172,608,0.28289473684210525
COMPLETE,20,self_classification_archetype_model,Influencer,36,608,0.05921052631578947
COMPLETE,20,self_classification_archetype_model,None,10,608,0.01644736842105263
COMPLETE,20,self_classification_archetype_model,Stubborn,36,608,0.05921052631578947
COMPLETE,20,self_classification_archetype_model,Uninterested,8,608,0.013157894736842105
COMPLETE,21,self_classification_archetype_model,Activist,84,605,0.13884297520661157
COMPLETE,21,self_classification_archetype_model,Careful,189,605,0.31239669421487604
COMPLETE,21,self_classification_archetype_model,Early adopter,9,605,0.01487603305785124
COMPLETE,21,self_classification_archetype_model,Fearful,67,605,0.11074380165289256
COMPLETE,21,self_classification_archetype_model,Homo economicus,175,605,0.2892561983471074
COMPLETE,21,self_classification_archetype_model,Influencer,22,605,0.03636363636363636
COMPLETE,21,self_classification_archetype_model,None,7,605,0.011570247933884297
COMPLETE,21,self_classification_archetype_model,Stubborn,37,605,0.06115702479338843
COMPLETE,21,self_classification_archetype_model,Uninterested,15,605,0.024793388429752067
COMPLETE,22,self_classification_archetype_model,Activist,68,600,0.11333333333333333
COMPLETE,22,self_classification_archetype_model,Careful,175,600,0.2916666666666667
COMPLETE,22,self_classification_archetype_model,Early adopter,10,600,0.016666666666666666
COMPLETE,22,self_classification_archetype_model,Fearful,86,600,0.14333333333333334
COMPLETE,22,self_classification_archetype_model,Homo economicus,159,600,0.265
COMPLETE,22,self_classification_archetype_model,Influencer,36,600,0.06
COMPLETE,22,self_classification_archetype_model,None,14,600,0.023333333333333334
COMPLETE,22,self_classification_archetype_model,Stubborn,37,600,0.06166666666666667
COMPLETE,22,self_classification_archetype_model,Uninterested,15,600,0.025
COMPLETE,23,self_classification_archetype_model,Activist,90,587,0.15332197614991483
COMPLETE,23,self_classification_archetype_model,Careful,173,587,0.29471890971039183
COMPLETE,23,self_classification_archetype_model,Early adopter,3,587,0.005110732538330494
COMPLETE,23,self_classification_archetype_model,Fearful,77,587,0.131175468483816
COMPLETE,23,self_classification_archetype_model,Homo economicus,170,587,0.28960817717206133
COMPLETE,23,self_classification_archetype_model,Influencer,25,587,0.04258943781942078
COMPLETE,23,self_classification_archetype_model,None,12,587,0.020442930153321975
COMPLETE,23,self_classification_archetype_model,Stubborn,31,587,0.05281090289608177
COMPLETE,23,self_classification_archetype_model,Uninterested,6,587,0.010221465076660987
COMPLETE,24,self_classification_archetype_model,Activist,82,610,0.13442622950819672
COMPLETE,24,self_classification_archetype_model,Careful,163,610,0.26721311475409837
COMPLETE,24,self_classification_archetype_model,Early adopter,8,610,0.013114754098360656
COMPLETE,24,self_classification_archetype_model,Fearful,74,610,0.12131147540983607
COMPLETE,24,self_classification_archetype_model,Homo economicus,184,610,0.3016393442622951
COMPLETE,24,self_classification_archetype_model,Influencer,34,610,0.05573770491803279
COMPLETE,24,self_classification_archetype_model,None,11,610,0.018032786885245903
COMPLETE,24,self_classification_archetype_model,Stubborn,39,610,0.06393442622950819
COMPLETE,24,self_classification_archetype_model,Uninterested,15,610,0.02459016393442623
COMPLETE,25,self_classification_archetype_model,Activist,65,598,0.10869565217391304
COMPLETE,25,self_classification_archetype_model,Careful,179,598,0.2993311036789298
COMPLETE,25,self_classification_archetype_model,Early adopter,3,598,0.005016722408026756
COMPLETE,25,self_classification_archetype_model,Fearful,73,598,0.12207357859531773
COMPLETE,25,self_classification_archetype_model,Homo economicus,170,598,0.2842809364548495
COMPLETE,25,self_classification_archetype_model,Influencer,37,598,0.061872909698996656
COMPLETE,25,self_classification_archetype_model,None,7,598,0.011705685618729096
COMPLETE,25,self_classification_archetype_model,Stubborn,48,598,0.0802675585284281
COMPLETE,25,self_classification_archetype_model,Uninterested,16,598,0.026755852842809364
COMPLETE,26,self_classification_archetype_model,Activist,73,603,0.12106135986733002
COMPLETE,26,self_classification_archetype_model,Careful,192,603,0.31840796019900497
COMPLETE,26,self_classification_archetype_model,Early adopter,8,603,0.013266998341625208
COMPLETE,26,self_classification_archetype_model,Fearful,80,603,0.13266998341625208
COMPLETE,26,self_classification_archetype_model,Homo economicus,172,603,0.28524046434494194
COMPLETE,26,self_classification_archetype_model,Influencer,17,603,0.028192371475953566
COMPLETE,26,self_classification_archetype_model,None,11,603,0.01824212271973466
COMPLETE,26,self_classification_archetype_model,Stubborn,33,603,0.05472636815920398
COMPLETE,26,self_classification_archetype_model,Uninterested,17,603,0.028192371475953566
COMPLETE,27,self_classification_archetype_model,Activist,70,610,0.11475409836065574
COMPLETE,27,self_classification_archetype_model,Careful,180,610,0.29508196721311475
COMPLETE,27,self_classification_archetype_model,Early adopter,10,610,0.01639344262295082
COMPLETE,27,self_classification_archetype_model,Fearful,99,610,0.16229508196721312
COMPLETE,27,self_classification_archetype_model,Homo economicus,154,610,0.25245901639344265
COMPLETE,27,self_classification_archetype_model,Influencer,25,610,0.040983606557377046
COMPLETE,27,self_classification_archetype_model,None,10,610,0.01639344262295082
COMPLETE,27,self_classification_archetype_model,Stubborn,42,610,0.06885245901639345
COMPLETE,27,self_classification_archetype_model,Uninterested,20,610,0.03278688524590164
COMPLETE,28,self_classification_archetype_model,Activist,65,586,0.11092150170648464
COMPLETE,28,self_classification_archetype_model,Careful,169,586,0.2883959044368601
COMPLETE,28,self_classification_archetype_model,Early adopter,6,586,0.010238907849829351
COMPLETE,28,self_classification_archetype_model,Fearful,82,586,0.13993174061433447
COMPLETE,28,self_classification_archetype_model,Homo economicus,184,586,0.31399317406143346
COMPLETE,28,self_classification_archetype_model,Influencer,30,586,0.051194539249146756
COMPLETE,28,self_classification_archetype_model,None,7,586,0.011945392491467578
COMPLETE,28,self_classification_archetype_model,Stubborn,29,586,0.04948805460750853
COMPLETE,28,self_classification_archetype_model,Uninterested,14,586,0.023890784982935155
COMPLETE,29,self_classification_archetype_model,Activist,74,601,0.12312811980033278
COMPLETE,29,self_classification_archetype_model,Careful,184,601,0.30615640599001664
COMPLETE,29,self_classification_archetype_model,Early adopter,6,601,0.009983361064891847
COMPLETE,29,self_classification_archetype_model,Fearful,85,601,0.14143094841930118
COMPLETE,29,self_classification_archetype_model,Homo economicus,167,601,0.2778702163061564
COMPLETE,29,self_classification_archetype_model,Influencer,31,601,0.051580698835274545
COMPLETE,29,self_classification_archetype_model,None,14,601,0.02329450915141431
COMPLETE,29,self_classification_archetype_model,Stubborn,29,601,0.048252911813643926
COMPLETE,29,self_classification_archetype_model,Uninterested,11,601,0.018302828618968387
COMPLETE,30,self_classification_archetype_model,Activist,71,594,0.11952861952861953
COMPLETE,30,self_classification_archetype_model,Careful,178,594,0.2996632996632997
COMPLETE,30,self_classification_archetype_model,Early adopter,4,594,0.006734006734006734
COMPLETE,30,self_classification_archetype_model,Fearful,81,594,0.13636363636363635
COMPLETE,30,self_classification_archetype_model,Homo economicus,155,594,0.2609427609427609
COMPLETE,30,self_classification_archetype_model,Influencer,35,594,0.058922558922558925
COMPLETE,30,self_classification_archetype_model,None,13,594,0.021885521885521887
COMPLETE,30,self_classification_archetype_model,Stubborn,40,594,0.06734006734006734
COMPLETE,30,self_classification_archetype_model,Uninterested,17,594,0.02861952861952862
COMPLETE,31,self_classification_archetype_model,Activist,69,607,0.11367380560131796
COMPLETE,31,self_classification_archetype_model,Careful,194,607,0.31960461285008235
COMPLETE,31,self_classification_archetype_model,Early adopter,9,607,0.014827018121911038
