analysis_sample,determinant,n_rows,n_missing,prop_missing,mean_observed,sd_observed,min_observed,max_observed
DIEGO,det_01_profits,1899,0,0,43.41045003640295,27.46311664701179,0.1364431647005504,99.95725057630507
DIEGO,det_02_credit_score,1899,0,0,42.30224236345108,26.1897590758616,0.015083984758967883,99.93534334710226
DIEGO,det_03_risk_profile,1899,0,0,49.896218493383756,25.911223574069243,0.281339752976284,99.99136090776719
DIEGO,det_04_added_value,1899,0,0,57.68852707373542,25.490862960779648,0.18266103935291045,99.94367383478753
DIEGO,det_05_frugality,1899,0,0,43.22254509221676,26.522925332177916,0.2798062634210897,99.86107598577557
DIEGO,det_06_climate_protection,1899,0,0,56.39962865271151,25.9140990179083,0.10219426872697954,99.99990145365531
DIEGO,det_07_legal,1899,0,0,53.175362629111625,25.8185054835189,0.0415505006908623,99.80983012942836
DIEGO,det_08_trust,1899,0,0,64.94346888079416,23.99296910791766,0.17186816524050738,99.91569352833905
DIEGO,det_09_safety,1899,0,0,58.42589138600208,25.55720324602105,0.14825098505484308,99.97245561156835
DIEGO,det_10_cost_efficiency,1899,0,0,61.27203252604251,24.750728384514534,0.014716450324231412,99.9681538112205
DIEGO,det_11_knowledge,1899,0,0,65.02310101100834,22.972119682410668,0.20097615449332645,99.96703784326216
DIEGO,det_12_own_competence,1899,0,0,55.68580346045974,25.725703114461336,0.34735635688650224,99.88118273889128
DIEGO,det_13_technical_fit,1899,0,0,59.76802892103378,25.345948787272555,0.0016885854302706165,99.91686552758485
DIEGO,det_14_environmental_concerns,1899,0,0,62.130030108122234,24.23841589830109,0.7398904628828086,99.99992689857886
DIEGO,det_15_self_satisfaction,1899,0,0,64.95169213624837,23.982588307858173,0.47427756608481886,99.91443128915625
DIEGO,det_16_commitment,1899,0,0,66.71424212589407,22.826162089846825,0.021744479006002848,99.99587983778356
DIEGO,det_17_adherence,1899,0,0,68.26215939770827,22.497381388781903,0.1230141329255863,99.96315202050138
DIEGO,det_18_autonomy,1899,0,0,54.39847076343984,25.24388331246538,0.07676443923262949,99.97720731328162
DIEGO,det_19_wellbeing,1899,0,0,55.87660347592913,26.570597099977743,0.22319730517263991,99.95392373195477
DIEGO,det_20_coziness,1899,0,0,53.55450724802869,25.587204119582783,0.5199327686178701,99.98278485291658
DIEGO,det_21_rights_and_duties,1899,0,0,55.564957168907554,25.9167168787169,0.017122305934635935,99.97882363526628
DIEGO,det_22_peer_pressure,1899,0,0,40.98944526579481,26.687322694335503,0.07047369515466026,99.83469653618234
DIEGO,det_23_support,1899,0,0,43.92300742525834,26.46676754600276,0.11173780549159626,99.5109250449647
DIEGO,det_24_socialising,1899,0,0,42.91523602480007,26.367694526106103,0.02120989556894104,99.94364159499102
DIEGO,det_25_agreement,1899,0,0,45.489179898968736,26.626136926252705,0.04637000898306545,99.96868130997301
DIEGO,det_26_novelty,1899,0,0,58.488628157973686,26.100620637498118,0.21278330488030972,99.99978112353277
DIEGO,det_27_fun,1899,0,0,55.46657695882176,26.813151312556588,0.019958905986694486,99.84335951695914
DIEGO,det_28_recognition,1899,0,0,37.45878970113973,25.853563378776464,0.034604183070091596,99.66491535873261
DIEGO,det_29_trends,1899,0,0,35.52172484118287,24.607440210188496,0.12060859516959119,99.25764359494069
DIEGO,det_30_authority,1899,0,0,43.107976736364016,25.78416390011841,0.08845028602647573,99.96491188228913
DIEGO,det_31_approval,1899,0,0,35.86141312168565,24.898583081188143,0.005470865717760454,99.9508882775908
DIEGO,det_32_own_significance,1899,0,0,62.80159706708069,24.28401839758651,0.11058744413703914,99.90602954151653
