analysis_sample,integrated_row_id,subsample,comparison_region,subsample_row_id,global_participant_key,dataset_source,source_survey,source_file,participant_key,prolific_id,identification_code,country_model,country_model_grouped,country_region_model,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,dim_autonomy,dim_competence,dim_financial,dim_meaning,dim_physiological,dim_popularity,dim_relatedness,dim_security,dim_stimulation
DIEGO,2858,DIEGO,EUROPE,1,diego__diego_1,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1,NA,NA,IT,IT,southern_europe,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.14847161860492228,0.6283560934995469,0.15604756465522127,0.1895409986748432,0.26528667275967704,0.20546132471099918,0.3785320376644993,0.418549826461119,0
DIEGO,2859,DIEGO,EUROPE,2,diego__diego_2,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_2,NA,NA,IT,IT,southern_europe,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.4482762773065099,0.28967824203916814,0.3246601759549369,0.7323306116919103,0,0.17550702488638112,0.5482144112460101,0.8139208177585265,0.45401014434389425
DIEGO,2860,DIEGO,EUROPE,3,diego__diego_3,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_3,NA,NA,ES,ES,southern_europe,18_24,female,student,usable_complete,TRUE,TRUE,32,0.38345661517807733,0.42599770049710906,0.4763066830285022,0,0,0.343889204275792,0.18319859793268375,0.4779253290806125,0
DIEGO,2861,DIEGO,EUROPE,4,diego__diego_4,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_4,NA,NA,ES,ES,southern_europe,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.13279771838099272,0.3132373299668512,0.13306872852671986,0,0.2579204815430131,0.36704464783573876,0.3981210784337101,0.4163734295366699,0.3127635645907813
DIEGO,2862,DIEGO,EUROPE,5,diego__diego_5,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_5,NA,NA,IT,IT,southern_europe,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.14048183098569694,0.5689127311960056,0.12575847234519782,0,0,0.36671923848633775,0.20530728603057877,0.30903736016087313,0.6036019798965232
DIEGO,2863,DIEGO,EUROPE,6,diego__diego_6,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_6,NA,NA,IT,IT,southern_europe,18_24,male,student,usable_complete,TRUE,TRUE,32,0.564299622681087,0.5677541484910764,0.18252647141385553,0,0.4213591776690905,0.42473079107559686,0.7644148204589505,0.28298493059094615,0
DIEGO,2864,DIEGO,EUROPE,7,diego__diego_7,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_7,NA,NA,GR,GR,southern_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.3341011802168078,0.3720605318543819,0.29482307205411107,0.2403802046692121,0,0.5060764670997794,0.46645848879371254,0,0.41633631147539746
DIEGO,2865,DIEGO,EUROPE,8,diego__diego_8,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_8,NA,NA,GR,GR,southern_europe,45_54,male,employed,usable_complete,TRUE,TRUE,32,0,0,0,0,0.6661291680736636,0,0.2691438487179753,0.21790697771398318,0.769341396658866
DIEGO,2866,DIEGO,EUROPE,9,diego__diego_9,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_9,NA,NA,GR,GR,southern_europe,45_54,male,self_employed,usable_complete,TRUE,TRUE,32,0.1434085197810584,0.3249186660661054,0.10048317659253599,0,0,0,0.5190448569350341,0.31071404405752917,0.7309728771135185
DIEGO,2867,DIEGO,EUROPE,10,diego__diego_10,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_10,NA,NA,IT,IT,southern_europe,45_54,female,employed,usable_complete,TRUE,TRUE,32,0.47749235307388327,0.15179308004969314,0.308952807125453,0.3998936963673883,0.8545545953619152,0.36631849154129886,0.3484085070211066,0,0.7908161308938523
