analysis_sample,determinant,n_rows,n_missing,prop_missing,mean_observed,sd_observed,min_observed,max_observed
EUROPE,det_12_own_competence,3764,56,0.01487778958554729,59.74308003544037,24.057080661338453,0,100
EUROPE,det_27_fun,3764,54,0.014346439957492029,48.32534491773641,27.081056660975865,0,100
EUROPE,det_04_added_value,3764,53,0.0140807651434644,57.6810867456275,23.57760034924425,0,100
EUROPE,det_18_autonomy,3764,51,0.01354941551540914,58.08583247502629,23.706959733447526,0,100
EUROPE,det_30_authority,3764,51,0.01354941551540914,37.84003442562752,25.615551589439892,0,100
EUROPE,det_23_support,3764,49,0.013018065887353878,45.65351039046184,25.45699012963994,0,100
EUROPE,det_26_novelty,3764,46,0.012221041445270989,53.60944186982039,26.18807610868701,0,100
EUROPE,det_03_risk_profile,3764,43,0.011424017003188097,58.9892284114311,24.718237801157546,0,100
EUROPE,det_05_frugality,3764,41,0.010892667375132838,52.384263532129665,26.350115141981657,0,100
EUROPE,det_24_socialising,3764,40,0.010626992561105207,36.03142674841453,25.99730878404115,0,100
EUROPE,det_25_agreement,3764,39,0.010361317747077577,49.71703426258826,26.788951962289914,0,100
EUROPE,det_02_credit_score,3764,37,0.009829968119022316,55.17573336415181,28.096916791810933,0,100
EUROPE,det_32_own_significance,3764,37,0.009829968119022316,59.069287048668194,24.158861192580837,0,100
EUROPE,det_20_coziness,3764,36,0.009564293304994687,58.75804969528049,24.035339060270097,0,100
EUROPE,det_21_rights_and_duties,3764,36,0.009564293304994687,59.78697791409746,24.71829404117465,0,100
EUROPE,det_17_adherence,3764,35,0.009298618490967057,70.93264700891608,20.372499520991916,0,100
EUROPE,det_07_legal,3764,34,0.009032943676939426,61.42734949937854,25.85327805712596,0,100
EUROPE,det_08_trust,3764,33,0.008767268862911796,68.91413760509992,22.372857542471777,0,100
EUROPE,det_16_commitment,3764,33,0.008767268862911796,68.22952178962012,20.64386349288237,0,100
EUROPE,det_01_profits,3764,31,0.008235919234856535,52.096020524813504,27.311986789081985,0,100
EUROPE,det_09_safety,3764,31,0.008235919234856535,63.69053515725086,23.75501075932112,0,100
EUROPE,det_29_trends,3764,28,0.007438894792773645,32.939442043202966,24.20971397484532,0,100
EUROPE,det_22_peer_pressure,3764,27,0.0071732199787460146,39.59725891349858,25.72511386250932,0,100
EUROPE,det_06_climate_protection,3764,25,0.0066418703506907545,57.73733479847527,25.275531693766567,0,100
EUROPE,det_14_environmental_concerns,3764,23,0.006110520722635494,63.745503120909994,23.5228051144109,0,100
EUROPE,det_19_wellbeing,3764,22,0.005844845908607864,62.56805718887999,24.691796970517608,0,100
EUROPE,det_10_cost_efficiency,3764,21,0.005579171094580234,69.38888318646919,23.193260605741454,0,100
EUROPE,det_31_approval,3764,21,0.005579171094580234,30.025600726177114,24.377344659396186,0,100
EUROPE,det_13_technical_fit,3764,20,0.005313496280552604,66.41786509643231,23.260901554169653,0,100
EUROPE,det_28_recognition,3764,20,0.005313496280552604,31.523568814760864,25.579259180591666,0,100
EUROPE,det_11_knowledge,3764,15,0.003985122210414453,71.52303782872903,21.643722298504418,0,100
EUROPE,det_15_self_satisfaction,3764,15,0.003985122210414453,69.91898195965206,21.475852578401792,0,100
