analysis_sample,determinant,n_rows,n_missing,prop_missing,mean_observed,sd_observed,min_observed,max_observed
LATAM,det_05_frugality,608,14,0.023026315789473683,59.398989898989896,24.50296603837598,0,100
LATAM,det_06_climate_protection,608,14,0.023026315789473683,61.606060606060595,23.154070740906548,0,100
LATAM,det_08_trust,608,13,0.02138157894736842,69.54453781512606,21.890666866769585,0,100
LATAM,det_04_added_value,608,12,0.019736842105263157,58.03020134228187,22.517871758468246,0,100
LATAM,det_18_autonomy,608,12,0.019736842105263157,70.13255033557047,19.67767700488009,0,100
LATAM,det_19_wellbeing,608,11,0.018092105263157895,73.18425460636516,20.31917020552532,0,100
LATAM,det_20_coziness,608,11,0.018092105263157895,66.19095477386934,21.922079487432775,0,100
LATAM,det_30_authority,608,11,0.018092105263157895,42.383584589614784,27.90285037305755,0,100
LATAM,det_31_approval,608,11,0.018092105263157895,26.584589614740334,25.14251253590647,0,100
LATAM,det_07_legal,608,10,0.01644736842105263,66.24080267558527,24.733870754568773,0,100
LATAM,det_14_environmental_concerns,608,10,0.01644736842105263,62.655518394648794,23.39562289192863,0,100
LATAM,det_09_safety,608,9,0.014802631578947368,71.48414023372285,20.578489895396846,0,100
LATAM,det_16_commitment,608,9,0.014802631578947368,72.69282136894826,19.78316736326332,0,100
LATAM,det_22_peer_pressure,608,9,0.014802631578947368,41.97495826377297,26.116558400733517,0,100
LATAM,det_23_support,608,9,0.014802631578947368,55.42570951585974,24.73384896055954,0,100
LATAM,det_26_novelty,608,9,0.014802631578947368,57.714524207011706,25.675560768981686,0,100
LATAM,det_13_technical_fit,608,8,0.013157894736842105,74.23499999999999,19.05645181015222,4,100
LATAM,det_32_own_significance,608,8,0.013157894736842105,62.893333333333345,22.941282868553355,0,100
LATAM,det_01_profits,608,7,0.011513157894736841,72.16971713810315,21.5682903375887,0,100
LATAM,det_21_rights_and_duties,608,7,0.011513157894736841,71.24625623960067,21.390556875895008,0,100
LATAM,det_27_fun,608,7,0.011513157894736841,47.87188019966723,27.09831282495198,0,100
LATAM,det_29_trends,608,7,0.011513157894736841,43.12978369384359,27.33690658163675,0,100
LATAM,det_03_risk_profile,608,6,0.009868421052631578,70.35215946843853,19.706555333592906,0,100
LATAM,det_10_cost_efficiency,608,6,0.009868421052631578,82.14119601328905,15.723536960256414,22,100
LATAM,det_12_own_competence,608,6,0.009868421052631578,78.0299003322259,17.226177782328474,5,100
LATAM,det_24_socialising,608,6,0.009868421052631578,36.88372093023262,27.51716633975195,0,100
LATAM,det_25_agreement,608,6,0.009868421052631578,55.21926910299006,26.334437336201386,0,100
LATAM,det_11_knowledge,608,5,0.008223684210526315,75.91873963515756,21.28805048437863,0,100
LATAM,det_15_self_satisfaction,608,4,0.006578947368421052,78.10264900662251,17.165067102291914,0,100
LATAM,det_28_recognition,608,4,0.006578947368421052,37.011589403973474,29.17923450263031,0,100
LATAM,det_02_credit_score,608,3,0.004934210526315789,76.7818181818182,20.678042870485665,0,100
LATAM,det_17_adherence,608,2,0.003289473684210526,74.1980198019802,20.29005527788854,0,100
