analysis_sample,integrated_row_id,subsample,comparison_region,subsample_row_id,global_participant_key,dataset_source,source_survey,source_file,participant_key,prolific_id,identification_code,country_model,country_model_grouped,country_region_model,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,det_01_profits,det_02_credit_score,det_03_risk_profile,det_04_added_value,det_05_frugality,det_06_climate_protection,det_07_legal,det_08_trust,det_09_safety,det_10_cost_efficiency,det_11_knowledge,det_12_own_competence,det_13_technical_fit,det_14_environmental_concerns,det_15_self_satisfaction,det_16_commitment,det_17_adherence,det_18_autonomy,det_19_wellbeing,det_20_coziness,det_21_rights_and_duties,det_22_peer_pressure,det_23_support,det_24_socialising,det_25_agreement,det_26_novelty,det_27_fun,det_28_recognition,det_29_trends,det_30_authority,det_31_approval,det_32_own_significance
LATAM,2220,WHY_LATAM,LATAM,1,why__566bdeb3beaf21001240085a,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,NA,MX,MX,latin_america,35_44,male,employed,usable_partial,TRUE,TRUE,31,0.5,0.76,0.61,0.75,0.68,0.5,0.5,0.75,0.6,0.82,0.9,0.68,0.75,0.63,0.78,0.71,0.71,0.6,0.66,0.5,0.5,0.5,0.67,0.5,0.5,0.59,0.5,0.5,0.5,0.61,0.5,0.64
LATAM,2221,WHY_LATAM,LATAM,2,why__572bc38f34b25a0010dbe9c4,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,572bc38f34b25a0010dbe9c4,572bc38f34b25a0010dbe9c4,NA,MX,MX,latin_america,35_44,male,employed,usable_complete,TRUE,TRUE,32,0.8,0.64,0.5,0.5,1,0.5,0.77,0.88,0.5,1,0.83,1,0.82,0.5,0.86,0.75,0.72,0.81,1,0.74,1,0.5,0.5,0.5,0.76,1,0.9,0.5,0.6,0.66,0.5,0.5
LATAM,2222,WHY_LATAM,LATAM,3,why__57d0540392da98000100c72f,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,57d0540392da98000100c72f,57d0540392da98000100c72f,NA,CL,CL,latin_america,35_44,female,employed,usable_complete,TRUE,TRUE,32,0.72,1,1,0.5,0.5,0.5,0.9,1,0.6,1,0.9,1,1,0.8,1,0.8,0.72,0.6,0.7,0.7,1,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.9
LATAM,2223,WHY_LATAM,LATAM,4,why__5908ec21bc185d00011aa205,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5908ec21bc185d00011aa205,5908ec21bc185d00011aa205,NA,CL,CL,latin_america,55_64,male,employed,usable_complete,TRUE,TRUE,32,0.66,0.5,0.5,0.5,0.5,0.71,0.97,0.7,0.65,0.5,0.79,0.73,0.63,0.5,0.6,0.73,0.5,0.5,0.55,0.57,0.54,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.52
LATAM,2224,WHY_LATAM,LATAM,5,why__598c2748e339120001fb8875,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,598c2748e339120001fb8875,598c2748e339120001fb8875,NA,MX,MX,latin_america,35_44,male,employed,usable_partial,TRUE,TRUE,31,0.75,0.5,0.8,0.5,0.5,0.5,0.5,0.65,0.6,0.85,0.7,0.8,0.75,0.5,0.7,0.55,0.7,0.75,0.8,0.6,0.53,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.65,0.65,0.5,0.55
LATAM,2225,WHY_LATAM,LATAM,6,why__5a5c0728ac5624000153f533,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5a5c0728ac5624000153f533,5a5c0728ac5624000153f533,NA,MX,MX,latin_america,35_44,male,unknown,usable_complete,TRUE,TRUE,32,0.53,1,0.59,0.61,0.63,0.5,0.5,0.5,0.5,0.85,1,0.5,0.59,0.5,0.5,0.51,0.57,0.5,0.5,0.5,0.5,0.5,0.56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
LATAM,2226,WHY_LATAM,LATAM,7,why__5a874306f49c9a0001f39714,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5a874306f49c9a0001f39714,5a874306f49c9a0001f39714,NA,MX,MX,latin_america,35_44,female,employed,usable_complete,TRUE,TRUE,32,0.71,0.97,0.64,0.63,0.73,0.74,0.64,0.93,0.75,0.97,0.78,0.85,0.84,0.81,1,0.97,0.8,0.73,0.89,0.73,0.5,0.53,0.5,0.5,0.56,0.58,0.5,0.5,0.72,0.5,0.5,0.82
LATAM,2227,WHY_LATAM,LATAM,8,why__5ac9c4415cd1050001626162,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5ac9c4415cd1050001626162,5ac9c4415cd1050001626162,NA,MX,MX,latin_america,25_34,male,employed,usable_complete,TRUE,TRUE,32,1,0.5,1,0.85,0.8,0.5,0.9,0.7,1,0.9,1,1,1,0.5,0.9,0.8,0.8,0.85,0.8,0.7,0.7,0.5,0.7,0.5,0.5,0.7,0.5,0.6,0.5,0.8,0.5,0.5
LATAM,2228,WHY_LATAM,LATAM,9,why__5adf7fbc09eae200011305a5,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5adf7fbc09eae200011305a5,5adf7fbc09eae200011305a5,NA,MX,MX,latin_america,45_54,female,unknown,usable_complete,TRUE,TRUE,32,0.64,0.7,0.72,0.68,0.74,0.74,0.82,0.62,0.77,0.77,0.79,0.83,0.72,0.81,0.68,0.87,0.75,0.65,0.67,0.74,0.78,0.72,0.63,0.7,0.69,0.67,0.5,0.66,0.5,0.51,0.5,0.64
LATAM,2229,WHY_LATAM,LATAM,10,why__5af43b1ea37f390001276490,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5af43b1ea37f390001276490,5af43b1ea37f390001276490,NA,MX,MX,latin_america,25_34,female,unknown,usable_complete,TRUE,TRUE,32,0.9,0.95,0.6,0.5,0.5,0.6,0.8,0.5,0.8,0.95,0.85,0.8,0.7,0.5,0.9,1,1,0.85,0.8,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6
