analysis_sample,integrated_row_id,subsample,comparison_region,subsample_row_id,global_participant_key,dataset_source,source_survey,source_file,participant_key,prolific_id,identification_code,country_model,country_model_grouped,country_region_model,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,dim_autonomy,dim_competence,dim_financial,dim_meaning,dim_physiological,dim_popularity,dim_relatedness,dim_security,dim_stimulation
RENOVISOR,5,RENOVISOR,EUROPE,5,rv__55e04d4c3b268b00110294fe,rv,decision,Content_Export_RV-Decision_956.xlsx,55e04d4c3b268b00110294fe,55e04d4c3b268b00110294fe,NA,DK,DK,northern_europe,45_54,male,self_employed,usable_complete,TRUE,TRUE,32,0.31201034613075324,0.5026479709949897,0.7152906169730324,0.4758938219496283,0.49448128169354316,0.37041595169273417,0.29178782382111407,0.868005910810993,0.27748661817556014
RENOVISOR,6,RENOVISOR,EUROPE,6,rv__56ab6fd869b24700065cbdbd,rv,decision,Content_Export_RV-Decision_956.xlsx,56ab6fd869b24700065cbdbd,56ab6fd869b24700065cbdbd,NA,GB,GB,northern_europe,55_64,male,self_employed,usable_complete,TRUE,TRUE,32,0.9461382686329578,0.6184810085228772,0.7356520022904316,0.4834208731952175,0.18036991339791075,0.4873654849263208,0.7032598424571186,1.1035631743824517,0.8362936821212307
RENOVISOR,8,RENOVISOR,EUROPE,8,rv__56b0eec66399f90011d9cf67,rv,decision,Content_Export_RV-Decision_956.xlsx,56b0eec66399f90011d9cf67,56b0eec66399f90011d9cf67,NA,CZ,CZ,eastern_europe,25_34,female,self_employed,usable_complete,TRUE,TRUE,32,0.7005690215424181,0.8701078159686129,0.6574674615346036,0.7638741528753409,0.6903306452394704,0.31927987091542576,0.8646032771728093,0.25884824582977467,0.6093038086213294
RENOVISOR,10,RENOVISOR,EUROPE,10,rv__577d0ad6adbc7500015d2839,rv,decision,Content_Export_RV-Decision_956.xlsx,577d0ad6adbc7500015d2839,577d0ad6adbc7500015d2839,NA,IT,IT,southern_europe,25_34,other,unemployed,usable_complete_limited_metadata,TRUE,TRUE,32,0.9236062857263059,0.6473678650420155,0.7905280648797324,1.4385194920066215,0.4200610923387461,1.3914078370065552,0.8985428082532996,0.4533941188062895,1.5912197622016815
RENOVISOR,11,RENOVISOR,EUROPE,11,rv__5788c16f275be600013590a8,rv,decision,Content_Export_RV-Decision_956.xlsx,5788c16f275be600013590a8,5788c16f275be600013590a8,NA,GB,GB,northern_europe,45_54,female,self_employed,usable_complete,TRUE,TRUE,32,0.7656970179464297,0.7100386674014791,0.9892725285142255,1.0659147878293693,2.3700684165022334,1.1548669138439576,1.0611709102615277,1.6806334632414266,1.6108975020494634
RENOVISOR,12,RENOVISOR,EUROPE,12,rv__57e928630cb6700001dd8f8a,rv,decision,Content_Export_RV-Decision_956.xlsx,57e928630cb6700001dd8f8a,57e928630cb6700001dd8f8a,NA,PT,PT,southern_europe,25_34,female,employed,usable_partial,TRUE,TRUE,31,0.27848802618221125,0.43718480052607683,0.7553740431856719,0.3813225074208882,0.6250223528278767,0.23376120187694063,0.32642135297616487,0.6417996630962199,0.7616563346599118
RENOVISOR,13,RENOVISOR,EUROPE,13,rv__58404fd8ad98e40001ce915f,rv,decision,Content_Export_RV-Decision_956.xlsx,58404fd8ad98e40001ce915f,58404fd8ad98e40001ce915f,NA,GB,GB,northern_europe,45_54,female,employed,usable_complete,TRUE,TRUE,32,0.43792164528566047,0.13462067796576627,0.6042798591198423,1.5272707423522471,0.4074850356192755,0.7933306324639404,1.0035295309162537,0.44434526651783274,1.0203927266656951
RENOVISOR,18,RENOVISOR,EUROPE,18,rv__598b108e504c5200011964a1,rv,decision,Content_Export_RV-Decision_956.xlsx,598b108e504c5200011964a1,598b108e504c5200011964a1,NA,CH,CH,western_europe,35_44,female,employed,usable_complete,TRUE,TRUE,32,1.4167076172736812,1.016469525884062,0.7885470744684905,0.4275940105969871,0.44220508602641845,0.7973454533571035,1.0659906573359124,1.1171845730804788,0.49004072452166636
RENOVISOR,21,RENOVISOR,EUROPE,21,rv__59da7e94416c900001ea5b52,rv,decision,Content_Export_RV-Decision_956.xlsx,59da7e94416c900001ea5b52,59da7e94416c900001ea5b52,NA,FR,FR,western_europe,35_44,female,self_employed,usable_partial,TRUE,TRUE,31,0.9689548171124907,0.5006180256786809,1.3580725456755534,1.3184948337883904,1.0389176325186735,1.1548669138439576,1.273677315544106,0.4428525677399538,1.6896084614405904
RENOVISOR,22,RENOVISOR,EUROPE,22,rv__59dbb88b0fb3a90001bd90b0,rv,decision,Content_Export_RV-Decision_956.xlsx,59dbb88b0fb3a90001bd90b0,59dbb88b0fb3a90001bd90b0,NA,GB,GB,northern_europe,25_34,female,self_employed,usable_complete,TRUE,TRUE,32,0.6143677628558195,0.5754735818827567,0.2756110990854534,0.5979447324453923,1.4068092563570653,0.6081941627209183,0.4178741050297248,0.8558476975920462,1.0774754302192937
RENOVISOR,25,RENOVISOR,EUROPE,25,rv__5a2310ebdf5bd00001b37474,rv,concerns2;decision,Content_Export_RV-Concerns_2__166.xlsx;Content_Export_RV-Decision_956.xlsx,5a2310ebdf5bd00001b37474,5a2310ebdf5bd00001b37474,NA,PL,PL,eastern_europe,35_44,female,employed,usable_partial,TRUE,TRUE,31,0.46854284743839614,0.49995405592706826,0.6969800170700223,0.2902681988428897,0.34318961598014425,0.7326916848432636,1.0834287199719645,0.5390842753441009,0.48231575187925746
RENOVISOR,26,RENOVISOR,EUROPE,26,rv__5a2dbc92e2032600017f4b1d,rv,decision,Content_Export_RV-Decision_956.xlsx,5a2dbc92e2032600017f4b1d,5a2dbc92e2032600017f4b1d,NA,DE,DE,western_europe,25_34,male,unemployed,usable_complete,TRUE,TRUE,32,0.7817844859294136,0.929173734052129,1.2837935128969353,1.615650430329553,0.4163426330943444,0.766086265610818,0.7450643104962688,1.4036100375509388,0.42913408030515227
RENOVISOR,27,RENOVISOR,EUROPE,27,rv__5abb9bcff69e940001d9171e,rv,decision;energy_crisis,Content_Export_RV-Decision_956.xlsx;Content_Export_RV-Energy_Crisis_157.xlsx,5abb9bcff69e940001d9171e,5abb9bcff69e940001d9171e,NA,PL,PL,eastern_europe,18_24,female,employed,usable_complete,TRUE,TRUE,32,1.3098828378148746,1.3568161731738453,1.4236297843013954,0.9413860857909082,1.5090191757224232,1.3449886381462979,0.561680864901352,1.270057947232679,0.8376346228357239
RENOVISOR,29,RENOVISOR,EUROPE,29,rv__5aeb24e22bd17300018779f2,rv,decision,Content_Export_RV-Decision_956.xlsx,5aeb24e22bd17300018779f2,5aeb24e22bd17300018779f2,NA,EE,OTHER_COUNTRIES,northern_europe,25_34,female,employed,usable_complete,TRUE,TRUE,32,1.5520413678244123,0.9414687322563537,0.8551776894740388,1.0173201661991713,0.7322024926891837,0.928482505753526,0.4296784810832244,0.7822742637918257,1.296025380236161
RENOVISOR,30,RENOVISOR,EUROPE,30,rv__5af6e439672ea800010d4e92,rv,decision,Content_Export_RV-Decision_956.xlsx,5af6e439672ea800010d4e92,5af6e439672ea800010d4e92,NA,NA,UNKNOWN,unknown,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,1.59022337569272,1.1250029179938692,1.3906421530870745,1.8186792388117794,2.1606783572755686,1.1548669138439576,1.6240276183060285,1.6959208006566466,1.1090288459558704
RENOVISOR,31,RENOVISOR,EUROPE,31,rv__5b0710e7a84dcf0001beee8a,rv,decision,Content_Export_RV-Decision_956.xlsx,5b0710e7a84dcf0001beee8a,5b0710e7a84dcf0001beee8a,NA,GB,GB,northern_europe,55_64,female,employed,usable_complete,TRUE,TRUE,32,0.5505388743296701,0.429755999328311,0.9727712270308461,1.0312621605901424,0.14389150364699899,0.6686709943817454,0.493955782676594,1.4113637676797293,0.8276889401176853
RENOVISOR,32,RENOVISOR,EUROPE,32,rv__5b0f27321e55760001b9a8a5,rv,decision,Content_Export_RV-Decision_956.xlsx,5b0f27321e55760001b9a8a5,5b0f27321e55760001b9a8a5,NA,GB,GB,northern_europe,45_54,female,employed,usable_partial,TRUE,TRUE,31,0.11363127693727092,0.46705753789038806,0.5418324486364374,0.5142444451020324,0.8622875237985187,0.462329617291497,0.6047864081450444,0.6518816780175082,0.480886467079419
RENOVISOR,35,RENOVISOR,EUROPE,35,rv__5b3f242f9c2ec600014ef9fc,rv,decision,Content_Export_RV-Decision_956.xlsx,5b3f242f9c2ec600014ef9fc,5b3f242f9c2ec600014ef9fc,NA,IT,IT,southern_europe,45_54,female,self_employed,usable_complete,TRUE,TRUE,32,0.4538813193465504,0.7393493772065816,1.1853161860099617,1.2447460586653956,1.5090191757224232,0.8835461168581344,0.6667278459983226,0.5548849661517238,0.9793081179984837
RENOVISOR,36,RENOVISOR,EUROPE,36,rv__5b472672d4c93b00019bbc49,rv,decision,Content_Export_RV-Decision_956.xlsx,5b472672d4c93b00019bbc49,5b472672d4c93b00019bbc49,NA,GB,GB,northern_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.7156978659938596,1.056003770827839,0.5194114580124889,0.7847549174449048,0.5964795924574748,1.1548669138439576,0.966329868236216,0.5957391430991777,0.8158620712966745
RENOVISOR,37,RENOVISOR,EUROPE,37,rv__5b55c6a2e173e60001963940,rv,decision,Content_Export_RV-Decision_956.xlsx,5b55c6a2e173e60001963940,5b55c6a2e173e60001963940,NA,CH,CH,western_europe,25_34,male,student,usable_partial,TRUE,TRUE,31,1.0177873996375468,0.7623799654587208,1.3926029524379073,1.2499050075260971,1.2257076580326678,1.785322362684119,1.7004343488169187,1.270057947232679,1.4791979738535361
RENOVISOR,38,RENOVISOR,EUROPE,38,rv__5b648251bd56550001bf31fd,rv,decision,Content_Export_RV-Decision_956.xlsx,5b648251bd56550001bf31fd,5b648251bd56550001bf31fd,NA,DE,DE,western_europe,55_64,female,employed,usable_complete,TRUE,TRUE,32,0.78220625691663,1.1387185581552393,1.328588296470771,0.205505406498402,0.7255166037161739,0.8952078650550243,0.6392780654153851,0.5449484446990341,1.0155164366913283
RENOVISOR,39,RENOVISOR,EUROPE,39,rv__5b681788ca518a0001c7a755,rv,decision,Content_Export_RV-Decision_956.xlsx,5b681788ca518a0001c7a755,5b681788ca518a0001c7a755,NA,GB,GB,northern_europe,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.9778986504740437,0.8327792159093278,1.3890906786449848,1.0183398202656115,0.3654015795681362,1.1559954706045348,1.2186904811419035,0.8584271116637825,1.2763759246371729
RENOVISOR,45,RENOVISOR,EUROPE,45,rv__5bafd12a70f8df0001be84a7,rv,decision,Content_Export_RV-Decision_956.xlsx,5bafd12a70f8df0001be84a7,5bafd12a70f8df0001be84a7,NA,PL,PL,eastern_europe,35_44,male,employed,usable_complete,TRUE,TRUE,32,1.2575485209390282,1.0485336901373885,0.6794416807021231,1.1813151812638039,1.4001233673840554,0.6846280201854154,0.8389274734001961,1.020315787957338,0.6416599024024647
RENOVISOR,47,RENOVISOR,EUROPE,47,rv__5bf3199ebe7c7300017b710a,rv,decision,Content_Export_RV-Decision_956.xlsx,5bf3199ebe7c7300017b710a,5bf3199ebe7c7300017b710a,NA,DE,DE,western_europe,35_44,male,self_employed,usable_complete,TRUE,TRUE,32,0.33923257359801495,0.6389736068193262,0.9890883695480388,0.9768537916792189,0.2594305100916684,0.8713279898622075,0.7365283116299036,0.6281901353700163,0.7124245021330841
RENOVISOR,49,RENOVISOR,EUROPE,49,rv__5c18daaae467040001e68fc4,rv,decision,Content_Export_RV-Decision_956.xlsx,5c18daaae467040001e68fc4,5c18daaae467040001e68fc4,NA,GB,GB,northern_europe,35_44,female,employed,usable_partial,TRUE,TRUE,31,0.5362338449289279,0.41662988698966164,0.9003708523473183,0.7419114120042183,0.9079205213593418,0.9421285196654983,0.9409164800568057,0.3820595963278853,0.6868181229994842
RENOVISOR,51,RENOVISOR,EUROPE,51,rv__5c3a139774d1c6000138da11,rv,decision,Content_Export_RV-Decision_956.xlsx,5c3a139774d1c6000138da11,5c3a139774d1c6000138da11,NA,GB,GB,northern_europe,35_44,male,employed,usable_complete,TRUE,TRUE,32,1.6315118095713148,1.1266534575823264,0.9904774213076639,0.6384102924379256,0.8561003657172154,1.4720205520995098,1.4990904741700417,1.667746449953469,0.5009899494833722
RENOVISOR,52,RENOVISOR,EUROPE,52,rv__5c4d8d706b23ab0001a34af2,rv,decision,Content_Export_RV-Decision_956.xlsx,5c4d8d706b23ab0001a34af2,5c4d8d706b23ab0001a34af2,NA,GB,GB,northern_europe,25_34,female,unemployed,usable_complete,TRUE,TRUE,32,0.9039196990801325,0.8702205905277789,1.4861840959493184,1.931163631136102,2.6250487824230135,1.102935104086171,1.4868637319501605,0.607763733077107,1.6896084614405904
RENOVISOR,56,RENOVISOR,EUROPE,56,rv__5c59ceb27e554c0001257ff4,rv,decision,Content_Export_RV-Decision_956.xlsx,5c59ceb27e554c0001257ff4,5c59ceb27e554c0001257ff4,NA,HU,HU,eastern_europe,25_34,female,employed,usable_complete,TRUE,TRUE,32,0.564235365086758,0.3186910886146552,0.9536530081416826,1.1626178338789057,0.08522640934170683,0.7459360319659989,0.8354249097521391,0.75519156921236,0.4359120792014815
RENOVISOR,58,RENOVISOR,EUROPE,58,rv__5c609a727557640001f516c5,rv,decision,Content_Export_RV-Decision_956.xlsx,5c609a727557640001f516c5,5c609a727557640001f516c5,NA,NA,UNKNOWN,unknown,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,0.4674302511793722,1.398566388439691,0.6853803942437564,0.3019776100670746,0.36189472892516056,0.5949199633056406,0.4816613199704306,1.180619133747692,0.8629708078834407
RENOVISOR,59,RENOVISOR,EUROPE,59,rv__5c66cc9246bfc200019044b8,rv,decision,Content_Export_RV-Decision_956.xlsx,5c66cc9246bfc200019044b8,5c66cc9246bfc200019044b8,NA,HU,HU,eastern_europe,35_44,unknown,employed,usable_complete_limited_metadata,TRUE,TRUE,32,1.262359746074627,0.9282658842252987,0.7382685177590336,0.23968800492140632,1.1172678897192985,0.8796652391669562,1.2563864196378434,1.270057947232679,1.08037291995512
