analysis_sample,integrated_row_id,subsample,comparison_region,subsample_row_id,global_participant_key,dataset_source,source_survey,source_file,participant_key,prolific_id,identification_code,country_model,country_model_grouped,country_region_model,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,dim_autonomy,dim_competence,dim_financial,dim_meaning,dim_physiological,dim_popularity,dim_relatedness,dim_security,dim_stimulation
WHY_EUROPE,1230,WHY_EUROPE,EUROPE,1,why__54affe30fdf99b71c5514d30,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,54affe30fdf99b71c5514d30,54affe30fdf99b71c5514d30,NA,HU,HU,eastern_europe,25_34,male,employed,usable_partial,TRUE,TRUE,30,0.48493880488054375,0.4829780116870357,0.4074100333894446,0.3634228251257448,0.24126082651981193,0.6854639174184216,1.1114334419435923,0.36501130479232696,1.0073241430591877
WHY_EUROPE,1231,WHY_EUROPE,EUROPE,2,why__556db04dfdf99b26054b1768,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,556db04dfdf99b26054b1768,556db04dfdf99b26054b1768,NA,DE,DE,western_europe,25_34,female,unknown,usable_partial,TRUE,TRUE,31,0.34855584704517056,0.7845558155502266,0.7363647796704278,0.6650108758972579,0.2766359018943124,0.3698235787925013,0.8414840650233666,0.4526426042484846,0.9122140205722369
WHY_EUROPE,1232,WHY_EUROPE,EUROPE,3,why__558fa9dffdf99b7ce2924662,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,558fa9dffdf99b7ce2924662,558fa9dffdf99b7ce2924662,NA,FR,FR,western_europe,35_44,male,employed,usable_complete,TRUE,TRUE,32,0.7839884432330142,0.6762416349933534,1.1077645626495745,0.9986690118543393,0.9714122469743629,0.3397525168885504,0.8056505077671672,0.3302238389584054,1.232299018911843
WHY_EUROPE,1233,WHY_EUROPE,EUROPE,4,why__559edf64fdf99b2537152084,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,559edf64fdf99b2537152084,559edf64fdf99b2537152084,NA,NL,NL,western_europe,25_34,female,employed,usable_complete,TRUE,TRUE,32,0.4795282406130335,0.7212246430665842,0.9984770328847731,0.2287838429816583,0.28110229644315377,0.7693122378911443,0.4065920545141399,0.43294136372219016,0.19294434052804585
WHY_EUROPE,1234,WHY_EUROPE,EUROPE,5,why__55b75944fdf99b6e0c49981b,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,55b75944fdf99b6e0c49981b,55b75944fdf99b6e0c49981b,NA,IE,IE,northern_europe,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.4431355443586404,0.42933600528059995,0.48357519886887734,0.89162305254109675,0.6299777574534997,0.8987352519351273,0.9228982417441642,0.29655743774104465,1.218128659358046
WHY_EUROPE,1235,WHY_EUROPE,EUROPE,6,why__55c333b0fdf99b1dbd2131bd,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,55c333b0fdf99b1dbd2131bd,55c333b0fdf99b1dbd2131bd,NA,CZ,CZ,eastern_europe,25_34,male,unemployed,usable_partial,TRUE,TRUE,31,1.1828084003473285,0.8270735241921952,0.7881887839832459,0.633384262880932,0.4398555963916625,0.8791063549209093,1.1827276327362355,0.33678200878993847,1.637824496964206
WHY_EUROPE,1236,WHY_EUROPE,EUROPE,7,why__55dc405950a1f7000590d658,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,55dc405950a1f7000590d658,55dc405950a1f7000590d658,NA,PT,PT,southern_europe,35_44,male,employed,usable_complete,TRUE,TRUE,32,0.29324454626884183,0.2679241643618563,0.40209208619876635,0.569786526980015,0.18827441318665586,0.47305791939595726,0.5524453419893424,0.47858868454810005,0.29477810955888306
WHY_EUROPE,1237,WHY_EUROPE,EUROPE,8,why__561fcb95ed6e5a000bc7eaa2,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,561fcb95ed6e5a000bc7eaa2,561fcb95ed6e5a000bc7eaa2,NA,NL,NL,western_europe,25_34,male,unknown,usable_complete,TRUE,TRUE,32,1.2561290745258569,0.7591930728424495,1.568520913995189,2.0731176647093577,0.09544652993015794,0.6847995572877459,1.09574112622435,0.43251998898855115,1.3551547548766218
WHY_EUROPE,1238,WHY_EUROPE,EUROPE,9,why__564e2f979b124900107eaf14,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,564e2f979b124900107eaf14,564e2f979b124900107eaf14,NA,PL,PL,eastern_europe,35_44,female,employed,usable_complete,TRUE,TRUE,32,1.2796114778860526,0.7516462016969678,0.3320707638814733,1.0847151029902709,0.5566613492607636,0.8022020031101909,0.8321361654601797,0.5485335249080627,0.8580723967882254
WHY_EUROPE,1239,WHY_EUROPE,EUROPE,10,why__56e6f0dec89073000de74780,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,56e6f0dec89073000de74780,56e6f0dec89073000de74780,NA,SE,SE,northern_europe,25_34,female,unknown,usable_complete,TRUE,TRUE,32,0.49688623561391615,0.8053320173370064,0.6566340244990599,1.034939917334828,0.6551890651436688,0.8649309632245885,0.535473312720541,0.6935583625560343,0.4133392784343748
WHY_EUROPE,1240,WHY_EUROPE,EUROPE,11,why__56fd94d5291bb50008ea5805,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,56fd94d5291bb50008ea5805,56fd94d5291bb50008ea5805,NA,PL,PL,eastern_europe,25_34,female,employed,usable_complete,TRUE,TRUE,32,2.1887292674531045,0.5696496163316426,0.42790132098438916,1.5688881345198051,0.10936237213845085,1.2305520744020173,1.0945167053677174,0.6463370999386285,1.8449488422885543
WHY_EUROPE,1241,WHY_EUROPE,EUROPE,12,why__5716a9b1c5aca2000a8d44d3,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5716a9b1c5aca2000a8d44d3,5716a9b1c5aca2000a8d44d3,NA,GR,GR,southern_europe,25_34,female,unemployed,usable_complete,TRUE,TRUE,32,0.5725216082660616,0.6649176534722993,0.8055459644214851,1.208974665435925,0.3414320802796956,0.8628005820302602,0.46669679696047106,0.7468341260437265,1.1064495793598876
WHY_EUROPE,1242,WHY_EUROPE,EUROPE,13,why__5789972670c76a00012433b3,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5789972670c76a00012433b3,5789972670c76a00012433b3,NA,ES,ES,southern_europe,35_44,female,employed,usable_complete,TRUE,TRUE,32,1.1594546279141666,1.1777260688910374,0.7317326760675129,1.5481558410714467,1.748537749322347,0.9509975236224562,1.0237648698076698,1.4426103516542932,1.9650464735409963
WHY_EUROPE,1243,WHY_EUROPE,EUROPE,14,why__578b4394ad1a6c0001466a6d,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,578b4394ad1a6c0001466a6d,578b4394ad1a6c0001466a6d,NA,IT,IT,southern_europe,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.8955656548613675,0.48525289689839446,0.9741458123291376,0.42046957148088476,0.565489938587508,0.8362091437327168,0.5329809865604634,0.3414662856594872,0.9188107385925306
WHY_EUROPE,1244,WHY_EUROPE,EUROPE,15,why__57e928630cb6700001dd8f8a,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,57e928630cb6700001dd8f8a,57e928630cb6700001dd8f8a,NA,PT,PT,southern_europe,25_34,female,employed,usable_complete,TRUE,TRUE,32,0.7451322316019391,0.5457751379062553,0.40317318110460076,0.5664359207362474,0.4915068313672315,1.112855053109574,0.5727957077835791,0.7740971595527123,0.5208527844921693
WHY_EUROPE,1245,WHY_EUROPE,EUROPE,16,why__587905adc34844000174ee45,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,587905adc34844000174ee45,587905adc34844000174ee45,NA,FI,FI,northern_europe,35_44,male,employed,usable_complete,TRUE,TRUE,32,2.74974792882266,2.7502505487734124,2.2910537707687793,1.8014569763226314,1.4657418847637076,1.592112830770441,1.5311328003735578,2.364002527766186,1.2526284008769495
WHY_EUROPE,1246,WHY_EUROPE,EUROPE,17,why__588f58e8d2b27900019967d0,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,588f58e8d2b27900019967d0,588f58e8d2b27900019967d0,NA,ES,ES,southern_europe,55_64,female,employed,usable_complete,TRUE,TRUE,32,0.41471374046219767,0.5036489826921855,0.6600637762324209,0.6605400547056468,0.7229598204696933,0.6879830247475417,0.5805036409110309,0.8913942206588432,0.7894313881926798
WHY_EUROPE,1247,WHY_EUROPE,EUROPE,18,why__5894f21fb1a4ae0001ce5532,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5894f21fb1a4ae0001ce5532,5894f21fb1a4ae0001ce5532,NA,NL,NL,western_europe,25_34,female,employed,usable_complete,TRUE,TRUE,32,0.6360221371313071,0.8014700812921743,1.3831365023122058,1.2425692443400902,1.4872528782211791,1.2305520744020173,1.249162733644569,1.112318003371426,1.1476729674226775
WHY_EUROPE,1248,WHY_EUROPE,EUROPE,19,why__58a20857c5bcf000011b09ff,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,58a20857c5bcf000011b09ff,58a20857c5bcf000011b09ff,NA,AT,AT,western_europe,25_34,male,unknown,usable_complete,TRUE,TRUE,32,0.5304170963703528,0.5372139347020081,0.7927853752143944,1.1112397075843494,0.4915068313672315,0.5838115613468353,0.6334833815365094,0.1240358071410051,0.1047883781909849
WHY_EUROPE,1249,WHY_EUROPE,EUROPE,20,why__58c62eac444ade00010231a9,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,58c62eac444ade00010231a9,58c62eac444ade00010231a9,NA,IT,IT,southern_europe,45_54,male,employed,usable_partial,TRUE,TRUE,31,0.6723934363658912,0.5924602330410993,0.8212197038576546,0.6935748984591757,0.9750035429537872,0.2792801196421978,0.9594220795277865,0.3222920983385855,1.1729397294637063
WHY_EUROPE,1250,WHY_EUROPE,EUROPE,21,why__58d11f7947aa1e000104718a,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,58d11f7947aa1e000104718a,58d11f7947aa1e000104718a,NA,IT,IT,southern_europe,45_54,male,unknown,usable_complete,TRUE,TRUE,32,0.8724904880257567,0.9297830544757648,1.2038398785416482,0.5366330310207724,0.7452417127256434,0.8133816458695426,0.9166136854029732,0.9476519523794383,1.362522246719809
WHY_EUROPE,1251,WHY_EUROPE,EUROPE,22,why__58dcfd5a09694a0001a35e0b,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,58dcfd5a09694a0001a35e0b,58dcfd5a09694a0001a35e0b,NA,IT,IT,southern_europe,25_34,female,employed,usable_complete,TRUE,TRUE,32,1.3675483494935252,0.7993734531953305,0.8664030436801147,0.6061113439559752,0.6505684908351318,0.45533737387528117,0.5353789942675631,0.9018677959141552,0.1989033308305408
WHY_EUROPE,1252,WHY_EUROPE,EUROPE,23,why__58eec50e45de510001b5dcef,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,58eec50e45de510001b5dcef,58eec50e45de510001b5dcef,NA,CZ,CZ,eastern_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,1.2722148097782937,0.9446633895591268,1.0285909140128406,1.4867141050800792,1.4446886121029885,1.0315211714674541,1.1720532922555584,1.2859196553494587,0.4036208959906464
WHY_EUROPE,1253,WHY_EUROPE,EUROPE,24,why__5906ff5f0070cb000186b5fb,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5906ff5f0070cb000186b5fb,5906ff5f0070cb000186b5fb,NA,DE,DE,western_europe,55_64,male,employed,usable_complete,TRUE,TRUE,32,1.2895119160182735,0.8683431299695459,0.8354464863186134,0.4913228678196015,1.0215716643417319,0.6290662987058439,0.9481566654147888,1.0345330332639469,1.2273616388359205
