analysis_sample,matrix_name,n_rows,n_determinants,n_values,n_missing,prop_missing,mean_value,sd_value,min_value,q25_value,median_value,q75_value,max_value
COMPLETE,matrix_32_raw_0_1,4372,32,139904,0,0,0.562575868663255,0.27227420641191424,0,0.35,0.6,0.78,1
COMPLETE,matrix_32_pos_0_1,4372,32,139904,0,0,0.6510650859961667,0.16247114679982824,0.5,0.5,0.6,0.78,1
COMPLETE,matrix_32_ext_0_1,4372,32,139904,0,0,0.3441602195556261,0.38616500093883943,0,0,0,0.7,1
COMPLETE,matrix_32_z_abs,4372,32,139904,0,0,0.8113236124235982,0.575970795728041,0,0.3395562405762586,0.7272916872377203,1.2057351738237205,3.501160319544726
COMPLETE,matrix_9dim_raw_0_1,4372,9,39348,0,0,0.5688617592335182,0.2012356697673517,0,0.43698593270549535,0.589271538979373,0.7154960312924779,1
COMPLETE,matrix_9dim_pos_0_1,4372,9,39348,0,0,0.6535940327039375,0.11770567462955839,0.5,0.5566666666666666,0.64,0.7329159065295177,1
COMPLETE,matrix_9dim_ext_0_1,4372,9,39348,0,0,0.34109003382561964,0.25597021794423136,0,0.1490217965655572,0.32077747882054203,0.5022101041197469,1
COMPLETE,matrix_9dim_z_abs,4372,9,39348,0,0,0.8108696088248056,0.3772276431058835,0,0.5358512922975336,0.7751347062263174,1.0444436126077283,2.649161524880879
EUROPE,matrix_32_raw_0_1,3764,32,120448,0,0,0.5531744348553933,0.27183113887873633,0,0.34,0.5990945929733134,0.77,1
EUROPE,matrix_32_pos_0_1,3764,32,120448,0,0,0.6452024922888812,0.16014520720168587,0.5,0.5,0.5990945929733134,0.77,1
EUROPE,matrix_32_ext_0_1,3764,32,120448,0,0,0.3392706508759936,0.3836125644699278,0,0,0,0.7,1
EUROPE,matrix_32_z_abs,3764,32,120448,0,0,0.8141039783125933,0.5725506794690726,0,0.3454563899938611,0.7306123376920091,1.2092239271516734,3.481784203054061
EUROPE,matrix_9dim_raw_0_1,3764,9,33876,0,0,0.5601393711079751,0.1988760931689924,0,0.42800000000000005,0.58,0.7047067414640177,1
EUROPE,matrix_9dim_pos_0_1,3764,9,33876,0,0,0.6481475429655571,0.11427659944922475,0.5,0.5532142129741311,0.6348038272608029,0.725,1
EUROPE,matrix_9dim_ext_0_1,3764,9,33876,0,0,0.3366051378843567,0.24969642869210573,0,0.15,0.32,0.5,1
EUROPE,matrix_9dim_z_abs,3764,9,33876,0,0,0.8137407377596452,0.37007785626931927,0,0.5457384378279095,0.7821143585917704,1.0431079553479814,2.587901805390038
LATAM,matrix_32_raw_0_1,608,32,19456,0,0,0.6207781661184221,0.2677586052864688,0,0.43,0.67,0.81,1
LATAM,matrix_32_pos_0_1,608,32,19456,0,0,0.6873591694078965,0.1717957993238979,0.5,0.5,0.67,0.81,1
LATAM,matrix_32_ext_0_1,608,32,19456,0,0,0.37443050986842064,0.4002885935309899,0,0,0,0.72,1
LATAM,matrix_32_z_abs,608,32,19456,0,0,0.7956713352979905,0.592965923414129,0,0.30977634107847046,0.690283527501691,1.1879452591025796,4.550092845031412
LATAM,matrix_9dim_raw_0_1,608,9,5472,0,0,0.6228602278265107,0.207271157047677,0,0.5,0.645,0.7733333333333333,1
LATAM,matrix_9dim_pos_0_1,608,9,5472,0,0,0.6873121040448344,0.13214308975040878,0.5,0.58,0.6725,0.78,1
LATAM,matrix_9dim_ext_0_1,608,9,5472,0,0,0.368855080409357,0.2903103490357569,0,0.128,0.3333333333333333,0.5810000000000001,1
LATAM,matrix_9dim_z_abs,608,9,5472,0,0,0.794926919035599,0.40208620432667685,0,0.5006914629959895,0.744302848147327,1.0365702140501565,3.3105541604219377
DIEGO,matrix_32_raw_0_1,1899,32,60768,0,0,0.5295904806717822,0.2715347048766758,1.6885854302706165e-5,0.30769450229630185,0.5443295457501748,0.7574518259221299,0.9999992689857886
