integrated_row_id,global_participant_key,dataset_source,source_survey,country_model,country_model_grouped,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,dim_financial,dim_security,dim_competence,dim_autonomy,dim_physiological,dim_relatedness,dim_stimulation,dim_popularity,dim_meaning
5,rv__55e04d4c3b268b00110294fe,rv,decision,DK,DK,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.658,0.7266666666666667,0.75,0.655,0.63,0.602,0.5,0.5,0.6333333333333333
6,rv__56ab6fd869b24700065cbdbd,rv,decision,GB,GB,55_64,male,employed,usable_complete,TRUE,TRUE,32,0.8019999999999999,0.9666666666666667,0.8550000000000001,0.8775,0.755,0.6900000000000001,0.5,0.5,0.7333333333333334
8,rv__56b0eec66399f90011d9cf67,rv,decision,CZ,CZ,25_34,female,employed,usable_complete,TRUE,TRUE,32,0.726,0.7699999999999999,0.8875,0.7125,0.665,0.67,0.6000000000000001,0.5,0.5599999999999999
10,rv__577d0ad6adbc7500015d2839,rv,decision,IT,IT,25_34,other,unemployed,usable_complete_limited_metadata,TRUE,TRUE,32,0.66,0.8133333333333334,0.8625,0.88,0.8,0.52,0.5,0.5625,0.5
11,rv__5788c16f275be600013590a8,rv,decision,GB,GB,45_54,female,employed,usable_complete,TRUE,TRUE,32,0.71,0.8300000000000001,0.77,0.665,0.5,0.628,0.5,0.5,0.6699999999999999
12,rv__57e928630cb6700001dd8f8a,rv,decision,PT,PT,25_34,female,employed,usable_partial,TRUE,TRUE,31,0.676,0.8733333333333334,0.6950000000000001,0.7275,0.835,0.614,0.5,0.5,0.6566666666666667
13,rv__58404fd8ad98e40001ce915f,rv,decision,GB,GB,45_54,female,employed,usable_complete,TRUE,TRUE,32,0.6220000000000001,0.8233333333333333,0.7424999999999999,0.7,0.7050000000000001,0.5,0.5,0.5,0.5566666666666666
18,rv__598b108e504c5200011964a1,rv,decision,CH,CH,35_44,female,employed,usable_complete,TRUE,TRUE,32,0.63,0.9666666666666667,0.925,0.85,0.8,0.64,0.5,0.5,0.6833333333333332
21,rv__59da7e94416c900001ea5b52,rv,decision,FR,FR,35_44,female,employed,usable_partial,TRUE,TRUE,31,0.8,0.5866666666666667,0.8274999999999999,0.88,0.9099999999999999,0.5,0.5,0.5,0.9333333333333332
22,rv__59dbb88b0fb3a90001bd90b0,rv,decision,GB,GB,25_34,female,employed,usable_complete,TRUE,TRUE,32,0.666,0.9166666666666666,0.685,0.6074999999999999,0.5349999999999999,0.502,0.5,0.525,0.5933333333333334
25,rv__5a2310ebdf5bd00001b37474,rv,concerns2;decision,PL,PL,35_44,female,employed,usable_partial,TRUE,TRUE,31,0.6120000000000001,0.8466666666666667,0.7600000000000001,0.7224999999999999,0.565,0.5860000000000001,0.5,0.5,0.68
26,rv__5a2dbc92e2032600017f4b1d,rv,decision,DE,DE,25_34,male,unemployed,usable_complete,TRUE,TRUE,32,0.538,0.5533333333333333,0.615,0.6175,0.745,0.526,0.51,0.5,0.5233333333333333
27,rv__5abb9bcff69e940001d9171e,rv,decision;energy_crisis,PL,PL,18_24,female,employed,usable_complete,TRUE,TRUE,32,0.958,1,1,0.94,1,0.6500000000000001,0.6599999999999999,0.605,0.8466666666666667
29,rv__5aeb24e22bd17300018779f2,rv,decision,EE,OTHER_COUNTRIES,25_34,female,employed,usable_complete,TRUE,TRUE,32,0.6779999999999999,0.5766666666666667,0.645,0.605,0.5900000000000001,0.536,0.605,0.5275000000000001,0.6433333333333334
30,rv__5af6e439672ea800010d4e92,rv,decision,NA,UNKNOWN,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,0.8,0.8333333333333334,0.9375,1,0.5,0.5,0.5,0.5,0.5
31,rv__5b0710e7a84dcf0001beee8a,rv,decision,GB,GB,55_64,female,employed,usable_complete,TRUE,TRUE,32,0.8560000000000001,0.5166666666666667,0.755,0.61,0.6950000000000001,0.5700000000000001,0.5,0.515,0.5066666666666667
32,rv__5b0f27321e55760001b9a8a5,rv,decision,GB,GB,45_54,female,employed,usable_partial,TRUE,TRUE,31,0.632,0.7166666666666667,0.7825,0.6925,0.88,0.624,0.585,0.5,0.7433333333333333
35,rv__5b3f242f9c2ec600014ef9fc,rv,decision,IT,IT,45_54,female,employed,usable_complete,TRUE,TRUE,32,0.9,0.85,0.75,0.775,1,0.62,0.55,0.5,0.5
36,rv__5b472672d4c93b00019bbc49,rv,decision,GB,GB,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.67,0.8266666666666667,0.725,0.7424999999999999,0.72,0.554,0.575,0.5,0.8033333333333333
