analysis_sample,matrix_name,bootstrap_id,n_factors,status,n_bootstrap_draws,n_rows_used,n_rows_dropped,n_unique_participants,n_variable_features,n_constant_features,RMSR,TLI,RMSEA,BIC,mean_abs_factor_correlation,var_abs_factor_correlation,mean_factor_distance,var_factor_distance,warning_flag,warning_message,error_message
COMPLETE,matrix_32_raw_0_1,1,2,ok,1608,1608,0,1018,32,0,0.04806720293011094,0.6135703300171619,0.07621730501234834,1281.1918279264041,0.07468276314667521,NA,0.9253172368533248,NA,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,1,3,ok,1608,1608,0,1018,32,0,0.032974441984281504,0.7408632153591719,0.062399511193622165,-48.78564243439905,0.11454438357306658,0.00302102458614872,0.8854556164269334,0.0030210245861487218,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,1,4,ok,1608,1608,0,1018,32,0,0.026929117891527722,0.7969616572318117,0.05522110366779685,-553.0475427861475,0.15039264938697072,0.016628903654568032,0.8496073506130293,0.016628903654568025,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,1,5,ok,1608,1608,0,1018,32,0,0.020986321724865347,0.8507877677990937,0.047327508249598846,-962.0101543082139,0.16341276452907086,0.011290745368202317,0.8365872354709292,0.01129074536820231,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,1,6,ok,1608,1608,0,1018,32,0,0.018281699610841282,0.8761676142278144,0.0431048489246896,-1082.8184318560168,0.1553442220072188,0.014777674879871845,0.8446557779927811,0.014777674879871838,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,1,7,ok,1608,1608,0,1018,32,0,0.01659912778672413,0.8892998717421007,0.04074580764312224,-1087.7592947835467,0.16872265197032382,0.014633390200339647,0.8312773480296762,0.014633390200339647,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,1,8,ok,1608,1608,0,1018,32,0,0.015129894434066229,0.896364897409506,0.03941522795170859,-1040.9118336982306,0.15868110770763846,0.014021255369012206,0.8413188922923616,0.014021255369012204,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,2,2,ok,1608,1608,0,1005,32,0,0.04614138601440048,0.6315018491633487,0.07360126606848419,1008.3042314280278,0.021788182844333242,NA,0.9782118171556667,NA,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,2,3,ok,1608,1608,0,1005,32,0,0.03166273743184469,0.7517656162102577,0.060394362366392174,-208.34210624500565,0.094388862478924307,0.006020481644447652,0.9056111375210757,0.006020481644447657,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,2,4,ok,1608,1608,0,1005,32,0,0.027441828447360303,0.7844101248558105,0.05627058109148084,-482.6798639916674,0.14001052808227113,0.011837395620475127,0.8599894719177289,0.01183739562047513,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,2,5,ok,1608,1608,0,1005,32,0,0.022640565252456977,0.8348775799933261,0.049234253982225355,-859.5723858091267,0.15807647538743363,0.014644384973654036,0.8419235246125664,0.014644384973654029,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,2,6,ok,1608,1608,0,1005,32,0,0.018566902023093558,0.8750949451952659,0.04281030961989054,-1095.7988828158586,0.13903878753335483,0.02055719419748026,0.8609612124666451,0.020557194197480262,FALSE,NA,NA
