analysis_sample,matrix_name,n_factors,d_det,determinant,n_selected,n_valid_bootstraps,prop_bootstraps_selected
COMPLETE,matrix_32_ext_0_1,2,4,det_24_socialising,100,100,1
COMPLETE,matrix_32_ext_0_1,2,4,det_28_recognition,100,100,1
COMPLETE,matrix_32_ext_0_1,2,4,det_31_approval,90,100,0.9
COMPLETE,matrix_32_ext_0_1,2,4,det_30_authority,76,100,0.76
COMPLETE,matrix_32_ext_0_1,2,4,det_15_self_satisfaction,29,100,0.29
COMPLETE,matrix_32_ext_0_1,2,4,det_09_safety,2,100,0.02
COMPLETE,matrix_32_ext_0_1,2,4,det_19_wellbeing,2,100,0.02
COMPLETE,matrix_32_ext_0_1,2,4,det_29_trends,1,100,0.01
COMPLETE,matrix_32_ext_0_1,2,5,det_24_socialising,100,100,1
COMPLETE,matrix_32_ext_0_1,2,5,det_28_recognition,100,100,1
COMPLETE,matrix_32_ext_0_1,2,5,det_31_approval,99,100,0.99
COMPLETE,matrix_32_ext_0_1,2,5,det_30_authority,93,100,0.93
COMPLETE,matrix_32_ext_0_1,2,5,det_15_self_satisfaction,63,100,0.63
COMPLETE,matrix_32_ext_0_1,2,5,det_29_trends,18,100,0.18
COMPLETE,matrix_32_ext_0_1,2,5,det_09_safety,10,100,0.1
COMPLETE,matrix_32_ext_0_1,2,5,det_19_wellbeing,8,100,0.08
COMPLETE,matrix_32_ext_0_1,2,5,det_03_risk_profile,5,100,0.05
COMPLETE,matrix_32_ext_0_1,2,5,det_16_commitment,4,100,0.04
COMPLETE,matrix_32_ext_0_1,2,6,det_24_socialising,100,100,1
COMPLETE,matrix_32_ext_0_1,2,6,det_28_recognition,100,100,1
COMPLETE,matrix_32_ext_0_1,2,6,det_31_approval,100,100,1
COMPLETE,matrix_32_ext_0_1,2,6,det_30_authority,98,100,0.98
COMPLETE,matrix_32_ext_0_1,2,6,det_15_self_satisfaction,81,100,0.81
COMPLETE,matrix_32_ext_0_1,2,6,det_29_trends,39,100,0.39
COMPLETE,matrix_32_ext_0_1,2,6,det_16_commitment,23,100,0.23
COMPLETE,matrix_32_ext_0_1,2,6,det_09_safety,22,100,0.22
COMPLETE,matrix_32_ext_0_1,2,6,det_19_wellbeing,19,100,0.19
COMPLETE,matrix_32_ext_0_1,2,6,det_03_risk_profile,14,100,0.14
COMPLETE,matrix_32_ext_0_1,2,6,det_10_cost_efficiency,1,100,0.01
COMPLETE,matrix_32_ext_0_1,2,6,det_12_own_competence,1,100,0.01
COMPLETE,matrix_32_ext_0_1,2,6,det_17_adherence,1,100,0.01
COMPLETE,matrix_32_ext_0_1,2,6,det_22_peer_pressure,1,100,0.01
COMPLETE,matrix_32_ext_0_1,2,7,det_24_socialising,100,100,1
COMPLETE,matrix_32_ext_0_1,2,7,det_28_recognition,100,100,1
COMPLETE,matrix_32_ext_0_1,2,7,det_30_authority,100,100,1
COMPLETE,matrix_32_ext_0_1,2,7,det_31_approval,100,100,1
COMPLETE,matrix_32_ext_0_1,2,7,det_15_self_satisfaction,91,100,0.91
