analysis_sample,matrix_name,n_factors,determinant,mean_importance,sd_importance,median_importance,mean_rank,prop_above_0_20,prop_above_0_30,prop_above_0_40
DIEGO,matrix_32_ext_0_1,2,det_25_agreement,0.23014615691960646,0.11242541572220699,0.2125055923006094,13.69,0.56,0.23,0.1
DIEGO,matrix_32_ext_0_1,2,det_31_approval,0.2200288360554258,0.11669756864651938,0.19337055076098447,14.84,0.47,0.22,0.07
DIEGO,matrix_32_ext_0_1,2,det_23_support,0.21846495157188553,0.10788298232346348,0.2081262901877502,14.87,0.54,0.21,0.08
DIEGO,matrix_32_ext_0_1,2,det_32_own_significance,0.21474168584379585,0.11269648762439213,0.20317526743826403,14.92,0.51,0.23,0.08
DIEGO,matrix_32_ext_0_1,2,det_07_legal,0.21337615184985523,0.10829912525811068,0.20347415852387768,14.88,0.51,0.22,0.06
DIEGO,matrix_32_ext_0_1,2,det_28_recognition,0.211761812895649,0.11048026649606514,0.19567169007247612,15.28,0.5,0.19,0.07
DIEGO,matrix_32_ext_0_1,2,det_04_added_value,0.21090365626310925,0.11169905554393979,0.2000137161382276,15.02,0.5,0.2,0.06
DIEGO,matrix_32_ext_0_1,2,det_20_coziness,0.21017012482710026,0.11346402268780305,0.19238917351769935,15.72,0.45,0.16,0.08
DIEGO,matrix_32_ext_0_1,2,det_17_adherence,0.20843360058520952,0.11631949754542022,0.19911763300015084,15.62,0.49,0.2,0.07
DIEGO,matrix_32_ext_0_1,2,det_14_environmental_concerns,0.2074619493697118,0.10218477671987226,0.18379992218421584,15.6,0.44,0.22,0.03
DIEGO,matrix_32_ext_0_1,2,det_24_socialising,0.20690571926526674,0.08739641020072017,0.2042929185197313,14.9,0.54,0.13,0.03
DIEGO,matrix_32_ext_0_1,2,det_05_frugality,0.20643033500193106,0.10511312520910808,0.1972958981096396,15.54,0.48,0.16,0.04
DIEGO,matrix_32_ext_0_1,2,det_01_profits,0.20290318135328428,0.11277921338333474,0.1872501330419342,15.9,0.47,0.19,0.05
DIEGO,matrix_32_ext_0_1,2,det_21_rights_and_duties,0.20259654236263736,0.10626000221421306,0.1801755395234435,15.8,0.47,0.17,0.05
DIEGO,matrix_32_ext_0_1,2,det_16_commitment,0.1999924469101653,0.10552405922186443,0.17753091373526925,16.66,0.4,0.18,0.06
DIEGO,matrix_32_ext_0_1,2,det_26_novelty,0.19956006985623054,0.09506950832212657,0.19187357795600268,15.86,0.46,0.12,0.04
DIEGO,matrix_32_ext_0_1,2,det_15_self_satisfaction,0.19833593257949433,0.12206316635770387,0.18767256179986228,17.16,0.45,0.2,0.07
DIEGO,matrix_32_ext_0_1,2,det_10_cost_efficiency,0.19668602195841878,0.11631798285811791,0.18170454186994703,17,0.44,0.18,0.08
DIEGO,matrix_32_ext_0_1,2,det_09_safety,0.19426066086461505,0.10780709910084982,0.18161690215800386,16.25,0.45,0.16,0.05
DIEGO,matrix_32_ext_0_1,2,det_02_credit_score,0.18944940033522278,0.09883616570101672,0.16669789821148517,17.19,0.39,0.15,0.03
DIEGO,matrix_32_ext_0_1,2,det_11_knowledge,0.18823343577533505,0.10338296046412893,0.18645489474797558,17.21,0.42,0.15,0.03
DIEGO,matrix_32_ext_0_1,2,det_29_trends,0.18436504252427646,0.10806576100609028,0.16912068774887817,17.9,0.34,0.12,0.03
DIEGO,matrix_32_ext_0_1,2,det_19_wellbeing,0.1833447284438933,0.10738291661328801,0.1645486228780963,17.95,0.38,0.12,0.06
DIEGO,matrix_32_ext_0_1,2,det_13_technical_fit,0.1827479138468767,0.09033227707749866,0.17039345710960957,17.66,0.4,0.11,0.02
DIEGO,matrix_32_ext_0_1,2,det_30_authority,0.18220156503144325,0.08862448273555414,0.16845816977873998,17.07,0.4,0.1,0.01
DIEGO,matrix_32_ext_0_1,2,det_22_peer_pressure,0.18026450727741206,0.09778002820800397,0.1656848744620908,17.98,0.37,0.12,0.03
DIEGO,matrix_32_ext_0_1,2,det_06_climate_protection,0.17882223539807687,0.08029006671359776,0.16725622796971523,17.72,0.41,0.08,0
DIEGO,matrix_32_ext_0_1,2,det_12_own_competence,0.17817942535499665,0.10017454981062171,0.17357954785419602,18.12,0.39,0.08,0.04
DIEGO,matrix_32_ext_0_1,2,det_08_trust,0.1773256976018798,0.1024961262492708,0.15161457872235462,18.22,0.35,0.13,0.05
DIEGO,matrix_32_ext_0_1,2,det_03_risk_profile,0.1740145628683353,0.08722773872453063,0.15993062392144455,18.44,0.37,0.09,0.01
DIEGO,matrix_32_ext_0_1,2,det_27_fun,0.17180480517720456,0.0813612258524306,0.15949643356149476,18.26,0.4,0.07,0
DIEGO,matrix_32_ext_0_1,2,det_18_autonomy,0.16638446414276245,0.08450266885741335,0.17235771138022948,18.77,0.33,0.06,0.01
DIEGO,matrix_32_ext_0_1,3,det_17_adherence,0.26399551826004797,0.12275637516924541,0.24398972497023147,13.95,0.64,0.35,0.13
DIEGO,matrix_32_ext_0_1,3,det_25_agreement,0.2595267331657091,0.1050164610715487,0.24273633295097907,13.58,0.68,0.3,0.13
DIEGO,matrix_32_ext_0_1,3,det_20_coziness,0.2525132265444061,0.11489537747010216,0.23179264572604805,14.74,0.61,0.32,0.09
DIEGO,matrix_32_ext_0_1,3,det_32_own_significance,0.24949134808562012,0.1172833157606505,0.23586053989652772,14.65,0.62,0.27,0.09
DIEGO,matrix_32_ext_0_1,3,det_31_approval,0.24610219696672758,0.10928797559472209,0.22216086629793352,15.09,0.63,0.27,0.09
DIEGO,matrix_32_ext_0_1,3,det_28_recognition,0.24487597156013022,0.11113248324805508,0.2292558246584098,15.16,0.63,0.28,0.08
DIEGO,matrix_32_ext_0_1,3,det_07_legal,0.24467996733948255,0.11441083538989309,0.22757475998878973,15.13,0.62,0.28,0.09
DIEGO,matrix_32_ext_0_1,3,det_15_self_satisfaction,0.24315847995134074,0.12970054296177347,0.21700005543536774,16.26,0.57,0.28,0.13
DIEGO,matrix_32_ext_0_1,3,det_16_commitment,0.2417163004768831,0.1084835055713357,0.240153119879168,15.29,0.59,0.27,0.09
DIEGO,matrix_32_ext_0_1,3,det_23_support,0.2401283130779116,0.0974145665696955,0.223262325973416,15.45,0.58,0.26,0.08
