analysis_sample,matrix_name,n_factors,determinant,mean_importance,sd_importance,median_importance,mean_rank,prop_above_0_20,prop_above_0_30,prop_above_0_40
LATAM,matrix_32_ext_0_1,2,det_28_recognition,0.7141607874353395,0.03253054396433036,0.7137854910440609,1.67,1,1,1
LATAM,matrix_32_ext_0_1,2,det_24_socialising,0.7004601100564886,0.03336272119126889,0.7048229209176435,2.09,1,1,1
LATAM,matrix_32_ext_0_1,2,det_31_approval,0.6519525120327935,0.03997210604542048,0.6557862972873632,4.22,1,1,1
LATAM,matrix_32_ext_0_1,2,det_30_authority,0.6510412299407996,0.035150985149229284,0.6500647413271945,4.18,1,1,1
LATAM,matrix_32_ext_0_1,2,det_15_self_satisfaction,0.6438231250299212,0.033506893536612,0.6421077033129221,4.54,1,1,1
LATAM,matrix_32_ext_0_1,2,det_19_wellbeing,0.6076549946875949,0.04116421787182277,0.6077197733430206,6.54,1,1,1
LATAM,matrix_32_ext_0_1,2,det_09_safety,0.5842002852229721,0.029937805697692742,0.585678963515148,8.16,1,1,1
LATAM,matrix_32_ext_0_1,2,det_20_coziness,0.5578775751901299,0.03844284782899676,0.5632519843663593,10.72,1,1,1
LATAM,matrix_32_ext_0_1,2,det_17_adherence,0.5527724572648005,0.03610707426856947,0.5536939652232404,10.87,1,1,1
LATAM,matrix_32_ext_0_1,2,det_12_own_competence,0.550215460082915,0.04116412907423319,0.5448671509314347,11.31,1,1,1
LATAM,matrix_32_ext_0_1,2,det_22_peer_pressure,0.5467632183094214,0.045080735359521805,0.5461125260519248,11.82,1,1,1
LATAM,matrix_32_ext_0_1,2,det_16_commitment,0.5443640463671482,0.03718737603542664,0.5495215495290898,11.86,1,1,1
LATAM,matrix_32_ext_0_1,2,det_29_trends,0.5321071213495202,0.04457981451771635,0.5299410719370278,13.06,1,1,0.99
LATAM,matrix_32_ext_0_1,2,det_01_profits,0.5220823464291068,0.0401952277453015,0.5249462751169258,14.02,1,1,0.99
