analysis_sample,matrix_name,n_factors,n_runs,n_ok,n_warning,n_error,mean_n_rows_used,mean_n_unique_participants,mean_RMSR,sd_RMSR,mean_TLI,sd_TLI,mean_RMSEA,sd_RMSEA,mean_BIC,sd_BIC,mean_abs_factor_correlation,sd_abs_factor_correlation,mean_factor_distance,sd_factor_distance
LATAM,matrix_32_ext_0_1,2,100,100,0,0,608,265.79,0.04233139254969133,0.0013263157130333817,0.6889808362003222,0.018603594253029904,0.07677490816579463,0.002207221825661593,-788.8428545496889,89.42917334698875,0.37101726452518863,NA,0.6289827354748113,NA
LATAM,matrix_32_ext_0_1,3,100,100,0,0,608,265.79,0.036882087315465405,0.0010727247088967724,0.7216648979956786,0.017939144281433953,0.07257508276886962,0.002178815587074763,-887.9086433373046,77.70015404538931,0.3459636917431222,NA,0.6540363082568779,NA
LATAM,matrix_32_ext_0_1,4,100,100,0,0,608,265.79,0.03221969529361103,9.86733511605721e-4,0.7506629708863504,0.01752305711424409,0.06863728825314847,0.0022059695150735974,-950.4324702172712,68.8210524958026,0.2828933889627925,NA,0.7171066110372075,NA
LATAM,matrix_32_ext_0_1,5,100,100,0,0,608,265.79,0.028721223258066086,9.55294294782477e-4,0.7724237563096298,0.017189674266221637,0.06552618174473035,0.0023304559422187994,-966.9664258074857,64.12116079930519,0.2520129625599382,NA,0.7479870374400618,NA
LATAM,matrix_32_ext_0_1,6,100,100,0,0,608,265.79,0.02589935853543261,8.856924027085883e-4,0.7882408603336617,0.016735914949576686,0.0631629699703245,0.002353511691467517,-950.4733999576853,57.40971054576667,0.22536209749775224,NA,0.7746379025022477,NA
LATAM,matrix_32_ext_0_1,7,100,100,1,0,608,265.79,0.023473498425917224,7.919770093055764e-4,0.8018194415624009,0.01685494881086133,0.06105630971124954,0.0024418399911841893,-919.5487624879084,52.81411443553148,0.2102127440828154,NA,0.7897872559171846,NA
LATAM,matrix_32_ext_0_1,8,100,100,3,0,608,265.79,0.021244665404645403,7.465049948166138e-4,0.8149646728487292,0.01673061239974282,0.0589518160679144,0.0025298287349382023,-882.1709431843915,48.21521139114426,0.20002136660231354,NA,0.7999786333976865,NA
LATAM,matrix_32_pos_0_1,2,100,100,0,0,608,265.79,0.055822682836651975,0.001961849156057059,0.5435814633079314,0.02365067124458157,0.09662011251096085,0.0024803101573296267,117.39790154701286,127.13063332419476,0.2912435235519322,NA,0.7087564764480678,NA
LATAM,matrix_32_pos_0_1,3,100,100,0,0,608,265.79,0.04224618476612381,0.0014599469930157074,0.6376193580894927,0.0222202839577238,0.08602610522311925,0.002583311162809647,-364.71988851172694,109.04103657100471,0.1756398396932368,NA,0.8243601603067632,NA
LATAM,matrix_32_pos_0_1,4,100,100,0,0,608,265.79,0.036077736515213676,0.001320213188539174,0.679092624496095,0.022331739589580162,0.08088661269747024,0.0025726308735614122,-533.5544024175044,94.95989322982601,0.19270127904691578,NA,0.8072987209530842,NA
LATAM,matrix_32_pos_0_1,5,100,100,0,0,608,265.79,0.0312758479171897,0.0013257665252320013,0.7168048277898741,0.023820413845368985,0.07590914823048389,0.002841460744737502,-657.4867535475148,91.0870211959472,0.19611287133273436,NA,0.8038871286672656,NA
LATAM,matrix_32_pos_0_1,6,100,100,0,0,608,265.79,0.027509110299520904,0.0010966259906131596,0.7437182486586166,0.022060154181808386,0.0721633533635525,0.002807110872226726,-713.7925643248553,78.92979055425106,0.17913212237755335,NA,0.8208678776224466,NA
LATAM,matrix_32_pos_0_1,7,100,100,0,0,608,265.79,0.024513548150192563,9.879926208502603e-4,0.7669333865923856,0.021462986493844916,0.06876557116567895,0.0029119331536996257,-740.8128921212536,71.80877682479678,0.17729063421345664,NA,0.8227093657865433,NA
LATAM,matrix_32_pos_0_1,8,100,100,0,0,608,265.79,0.02190563707384684,9.118488201660313e-4,0.7874205483788088,0.021505921773835635,0.06561757278392791,0.003127289913923091,-746.3252880676861,67.21879314724518,0.1746478886626298,NA,0.8253521113373702,NA
LATAM,matrix_32_raw_0_1,2,100,100,0,0,608,265.79,0.06058559809430709,0.0021043971558150133,0.4985143004027161,0.02398348520364678,0.10323892343690794,0.0026794737412545702,465.91903584887393,145.42568841923853,0.08695614773937736,NA,0.9130438522606227,NA
LATAM,matrix_32_raw_0_1,3,100,100,0,0,608,265.79,0.046058041917619655,0.0016452671945005539,0.5930788440145461,0.02375682347345533,0.09292532500251321,0.002855344936144902,-61.84818457288983,130.20327130272867,0.10488539827189411,NA,0.8951146017281059,NA
LATAM,matrix_32_raw_0_1,4,100,100,0,0,608,265.79,0.038271998066881516,0.0015777633749625276,0.6478942409450557,0.026276011228652224,0.08635708708729492,0.003131911795316354,-324.7946950622845,123.39871472106306,0.1298538634567985,NA,0.8701461365432015,NA
