analysis_sample,matrix_name,n_factors,n_runs,n_ok,n_warning,n_error,mean_n_rows_used,mean_n_unique_participants,mean_RMSR,sd_RMSR,mean_TLI,sd_TLI,mean_RMSEA,sd_RMSEA,mean_BIC,sd_BIC,mean_abs_factor_correlation,sd_abs_factor_correlation,mean_factor_distance,sd_factor_distance
WHY_LATAM,matrix_32_ext_0_1,2,100,100,0,0,608,265.79,0.04233139254969133,0.0013263157130333821,0.6889808362003222,0.018603594253029883,0.07677490816579464,0.0022072218256615943,-788.8428545496888,89.42917334698876,0.37101744403754333,NA,0.6289825559624567,NA
WHY_LATAM,matrix_32_ext_0_1,3,100,100,0,0,608,265.79,0.036882087315465405,0.0010727247088967722,0.7216648979956786,0.017939144281434005,0.07257508276886962,0.002178815587074777,-887.9086433373046,77.70015404538984,0.34596397940746,NA,0.6540360205925401,NA
WHY_LATAM,matrix_32_ext_0_1,4,100,100,0,0,608,265.79,0.03221969529361103,9.867335116057212e-4,0.7506629708863501,0.017523057114244102,0.06863728825314848,0.002205969515073601,-950.4324702172706,68.82105249580275,0.2828937605743373,NA,0.7171062394256628,NA
WHY_LATAM,matrix_32_ext_0_1,5,100,100,0,0,608,265.79,0.028721223258066086,9.552942947824764e-4,0.7724237563096297,0.01718967426622141,0.06552618174473036,0.0023304559422187687,-966.9664258074855,64.12116079930438,0.25201273468584157,NA,0.7479872653141584,NA
WHY_LATAM,matrix_32_ext_0_1,6,100,100,0,0,608,265.79,0.02589935853543261,8.856924027085876e-4,0.7882408603336618,0.016735914949576765,0.06316296997032447,0.0023535116914675364,-950.4733999576858,57.40971054576715,0.2253623724866871,NA,0.7746376275133129,NA
WHY_LATAM,matrix_32_ext_0_1,7,100,100,1,0,608,265.79,0.023473498425917224,7.919770093055762e-4,0.8018194415624009,0.016854948810861355,0.06105630971124954,0.0024418399911841967,-919.5487624879084,52.81411443553168,0.21021317088844654,NA,0.7897868291115534,NA
WHY_LATAM,matrix_32_ext_0_1,8,100,100,3,0,608,265.79,0.021244665404645403,7.465049948166147e-4,0.8149646728487292,0.016730612399742804,0.058951816067914393,0.0025298287349382075,-882.1709431843915,48.21521139114434,0.20017963209710304,NA,0.799820367902897,NA
WHY_LATAM,matrix_32_pos_0_1,2,100,100,0,0,608,265.79,0.055822682836651975,0.00196184915605706,0.5435814633079314,0.02365067124458158,0.09662011251096085,0.002480310157329628,117.39790154701272,127.13063332419476,0.2912435376747703,NA,0.7087564623252297,NA
WHY_LATAM,matrix_32_pos_0_1,3,100,100,0,0,608,265.79,0.04224618476612381,0.0014599469930157063,0.6376193580894927,0.022220283957723824,0.08602610522311925,0.002583311162809659,-364.71988851172665,109.0410365710052,0.17563967442993958,NA,0.8243603255700604,NA
WHY_LATAM,matrix_32_pos_0_1,4,100,100,0,0,608,265.79,0.036077736515213676,0.0013202131885391747,0.6790926244960951,0.022331739589580228,0.08088661269747024,0.002572630873561422,-533.5544024175047,94.95989322982636,0.19270137216604474,NA,0.8072986278339552,NA
