d_det,d_hamming,max_possible_hamming,effective_hamming_radius,min_common_determinants,min_common_pct,radius_can_cover_any_pattern
8,0,16,0,8,100,FALSE
8,2,16,2,7,87.5,FALSE
8,4,16,4,6,75,FALSE
8,6,16,6,5,62.5,FALSE
8,8,16,8,4,50,FALSE
8,10,16,10,3,37.5,FALSE
9,0,18,0,9,100,FALSE
9,2,18,2,8,88.88888888888889,FALSE
9,4,18,4,7,77.77777777777777,FALSE
9,6,18,6,6,66.66666666666667,FALSE
9,8,18,8,5,55.55555555555556,FALSE
9,10,18,10,4,44.44444444444444,FALSE
10,0,20,0,10,100,FALSE
10,2,20,2,9,90,FALSE
10,4,20,4,8,80,FALSE
10,6,20,6,7,70,FALSE
10,8,20,8,6,60,FALSE
10,10,20,10,5,50,FALSE
11,0,22,0,11,100,FALSE
11,2,22,2,10,90.9090909090909,FALSE
11,4,22,4,9,81.81818181818181,FALSE
11,6,22,6,8,72.72727272727273,FALSE
11,8,22,8,7,63.63636363636363,FALSE
11,10,22,10,6,54.54545454545455,FALSE
12,0,24,0,12,100,FALSE
12,2,24,2,11,91.66666666666667,FALSE
12,4,24,4,10,83.33333333333333,FALSE
12,6,24,6,9,75,FALSE
12,8,24,8,8,66.66666666666667,FALSE
12,10,24,10,7,58.333333333333336,FALSE
13,0,26,0,13,100,FALSE
13,2,26,2,12,92.3076923076923,FALSE
13,4,26,4,11,84.61538461538461,FALSE
13,6,26,6,10,76.92307692307692,FALSE
13,8,26,8,9,69.23076923076923,FALSE
13,10,26,10,8,61.53846153846154,FALSE
14,0,28,0,14,100,FALSE
14,2,28,2,13,92.85714285714286,FALSE
14,4,28,4,12,85.71428571428571,FALSE
14,6,28,6,11,78.57142857142857,FALSE
14,8,28,8,10,71.42857142857143,FALSE
14,10,28,10,9,64.28571428571429,FALSE
15,0,30,0,15,100,FALSE
15,2,30,2,14,93.33333333333333,FALSE
15,4,30,4,13,86.66666666666667,FALSE
15,6,30,6,12,80,FALSE
15,8,30,8,11,73.33333333333333,FALSE
15,10,30,10,10,66.66666666666667,FALSE
