analysis_sample,method,matrix_name,weighting,d_det,n_signature_instances,total_weight,weight_pct
COMPLETE,EFA,matrix_32_ext_0_1,equal_candidate,8,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_ext_0_1,equal_candidate,9,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_ext_0_1,equal_candidate,10,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_ext_0_1,equal_candidate,11,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_ext_0_1,equal_candidate,12,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_ext_0_1,equal_candidate,13,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_ext_0_1,equal_candidate,14,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_ext_0_1,equal_candidate,15,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_ext_0_1,equal_element,8,3000,375,12.5
COMPLETE,EFA,matrix_32_ext_0_1,equal_element,9,3000,375,12.5
COMPLETE,EFA,matrix_32_ext_0_1,equal_element,10,3000,375,12.5
COMPLETE,EFA,matrix_32_ext_0_1,equal_element,11,3000,375,12.5
COMPLETE,EFA,matrix_32_ext_0_1,equal_element,12,3000,375,12.5
COMPLETE,EFA,matrix_32_ext_0_1,equal_element,13,3000,375,12.5
COMPLETE,EFA,matrix_32_ext_0_1,equal_element,14,3000,375,12.5
COMPLETE,EFA,matrix_32_ext_0_1,equal_element,15,3000,375,12.5
COMPLETE,EFA,matrix_32_pos_0_1,equal_candidate,8,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_pos_0_1,equal_candidate,9,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_pos_0_1,equal_candidate,10,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_pos_0_1,equal_candidate,11,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_pos_0_1,equal_candidate,12,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_pos_0_1,equal_candidate,13,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_pos_0_1,equal_candidate,14,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_pos_0_1,equal_candidate,15,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_pos_0_1,equal_element,8,3000,375,12.5
COMPLETE,EFA,matrix_32_pos_0_1,equal_element,9,3000,375,12.5
COMPLETE,EFA,matrix_32_pos_0_1,equal_element,10,3000,375,12.5
COMPLETE,EFA,matrix_32_pos_0_1,equal_element,11,3000,375,12.5
COMPLETE,EFA,matrix_32_pos_0_1,equal_element,12,3000,375,12.5
COMPLETE,EFA,matrix_32_pos_0_1,equal_element,13,3000,375,12.5
COMPLETE,EFA,matrix_32_pos_0_1,equal_element,14,3000,375,12.5
COMPLETE,EFA,matrix_32_pos_0_1,equal_element,15,3000,375,12.5
COMPLETE,EFA,matrix_32_raw_0_1,equal_candidate,8,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_raw_0_1,equal_candidate,9,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_raw_0_1,equal_candidate,10,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_raw_0_1,equal_candidate,11,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_raw_0_1,equal_candidate,12,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_raw_0_1,equal_candidate,13,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_raw_0_1,equal_candidate,14,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_raw_0_1,equal_candidate,15,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_raw_0_1,equal_element,8,3000,375,12.5
COMPLETE,EFA,matrix_32_raw_0_1,equal_element,9,3000,375,12.5
COMPLETE,EFA,matrix_32_raw_0_1,equal_element,10,3000,375,12.5
COMPLETE,EFA,matrix_32_raw_0_1,equal_element,11,3000,375,12.5
COMPLETE,EFA,matrix_32_raw_0_1,equal_element,12,3000,375,12.5
COMPLETE,EFA,matrix_32_raw_0_1,equal_element,13,3000,375,12.5
COMPLETE,EFA,matrix_32_raw_0_1,equal_element,14,3000,375,12.5
COMPLETE,EFA,matrix_32_raw_0_1,equal_element,15,3000,375,12.5
COMPLETE,EFA,matrix_32_z_abs,equal_candidate,8,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_z_abs,equal_candidate,9,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_z_abs,equal_candidate,10,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_z_abs,equal_candidate,11,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_z_abs,equal_candidate,12,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_z_abs,equal_candidate,13,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_z_abs,equal_candidate,14,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_z_abs,equal_candidate,15,3000,62.50000000000099,12.500000000000002
COMPLETE,EFA,matrix_32_z_abs,equal_element,8,3000,375,12.5
COMPLETE,EFA,matrix_32_z_abs,equal_element,9,3000,375,12.5
COMPLETE,EFA,matrix_32_z_abs,equal_element,10,3000,375,12.5
COMPLETE,EFA,matrix_32_z_abs,equal_element,11,3000,375,12.5
COMPLETE,EFA,matrix_32_z_abs,equal_element,12,3000,375,12.5
COMPLETE,EFA,matrix_32_z_abs,equal_element,13,3000,375,12.5
COMPLETE,EFA,matrix_32_z_abs,equal_element,14,3000,375,12.5
COMPLETE,EFA,matrix_32_z_abs,equal_element,15,3000,375,12.5
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_candidate,8,3000,62.50000000000099,12.500000000000002
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_candidate,9,3000,62.50000000000099,12.500000000000002
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_candidate,10,3000,62.50000000000099,12.500000000000002
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_candidate,11,3000,62.50000000000099,12.500000000000002
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_candidate,12,3000,62.50000000000099,12.500000000000002
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_candidate,13,3000,62.50000000000099,12.500000000000002
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_candidate,14,3000,62.50000000000099,12.500000000000002
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_candidate,15,3000,62.50000000000099,12.500000000000002
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_element,8,3000,375,12.5
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_element,9,3000,375,12.5
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_element,10,3000,375,12.5
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_element,11,3000,375,12.5
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_element,12,3000,375,12.5
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_element,13,3000,375,12.5
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_element,14,3000,375,12.5
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_element,15,3000,375,12.5
COMPLETE,KMEANS,matrix_32_pos_0_1,equal_candidate,8,3000,62.50000000000099,12.500000000000002
COMPLETE,KMEANS,matrix_32_pos_0_1,equal_candidate,9,3000,62.50000000000099,12.500000000000002
COMPLETE,KMEANS,matrix_32_pos_0_1,equal_candidate,10,3000,62.50000000000099,12.500000000000002
COMPLETE,KMEANS,matrix_32_pos_0_1,equal_candidate,11,3000,62.50000000000099,12.500000000000002
COMPLETE,KMEANS,matrix_32_pos_0_1,equal_candidate,12,3000,62.50000000000099,12.500000000000002
COMPLETE,KMEANS,matrix_32_pos_0_1,equal_candidate,13,3000,62.50000000000099,12.500000000000002
