analysis_sample,weighting,method,matrix_name,d_hamming,prototype,center_pattern_key,center_signature_size,center_active_determinants,center_weight,center_weight_pct,n_unique_patterns_in_ball,incremental_covered_weight,incremental_covered_pct,cumulative_covered_weight,cumulative_covered_pct,weighted_mean_hamming,max_hamming_in_ball,total_weight,n_unique_patterns
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,1,00000010011010101000000000010010,8,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_28_recognition; det_31_approval,3.2101190476190453,0.6420238095237906,1,3.2101190476190453,0.6420238095237906,3.2101190476190453,0.6420238095237906,0,0,500.00000000001444,7246
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,2,00000000011000000000010100111110,9,det_10_cost_efficiency; det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,2.997916666666666,0.5995833333333158,1,2.997916666666666,0.5995833333333158,6.208035714285711,1.2416071428571063,0,0,500.00000000001444,7246
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,3,00000010011010101000000100010010,9,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_24_socialising; det_28_recognition; det_31_approval,2.0263392857142843,0.4052678571428452,1,2.0263392857142843,0.4052678571428452,8.234374999999996,1.6468749999999517,0,0,500.00000000001444,7246
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,4,10000011111110111111100000000000,15,det_01_profits; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_21_rights_and_duties,2.006547619047617,0.4013095238095118,1,2.006547619047617,0.4013095238095118,10.240922619047613,2.0481845238094634,0,0,500.00000000001444,7246
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,5,01000000111110101010000000000000,9,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_19_wellbeing,1.8510416666666647,0.3702083333333222,1,1.8510416666666647,0.3702083333333222,12.091964285714278,2.4183928571427855,0,0,500.00000000001444,7246
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,6,00000000001000000000010100111110,8,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,1.800892857142856,0.3601785714285608,1,1.800892857142856,0.3601785714285608,13.892857142857133,2.7785714285713463,0,0,500.00000000001444,7246
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,7,01000001111110111010000000000000,11,det_02_credit_score; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_19_wellbeing,1.7494047619047601,0.3498809523809419,1,1.7494047619047601,0.3498809523809419,15.642261904761893,3.128452380952288,0,0,500.00000000001444,7246
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,8,01000000011010100000010100111110,12,det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,1.6366071428571423,0.327321428571419,1,1.6366071428571423,0.327321428571419,17.278869047619036,3.4557738095237074,0,0,500.00000000001444,7246
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,9,01000000111100101010000000000000,8,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_15_self_satisfaction; det_17_adherence; det_19_wellbeing,1.6354166666666654,0.3270833333333236,1,1.6354166666666654,0.3270833333333236,18.9142857142857,3.7828571428570306,0,0,500.00000000001444,7246
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,10,11000001111110111111100000000000,15,det_01_profits; det_02_credit_score; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_21_rights_and_duties,1.6267857142857134,0.32535714285713324,1,1.6267857142857134,0.32535714285713324,20.541071428571414,4.108214285714164,0,0,500.00000000001444,7246
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,11,00000000011000000000000100111110,8,det_10_cost_efficiency; det_11_knowledge; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,1.594345238095237,0.3188690476190382,1,1.594345238095237,0.3188690476190382,22.13541666666665,4.4270833333332025,0,0,500.00000000001444,7246
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,12,00000010111010101000000000010010,9,det_07_legal; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_28_recognition; det_31_approval,1.5287202380952376,0.30574404761903873,1,1.5287202380952376,0.30574404761903873,23.66413690476189,4.732827380952242,0,0,500.00000000001444,7246
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,1,1,00000010011010101000000000010010,8,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_28_recognition; det_31_approval,3.2101190476190453,0.6420238095237906,11,8.926785714285712,1.785357142857091,8.926785714285712,1.785357142857091,0.6403947456157898,1,500.00000000001444,7246
