analysis_sample,matrix_name,matrix,k,mean_smallest_cluster_share,min_observed_cluster_n
COMPLETE,matrix_32_ext_0_1,EXT,2,0.43598258706467663,634
COMPLETE,matrix_32_ext_0_1,EXT,3,0.2493781094527363,332
COMPLETE,matrix_32_ext_0_1,EXT,4,0.18923507462686567,235
COMPLETE,matrix_32_ext_0_1,EXT,5,0.13425995024875623,165
COMPLETE,matrix_32_ext_0_1,EXT,6,0.11322139303482588,119
COMPLETE,matrix_32_ext_0_1,EXT,7,0.09664800995024876,105
COMPLETE,matrix_32_ext_0_1,EXT,8,0.08266169154228856,89
COMPLETE,matrix_32_pos_0_1,POS,2,0.364228855721393,440
COMPLETE,matrix_32_pos_0_1,POS,3,0.20066542288557213,223
COMPLETE,matrix_32_pos_0_1,POS,4,0.16672885572139304,190
COMPLETE,matrix_32_pos_0_1,POS,5,0.1029042288557214,63
COMPLETE,matrix_32_pos_0_1,POS,6,0.07851368159203981,51
COMPLETE,matrix_32_pos_0_1,POS,7,0.06281716417910448,48
COMPLETE,matrix_32_pos_0_1,POS,8,0.04503109452736318,39
COMPLETE,matrix_32_raw_0_1,RAW,2,0.46020522388059704,604
COMPLETE,matrix_32_raw_0_1,RAW,3,0.29651741293532335,372
COMPLETE,matrix_32_raw_0_1,RAW,4,0.20944651741293532,167
COMPLETE,matrix_32_raw_0_1,RAW,5,0.10722014925373134,99
COMPLETE,matrix_32_raw_0_1,RAW,6,0.09024253731343285,96
COMPLETE,matrix_32_raw_0_1,RAW,7,0.0844589552238806,76
COMPLETE,matrix_32_raw_0_1,RAW,8,0.07817786069651741,56
COMPLETE,matrix_32_z_abs,Z_ABS,2,0.475273631840796,699
COMPLETE,matrix_32_z_abs,Z_ABS,3,0.20875,272
COMPLETE,matrix_32_z_abs,Z_ABS,4,0.14060323383084578,150
COMPLETE,matrix_32_z_abs,Z_ABS,5,0.11325870646766167,125
COMPLETE,matrix_32_z_abs,Z_ABS,6,0.09125,74
COMPLETE,matrix_32_z_abs,Z_ABS,7,0.07881840796019901,55
COMPLETE,matrix_32_z_abs,Z_ABS,8,0.07054726368159205,5
EUROPE,matrix_32_ext_0_1,EXT,2,0.3906,323
EUROPE,matrix_32_ext_0_1,EXT,3,0.21266,164
EUROPE,matrix_32_ext_0_1,EXT,4,0.15998,116
EUROPE,matrix_32_ext_0_1,EXT,5,0.1265,75
EUROPE,matrix_32_ext_0_1,EXT,6,0.09339,60
EUROPE,matrix_32_ext_0_1,EXT,7,0.08203,46
EUROPE,matrix_32_ext_0_1,EXT,8,0.07413,44
EUROPE,matrix_32_pos_0_1,POS,2,0.34079,239
EUROPE,matrix_32_pos_0_1,POS,3,0.15604,98
EUROPE,matrix_32_pos_0_1,POS,4,0.12893,34
EUROPE,matrix_32_pos_0_1,POS,5,0.09421,19
EUROPE,matrix_32_pos_0_1,POS,6,0.07347000000000001,16
EUROPE,matrix_32_pos_0_1,POS,7,0.05836,12
EUROPE,matrix_32_pos_0_1,POS,8,0.04438,7
EUROPE,matrix_32_raw_0_1,RAW,2,0.47216,353
EUROPE,matrix_32_raw_0_1,RAW,3,0.30862,227
EUROPE,matrix_32_raw_0_1,RAW,4,0.22473,93
EUROPE,matrix_32_raw_0_1,RAW,5,0.14432,62
EUROPE,matrix_32_raw_0_1,RAW,6,0.11713,45
EUROPE,matrix_32_raw_0_1,RAW,7,0.10051,13
EUROPE,matrix_32_raw_0_1,RAW,8,0.08807,11
EUROPE,matrix_32_z_abs,Z_ABS,2,0.48754,401
