d_det,d_hamming,min_common_pct,prototypes_for_80,prototypes_for_85,prototypes_for_90,coverage_with_6,coverage_with_7,coverage_with_8
8,4,75,4,5,6,90.52119047618952,93.00857142857046,94.92404761904665
12,6,75,4,4,4,96.67785714285588,98.04928571428444,98.50642857142728
13,6,76.92307692307692,3,4,5,93.96690476190363,95.54214285714173,98.60404761904644
9,4,77.77777777777777,5,5,7,89.11880952380858,90.11714285714191,91.32928571428477
14,6,78.57142857142857,4,4,4,95.66404761904678,96.76999999999916,98.8023809523801
10,4,80,6,6,9,86.89761904761829,88.57476190476113,89.89476190476114
15,6,80,4,4,5,93.54785714285627,96.55238095238006,98.71904761904672
11,4,81.81818181818181,6,7,10,80.32547619047527,85.04142857142759,86.84619047618948
12,4,83.33333333333333,8,9,11,70.32642857142781,78.56690476190393,83.24404761904673
13,4,84.61538461538461,7,9,11,77.37785714285639,80.00404761904683,83.29833333333252
