analysis_sample,matrix,matrix_name,d_hamming,prototype,KMEANS,EFA,delta_KMEANS_minus_EFA
COMPLETE,RAW,matrix_32_raw_0_1,0,1,0.6420238095237906,2.044345238095164,-1.4023214285713732
COMPLETE,RAW,matrix_32_raw_0_1,0,2,1.2416071428571065,3.596041666666536,-2.354434523809429
COMPLETE,RAW,matrix_32_raw_0_1,0,3,1.6468749999999517,4.6336904761903055,-2.986815476190354
COMPLETE,RAW,matrix_32_raw_0_1,0,4,2.0481845238094634,5.6340773809521725,-3.585892857142709
COMPLETE,RAW,matrix_32_raw_0_1,0,5,2.4183928571427855,6.500654761904519,-4.082261904761733
COMPLETE,RAW,matrix_32_raw_0_1,0,6,2.7785714285713463,7.240684523809251,-4.462113095237905
COMPLETE,RAW,matrix_32_raw_0_1,0,7,3.128452380952288,7.971726190475889,-4.8432738095236
COMPLETE,RAW,matrix_32_raw_0_1,0,8,3.4557738095237074,8.544910714285392,-5.089136904761684
COMPLETE,RAW,matrix_32_raw_0_1,1,1,1.785357142857091,4.124851190476038,-2.339494047618947
COMPLETE,RAW,matrix_32_raw_0_1,1,2,4.2136904761903535,6.622053571428323,-2.408363095237969
COMPLETE,RAW,matrix_32_raw_0_1,1,3,5.366785714285558,9.221904761904414,-3.8551190476188557
COMPLETE,RAW,matrix_32_raw_0_1,1,4,7.2293749999997905,11.069017857142436,-3.8396428571426453
COMPLETE,RAW,matrix_32_raw_0_1,1,5,8.620505952380702,12.64443452380904,-4.023928571428337
COMPLETE,RAW,matrix_32_raw_0_1,1,6,9.98919642857114,13.193749999999495,-3.204553571428356
COMPLETE,RAW,matrix_32_raw_0_1,1,7,11.064642857142536,14.244999999999454,-3.180357142856918
COMPLETE,RAW,matrix_32_raw_0_1,1,8,12.4912797619044,15.008630952380376,-2.517351190475976
COMPLETE,RAW,matrix_32_raw_0_1,2,1,4.417589285714152,6.409374999999757,-1.991785714285605
COMPLETE,RAW,matrix_32_raw_0_1,2,2,8.70261904761879,11.177291666666234,-2.4746726190474444
COMPLETE,RAW,matrix_32_raw_0_1,2,3,12.246249999999636,15.543124999999398,-3.296874999999762
COMPLETE,RAW,matrix_32_raw_0_1,2,4,16.05267857142809,18.36592261904691,-2.31324404761882
COMPLETE,RAW,matrix_32_raw_0_1,2,5,18.91556547618991,20.834851190475387,-1.9192857142854756
COMPLETE,RAW,matrix_32_raw_0_1,2,6,22.899761904761224,23.651339285713373,-0.7515773809521491
COMPLETE,RAW,matrix_32_raw_0_1,2,7,25.98083333333256,25.555952380951393,0.42488095238116586
COMPLETE,RAW,matrix_32_raw_0_1,2,8,29.1869047619039,27.38547619047513,1.8014285714287688
COMPLETE,RAW,matrix_32_raw_0_1,3,1,7.0765178571426635,8.680505952380633,-1.6039880952379697
COMPLETE,RAW,matrix_32_raw_0_1,3,2,15.1451488095234,15.49372023809466,-0.34857142857126
