analysis_sample,matrix_name,kmeans_prototype,expert_profile,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
COMPLETE,matrix_32_raw_0_1,KM1,Homo.Economicus,8,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,matrix_32_raw_0_1,KM2,Influencer,8,5,5,62.5,100,62.5,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,matrix_32_raw_0_1,KM3,Careful,8,12,7,87.5,58.333333333333336,53.84615384615385,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
COMPLETE,matrix_32_raw_0_1,KM4,Activist,8,6,4,50,66.66666666666667,40,det_08_trust; det_15_self_satisfaction; det_16_commitment; det_17_adherence
COMPLETE,matrix_32_raw_0_1,KM5,Homo.Economicus,8,9,5,62.5,55.55555555555556,41.666666666666664,det_01_profits; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,matrix_32_raw_0_1,KM6,Fearful,8,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_19_wellbeing
COMPLETE,matrix_32_pos_0_1,KM1,Fearful,8,9,5,62.5,55.55555555555556,41.666666666666664,det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
COMPLETE,matrix_32_pos_0_1,KM2,Homo.Economicus,8,9,6,75,66.66666666666667,54.54545454545455,det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,matrix_32_pos_0_1,KM3,Activist,8,6,6,75,100,75,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
COMPLETE,matrix_32_pos_0_1,KM4,Fearful,8,9,6,75,66.66666666666667,54.54545454545455,det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
COMPLETE,matrix_32_pos_0_1,KM5,Careful,8,12,7,87.5,58.333333333333336,53.84615384615385,det_02_credit_score; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,matrix_32_pos_0_1,KM6,Careful,8,12,6,75,50,42.857142857142854,det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_19_wellbeing
COMPLETE,matrix_32_ext_0_1,KM1,Influencer,8,5,5,62.5,100,62.5,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,matrix_32_ext_0_1,KM2,Influencer,8,5,4,50,80,44.44444444444444,det_11_knowledge; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,matrix_32_ext_0_1,KM3,Careful,8,12,7,87.5,58.333333333333336,53.84615384615385,det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,matrix_32_ext_0_1,KM4,Fearful,8,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
COMPLETE,matrix_32_ext_0_1,KM5,Fearful,8,9,6,75,66.66666666666667,54.54545454545455,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
