consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_16_commitment,52,0.52,0.17425735002324608
1,det_32_own_significance,48,0.48,0.17274006133718314
1,det_01_profits,46,0.46,0.15756531990864905
1,det_19_wellbeing,44,0.44,0.15467308858395
1,det_21_rights_and_duties,43,0.43,0.15215129665842247
1,det_29_trends,39,0.39,0.14428732423811397
1,det_23_support,33,0.33,0.1287657784874173
1,det_25_agreement,31,0.31,0.13588407171784617
2,det_26_novelty,50,0.5,0.17190909541319296
2,det_29_trends,47,0.47,0.16002889871559137
2,det_22_peer_pressure,45,0.45,0.15954027714284855
2,det_27_fun,45,0.45,0.15876831683443574
2,det_24_socialising,43,0.43,0.1622269296345578
2,det_32_own_significance,43,0.43,0.14391838017642675
2,det_28_recognition,40,0.4,0.1651267916665072
2,det_08_trust,37,0.37,0.1506162544689096
3,det_12_own_competence,52,0.52,0.1581375182574003
3,det_01_profits,51,0.51,0.1821490560462796
3,det_14_environmental_concerns,48,0.48,0.17516392407616688
3,det_25_agreement,43,0.43,0.15746239277602006
3,det_30_authority,42,0.42,0.16252443895775043
3,det_07_legal,42,0.42,0.16124144634176238
3,det_05_frugality,39,0.39,0.1318979192127873
3,det_02_credit_score,38,0.38,0.15455756472703064
4,det_20_coziness,52,0.52,0.18983415789674504
4,det_10_cost_efficiency,45,0.45,0.1592544068994845
4,det_31_approval,43,0.43,0.15748658907272084
4,det_19_wellbeing,42,0.42,0.15059685990789806
4,det_07_legal,40,0.4,0.1480159273928138
4,det_15_self_satisfaction,39,0.39,0.15497352877351112
4,det_11_knowledge,39,0.39,0.14044655065996728
4,det_30_authority,37,0.37,0.13027104665233682
5,det_04_added_value,58,0.58,0.19785712591839666
5,det_25_agreement,46,0.46,0.15867640724825866
5,det_13_technical_fit,45,0.45,0.16298517501802204
5,det_18_autonomy,42,0.42,0.14689941718930968
5,det_23_support,39,0.39,0.14161512616199529
5,det_26_novelty,39,0.39,0.1291152599194332
5,det_02_credit_score,35,0.35,0.14661460715044644
5,det_03_risk_profile,29,0.29,0.12195894232127723
6,det_09_safety,52,0.52,0.17496302856836543
6,det_05_frugality,42,0.42,0.15298730990312553
6,det_23_support,41,0.41,0.16451785061504373
6,det_27_fun,39,0.39,0.1271608158816127
6,det_06_climate_protection,37,0.37,0.14740962622318296
6,det_20_coziness,35,0.35,0.1270449748696835
6,det_17_adherence,32,0.32,0.13349824573131747
6,det_02_credit_score,32,0.32,0.1287119732243808
