consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_10_cost_efficiency,97,0.97,0.519820316412761
1,det_05_frugality,97,0.97,0.49999847229903893
1,det_13_technical_fit,96,0.96,0.5401773713676762
1,det_01_profits,95,0.95,0.47510369190166746
1,det_03_risk_profile,86,0.86,0.374852782309493
1,det_11_knowledge,64,0.64,0.35072045156330195
1,det_15_self_satisfaction,55,0.55,0.3005255480220374
1,det_02_credit_score,54,0.54,0.28750478613215824
2,det_28_recognition,100,1,0.678742531996305
2,det_31_approval,100,1,0.6605152720637973
2,det_30_authority,100,1,0.6085582613716939
2,det_24_socialising,100,1,0.5096139539060905
2,det_26_novelty,97,0.97,0.35650639938179984
2,det_27_fun,92,0.92,0.3262365028305258
2,det_29_trends,79,0.79,0.3033189313325854
2,det_22_peer_pressure,60,0.6,0.2735018038770349
3,det_06_climate_protection,100,1,0.7449208381524143
3,det_14_environmental_concerns,100,1,0.6871062600196178
3,det_04_added_value,99,0.99,0.5063161345124624
3,det_23_support,98,0.98,0.40231696904390385
3,det_32_own_significance,96,0.96,0.2571708694559945
3,det_13_technical_fit,52,0.52,0.14825556059357187
3,det_17_adherence,32,0.32,0.11227776223647702
3,det_26_novelty,23,0.23,0.09391351620090925
4,det_07_legal,95,0.95,0.5503702017177415
4,det_21_rights_and_duties,94,0.94,0.5593398355272162
4,det_11_knowledge,90,0.9,0.42605092258832306
4,det_08_trust,80,0.8,0.35661292980788967
4,det_12_own_competence,80,0.8,0.34216044362420733
4,det_17_adherence,66,0.66,0.29300770551249605
4,det_23_support,63,0.63,0.2915782113360142
4,det_25_agreement,55,0.55,0.2979025637604198
5,det_19_wellbeing,100,1,0.7474963730647695
5,det_20_coziness,99,0.99,0.7058047435852817
5,det_09_safety,97,0.97,0.5494282433551202
5,det_15_self_satisfaction,97,0.97,0.37347065397771023
5,det_27_fun,88,0.88,0.34221821534037444
5,det_18_autonomy,85,0.85,0.3385263679974154
5,det_32_own_significance,84,0.84,0.32397536519827647
5,det_01_profits,35,0.35,0.2353301578791043
6,det_22_peer_pressure,83,0.83,0.39650887278610175
6,det_25_agreement,79,0.79,0.38526712191465823
6,det_29_trends,64,0.64,0.23726105607856246
6,det_09_safety,52,0.52,0.20707487240609154
6,det_26_novelty,51,0.51,0.1754727540704261
6,det_04_added_value,45,0.45,0.22409089132826648
6,det_18_autonomy,43,0.43,0.16906970417855255
6,det_24_socialising,40,0.4,0.14730395462660173
