consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_06_climate_protection,100,1,0.6785648509131855
1,det_04_added_value,99,0.99,0.48804693394168147
1,det_14_environmental_concerns,96,0.96,0.5158991759580878
1,det_23_support,94,0.94,0.3175583867438744
1,det_27_fun,76,0.76,0.23063378637147147
1,det_32_own_significance,72,0.72,0.22591978404055374
1,det_07_legal,71,0.71,0.23253790058801554
1,det_21_rights_and_duties,48,0.48,0.19439892664105177
2,det_28_recognition,100,1,0.718451894310714
2,det_24_socialising,100,1,0.7133156197327498
2,det_31_approval,100,1,0.6768495422054459
2,det_30_authority,100,1,0.6292027536078101
2,det_29_trends,100,1,0.5500073191618386
2,det_22_peer_pressure,100,1,0.5141696903379189
2,det_27_fun,99,0.99,0.3517748802055734
2,det_25_agreement,71,0.71,0.2577346002497753
3,det_11_knowledge,95,0.95,0.45359491213133507
3,det_12_own_competence,91,0.91,0.4069458489978279
3,det_16_commitment,84,0.84,0.37817180614624263
3,det_08_trust,83,0.83,0.3490891710748952
3,det_21_rights_and_duties,82,0.82,0.3776063312928421
3,det_17_adherence,74,0.74,0.3004507954793408
3,det_07_legal,47,0.47,0.26309871702899496
3,det_10_cost_efficiency,35,0.35,0.22914596408561747
4,det_15_self_satisfaction,88,0.88,0.3503384380228075
4,det_03_risk_profile,86,0.86,0.36572203439194684
4,det_13_technical_fit,78,0.78,0.36027313612862627
4,det_10_cost_efficiency,70,0.7,0.3715842324339748
4,det_02_credit_score,69,0.69,0.2887662695152917
4,det_01_profits,62,0.62,0.301908312514163
4,det_16_commitment,46,0.46,0.24390767101683047
4,det_18_autonomy,40,0.4,0.22974205531151204
5,det_19_wellbeing,98,0.98,0.6581443486277887
5,det_20_coziness,95,0.95,0.6766114905196071
5,det_09_safety,89,0.89,0.3865868551468467
5,det_18_autonomy,69,0.69,0.2549457661220228
5,det_32_own_significance,61,0.61,0.22731860094430428
5,det_15_self_satisfaction,59,0.59,0.20022734831795297
5,det_26_novelty,55,0.55,0.20692334038593285
5,det_25_agreement,41,0.41,0.16456268072427405
6,det_05_frugality,72,0.72,0.26151649763409746
6,det_26_novelty,71,0.71,0.24421423085129668
6,det_14_environmental_concerns,58,0.58,0.23669441361158428
6,det_01_profits,53,0.53,0.21242219822567013
6,det_07_legal,46,0.46,0.17765188509273155
6,det_32_own_significance,38,0.38,0.17293734456000615
6,det_09_safety,37,0.37,0.18281664936895875
6,det_17_adherence,36,0.36,0.16165063489310916
