left_id,right_id,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
KM1,Activist,10,6,0,0,0,0,
KM1,Careful,10,12,3,30,25,15.789473684210526,det_02_credit_score; det_10_cost_efficiency; det_11_knowledge
KM1,Early.Adopter,10,6,2,20,33.333333333333336,14.285714285714286,det_11_knowledge; det_29_trends
KM1,Fearful,10,9,3,30,33.333333333333336,18.75,det_02_credit_score; det_10_cost_efficiency; det_11_knowledge
KM1,Homo.Economicus,10,9,2,20,22.22222222222222,11.764705882352942,det_10_cost_efficiency; det_11_knowledge
KM1,Influencer,10,5,5,50,100,50,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
KM1,Stubborn,10,3,1,10,33.333333333333336,8.333333333333334,det_11_knowledge
KM1,Uninterested,10,6,2,20,33.333333333333336,14.285714285714286,det_22_peer_pressure; det_30_authority
KM2,Activist,15,6,5,33.333333333333336,83.33333333333333,31.25,det_08_trust; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence
KM2,Careful,15,12,10,66.66666666666667,83.33333333333333,58.8235294117647,det_02_credit_score; det_03_risk_profile; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing
KM2,Early.Adopter,15,6,3,20,50,16.666666666666668,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
KM2,Fearful,15,9,9,60,100,60,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
KM2,Homo.Economicus,15,9,8,53.333333333333336,88.88888888888889,50,det_01_profits; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
KM2,Influencer,15,5,1,6.666666666666667,20,5.2631578947368425,det_11_knowledge
KM2,Stubborn,15,3,3,20,100,20,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
KM2,Uninterested,15,6,3,20,50,16.666666666666668,det_07_legal; det_13_technical_fit; det_19_wellbeing
KM3,Activist,8,6,4,50,66.66666666666667,40,det_08_trust; det_15_self_satisfaction; det_16_commitment; det_17_adherence
KM3,Careful,8,12,7,87.5,58.333333333333336,53.84615384615385,det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_16_commitment; det_17_adherence; det_19_wellbeing
KM3,Early.Adopter,8,6,3,37.5,50,27.272727272727273,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
KM3,Fearful,8,9,5,62.5,55.55555555555556,41.666666666666664,det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_19_wellbeing
KM3,Homo.Economicus,8,9,5,62.5,55.55555555555556,41.666666666666664,det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_15_self_satisfaction
KM3,Influencer,8,5,1,12.5,20,8.333333333333334,det_11_knowledge
KM3,Stubborn,8,3,3,37.5,100,37.5,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
KM3,Uninterested,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_19_wellbeing
KM4,Activist,12,6,3,25,50,20,det_13_technical_fit; det_15_self_satisfaction; det_17_adherence
KM4,Careful,12,12,7,58.333333333333336,58.333333333333336,41.1764705882353,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
KM4,Early.Adopter,12,6,3,25,50,20,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
KM4,Fearful,12,9,7,58.333333333333336,77.77777777777777,50,det_02_credit_score; det_07_legal; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
KM4,Homo.Economicus,12,9,6,50,66.66666666666667,40,det_07_legal; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
KM4,Influencer,12,5,3,25,60,21.428571428571427,det_11_knowledge; det_28_recognition; det_31_approval
KM4,Stubborn,12,3,3,25,100,25,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
KM4,Uninterested,12,6,3,25,50,20,det_07_legal; det_13_technical_fit; det_19_wellbeing
KM5,Activist,9,6,2,22.22222222222222,33.333333333333336,15.384615384615385,det_13_technical_fit; det_15_self_satisfaction
KM5,Careful,9,12,3,33.333333333333336,25,16.666666666666668,det_10_cost_efficiency; det_11_knowledge; det_12_own_competence
KM5,Early.Adopter,9,6,2,22.22222222222222,33.333333333333336,15.384615384615385,det_11_knowledge; det_15_self_satisfaction
KM5,Fearful,9,9,3,33.333333333333336,33.333333333333336,20,det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit
KM5,Homo.Economicus,9,9,4,44.44444444444444,44.44444444444444,28.571428571428573,det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
KM5,Influencer,9,5,4,44.44444444444444,80,40,det_11_knowledge; det_24_socialising; det_28_recognition; det_31_approval
KM5,Stubborn,9,3,2,22.22222222222222,66.66666666666667,20,det_11_knowledge; det_15_self_satisfaction
KM5,Uninterested,9,6,2,22.22222222222222,33.333333333333336,15.384615384615385,det_13_technical_fit; det_30_authority
KM6,Activist,9,6,3,33.333333333333336,50,25,det_08_trust; det_14_environmental_concerns; det_17_adherence
KM6,Careful,9,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_14_environmental_concerns; det_17_adherence; det_19_wellbeing
KM6,Early.Adopter,9,6,3,33.333333333333336,50,25,det_11_knowledge; det_14_environmental_concerns; det_17_adherence
KM6,Fearful,9,9,5,55.55555555555556,55.55555555555556,38.46153846153846,det_02_credit_score; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_19_wellbeing
KM6,Homo.Economicus,9,9,3,33.333333333333336,33.333333333333336,20,det_08_trust; det_10_cost_efficiency; det_11_knowledge
KM6,Influencer,9,5,3,33.333333333333336,60,27.272727272727273,det_11_knowledge; det_28_recognition; det_31_approval
KM6,Stubborn,9,3,2,22.22222222222222,66.66666666666667,20,det_11_knowledge; det_17_adherence
