left_id,right_id,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
EFA1,Activist,8,6,0,0,0,0,
EFA1,Careful,8,12,0,0,0,0,
EFA1,Early.Adopter,8,6,2,25,33.333333333333336,16.666666666666668,det_26_novelty; det_29_trends
EFA1,Fearful,8,9,0,0,0,0,
EFA1,Homo.Economicus,8,9,0,0,0,0,
EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
EFA1,Stubborn,8,3,0,0,0,0,
EFA1,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_22_peer_pressure; det_30_authority
EFA2,Activist,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_13_technical_fit
EFA2,Careful,8,12,4,50,33.333333333333336,25,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_12_own_competence
EFA2,Early.Adopter,8,6,0,0,0,0,
EFA2,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit
EFA2,Homo.Economicus,8,9,3,37.5,33.333333333333336,21.428571428571427,det_01_profits; det_10_cost_efficiency; det_13_technical_fit
EFA2,Influencer,8,5,0,0,0,0,
EFA2,Stubborn,8,3,0,0,0,0,
EFA2,Uninterested,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_13_technical_fit
EFA3,Activist,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_15_self_satisfaction
EFA3,Careful,8,12,2,25,16.666666666666668,11.11111111111111,det_09_safety; det_19_wellbeing
EFA3,Early.Adopter,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_15_self_satisfaction
EFA3,Fearful,8,9,2,25,22.22222222222222,13.333333333333334,det_09_safety; det_19_wellbeing
EFA3,Homo.Economicus,8,9,2,25,22.22222222222222,13.333333333333334,det_09_safety; det_15_self_satisfaction
EFA3,Influencer,8,5,0,0,0,0,
EFA3,Stubborn,8,3,1,12.5,33.333333333333336,10,det_15_self_satisfaction
EFA3,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness
EFA4,Activist,15,6,4,26.666666666666668,66.66666666666667,23.529411764705884,det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence
EFA4,Careful,15,12,9,60,75,50,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing
EFA4,Early.Adopter,15,6,3,20,50,16.666666666666668,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
EFA4,Fearful,15,9,7,46.666666666666664,77.77777777777777,41.1764705882353,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
EFA4,Homo.Economicus,15,9,6,40,66.66666666666667,33.333333333333336,det_01_profits; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
EFA4,Influencer,15,5,1,6.666666666666667,20,5.2631578947368425,det_11_knowledge
EFA4,Stubborn,15,3,3,20,100,20,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
EFA4,Uninterested,15,6,3,20,50,16.666666666666668,det_13_technical_fit; det_19_wellbeing; det_20_coziness
EFA5,Activist,9,6,3,33.333333333333336,50,25,det_08_trust; det_16_commitment; det_17_adherence
EFA5,Careful,9,12,6,66.66666666666667,50,40,det_03_risk_profile; det_08_trust; det_09_safety; det_11_knowledge; det_16_commitment; det_17_adherence
EFA5,Early.Adopter,9,6,2,22.22222222222222,33.333333333333336,15.384615384615385,det_11_knowledge; det_17_adherence
EFA5,Fearful,9,9,5,55.55555555555556,55.55555555555556,38.46153846153846,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_11_knowledge
EFA5,Homo.Economicus,9,9,4,44.44444444444444,44.44444444444444,28.571428571428573,det_07_legal; det_08_trust; det_09_safety; det_11_knowledge
EFA5,Influencer,9,5,1,11.11111111111111,20,7.6923076923076925,det_11_knowledge
EFA5,Stubborn,9,3,2,22.22222222222222,66.66666666666667,20,det_11_knowledge; det_17_adherence
EFA5,Uninterested,9,6,1,11.11111111111111,16.666666666666668,7.142857142857143,det_07_legal
EFA6,Activist,12,6,4,33.333333333333336,66.66666666666667,28.571428571428573,det_08_trust; det_14_environmental_concerns; det_16_commitment; det_17_adherence
EFA6,Careful,12,12,5,41.666666666666664,41.666666666666664,26.31578947368421,det_06_climate_protection; det_08_trust; det_14_environmental_concerns; det_16_commitment; det_17_adherence
EFA6,Early.Adopter,12,6,2,16.666666666666668,33.333333333333336,12.5,det_14_environmental_concerns; det_17_adherence
EFA6,Fearful,12,9,2,16.666666666666668,22.22222222222222,10.526315789473685,det_07_legal; det_08_trust
EFA6,Homo.Economicus,12,9,4,33.333333333333336,44.44444444444444,23.529411764705884,det_01_profits; det_04_added_value; det_07_legal; det_08_trust
EFA6,Influencer,12,5,0,0,0,0,
EFA6,Stubborn,12,3,1,8.333333333333334,33.333333333333336,7.142857142857143,det_17_adherence
EFA6,Uninterested,12,6,1,8.333333333333334,16.666666666666668,5.882352941176471,det_07_legal
