left_id,right_id,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
KM1,Activist,9,6,4,44.44444444444444,66.66666666666667,36.36363636363637,det_08_trust; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence
KM1,Careful,9,12,6,66.66666666666667,50,40,det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_17_adherence; det_19_wellbeing
KM1,Early.Adopter,9,6,3,33.333333333333336,50,25,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
KM1,Fearful,9,9,7,77.77777777777777,77.77777777777777,63.63636363636363,det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
KM1,Homo.Economicus,9,9,7,77.77777777777777,77.77777777777777,63.63636363636363,det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
KM1,Influencer,9,5,1,11.11111111111111,20,7.6923076923076925,det_11_knowledge
KM1,Stubborn,9,3,3,33.333333333333336,100,33.333333333333336,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
KM1,Uninterested,9,6,3,33.333333333333336,50,25,det_07_legal; det_13_technical_fit; det_19_wellbeing
KM2,Activist,8,6,5,62.5,83.33333333333333,55.55555555555556,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_16_commitment; det_17_adherence
KM2,Careful,8,12,7,87.5,58.333333333333336,53.84615384615385,det_06_climate_protection; det_08_trust; det_11_knowledge; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
KM2,Early.Adopter,8,6,3,37.5,50,27.272727272727273,det_11_knowledge; det_14_environmental_concerns; det_17_adherence
KM2,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_08_trust; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
KM2,Homo.Economicus,8,9,3,37.5,33.333333333333336,21.428571428571427,det_08_trust; det_11_knowledge; det_13_technical_fit
KM2,Influencer,8,5,1,12.5,20,8.333333333333334,det_11_knowledge
KM2,Stubborn,8,3,2,25,66.66666666666667,22.22222222222222,det_11_knowledge; det_17_adherence
KM2,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_13_technical_fit; det_19_wellbeing
KM3,Activist,15,6,6,40,100,40,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
KM3,Careful,15,12,8,53.333333333333336,66.66666666666667,42.10526315789474,det_06_climate_protection; det_08_trust; det_09_safety; det_11_knowledge; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
KM3,Early.Adopter,15,6,4,26.666666666666668,66.66666666666667,23.529411764705884,det_11_knowledge; det_14_environmental_concerns; det_15_self_satisfaction; det_17_adherence
KM3,Fearful,15,9,6,40,66.66666666666667,33.333333333333336,det_07_legal; det_08_trust; det_09_safety; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
KM3,Homo.Economicus,15,9,7,46.666666666666664,77.77777777777777,41.1764705882353,det_04_added_value; det_07_legal; det_08_trust; det_09_safety; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
KM3,Influencer,15,5,1,6.666666666666667,20,5.2631578947368425,det_11_knowledge
KM3,Stubborn,15,3,3,20,100,20,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
KM3,Uninterested,15,6,3,20,50,16.666666666666668,det_07_legal; det_13_technical_fit; det_19_wellbeing
KM4,Activist,8,6,2,25,33.333333333333336,16.666666666666668,det_13_technical_fit; det_15_self_satisfaction
KM4,Careful,8,12,5,62.5,41.666666666666664,33.333333333333336,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_11_knowledge; det_19_wellbeing
KM4,Early.Adopter,8,6,2,25,33.333333333333336,16.666666666666668,det_11_knowledge; det_15_self_satisfaction
KM4,Fearful,8,9,6,75,66.66666666666667,54.54545454545455,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
KM4,Homo.Economicus,8,9,5,62.5,55.55555555555556,41.666666666666664,det_01_profits; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
KM4,Influencer,8,5,1,12.5,20,8.333333333333334,det_11_knowledge
KM4,Stubborn,8,3,2,25,66.66666666666667,22.22222222222222,det_11_knowledge; det_15_self_satisfaction
KM4,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_13_technical_fit; det_19_wellbeing
KM5,Activist,15,6,4,26.666666666666668,66.66666666666667,23.529411764705884,det_08_trust; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence
KM5,Careful,15,12,9,60,75,50,det_02_credit_score; det_03_risk_profile; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
KM5,Early.Adopter,15,6,3,20,50,16.666666666666668,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
KM5,Fearful,15,9,8,53.333333333333336,88.88888888888889,50,det_02_credit_score; det_03_risk_profile; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
KM5,Homo.Economicus,15,9,7,46.666666666666664,77.77777777777777,41.1764705882353,det_01_profits; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
KM5,Influencer,15,5,1,6.666666666666667,20,5.2631578947368425,det_11_knowledge
