left_id,right_id,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
KM1,Activist,13,6,6,46.15384615384615,100,46.15384615384615,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
KM1,Careful,13,12,10,76.92307692307692,83.33333333333333,66.66666666666667,det_02_credit_score; det_03_risk_profile; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
KM1,Early.Adopter,13,6,4,30.76923076923077,66.66666666666667,26.666666666666668,det_11_knowledge; det_14_environmental_concerns; det_15_self_satisfaction; det_17_adherence
KM1,Fearful,13,9,9,69.23076923076923,100,69.23076923076923,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
KM1,Homo.Economicus,13,9,7,53.84615384615385,77.77777777777777,46.666666666666664,det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
KM1,Influencer,13,5,1,7.6923076923076925,20,5.882352941176471,det_11_knowledge
KM1,Stubborn,13,3,3,23.076923076923077,100,23.076923076923077,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
KM1,Uninterested,13,6,3,23.076923076923077,50,18.75,det_07_legal; det_13_technical_fit; det_19_wellbeing
KM2,Activist,8,6,0,0,0,0,
KM2,Careful,8,12,2,25,16.666666666666668,11.11111111111111,det_06_climate_protection; det_10_cost_efficiency
KM2,Early.Adopter,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_29_trends
KM2,Fearful,8,9,1,12.5,11.11111111111111,6.25,det_10_cost_efficiency
KM2,Homo.Economicus,8,9,1,12.5,11.11111111111111,6.25,det_10_cost_efficiency
KM2,Influencer,8,5,3,37.5,60,30,det_24_socialising; det_28_recognition; det_31_approval
KM2,Stubborn,8,3,0,0,0,0,
KM2,Uninterested,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_30_authority
KM3,Activist,8,6,4,50,66.66666666666667,40,det_08_trust; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence
KM3,Careful,8,12,4,50,33.333333333333336,25,det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_17_adherence
KM3,Early.Adopter,8,6,3,37.5,50,27.272727272727273,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
KM3,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit
