analysis_sample,matrix_name,kmeans_prototype,kmeans_signature_size,kmeans_determinants,incremental_covered_pct,cumulative_covered_pct,efa_match,common_km_efa,similarity_km_efa_pct,jaccard_km_efa_pct,common_determinants_km_efa,efa_determinants,expert_match,expert_n_active,common_km_expert,km_determinants_found_in_expert_pct,expert_determinants_found_in_km_pct,jaccard_km_expert_pct,common_determinants_km_expert,expert_determinants
COMPLETE,matrix_32_raw_0_1,KM1,8,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_28_recognition; det_31_approval,24.74470238095156,24.74470238095156,EFA3,3,37.5,23.076923076923077,det_11_knowledge; det_15_self_satisfaction; det_17_adherence,det_11_knowledge; det_12_own_competence; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_26_novelty; det_32_own_significance,Homo.Economicus,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction,det_01_profits; det_04_added_value; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,matrix_32_raw_0_1,KM2,9,det_10_cost_efficiency; det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,20.855476190475432,45.600178571426994,EFA1,7,77.77777777777777,70,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,Influencer,5,5,55.55555555555556,100,55.55555555555556,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,matrix_32_raw_0_1,KM3,15,det_01_profits; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_21_rights_and_duties,22.546964285713596,68.1471428571406,EFA5,6,40,35.294117647058826,det_07_legal; det_08_trust; det_09_safety; det_16_commitment; det_17_adherence; det_21_rights_and_duties,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_16_commitment; det_17_adherence; det_21_rights_and_duties; det_25_agreement,Homo.Economicus,9,8,53.333333333333336,88.88888888888889,50,det_01_profits; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction,det_01_profits; det_04_added_value; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,matrix_32_raw_0_1,KM4,9,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_19_wellbeing,9.088958333333167,77.23610119047375,EFA4,3,33.333333333333336,21.428571428571427,det_09_safety; det_15_self_satisfaction; det_19_wellbeing,det_09_safety; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_25_agreement; det_27_fun; det_32_own_significance,Careful,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,matrix_32_raw_0_1,KM5,12,det_01_profits; det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_23_support; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,5.226845238095057,82.46294642856881,EFA6,4,33.333333333333336,25,det_01_profits; det_02_credit_score; det_10_cost_efficiency; det_13_technical_fit,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_18_autonomy,Homo.Economicus,9,5,41.666666666666664,55.55555555555556,31.25,det_01_profits; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction,det_01_profits; det_04_added_value; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,matrix_32_raw_0_1,KM6,13,det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,8.22889880952364,90.69184523809244,EFA2,1,7.6923076923076925,5,det_14_environmental_concerns,det_04_added_value; det_05_frugality; det_06_climate_protection; det_14_environmental_concerns; det_23_support; det_25_agreement; det_27_fun; det_32_own_significance,Activist,6,6,46.15384615384615,100,46.15384615384615,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
COMPLETE,matrix_32_pos_0_1,KM1,8,det_01_profits; det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_19_wellbeing,40.78672619047532,40.78672619047532,EFA2,5,62.5,45.45454545454545,det_01_profits; det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_18_autonomy,Fearful,9,5,62.5,55.55555555555556,41.666666666666664,det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
COMPLETE,matrix_32_pos_0_1,KM2,11,det_06_climate_protection; det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_21_rights_and_duties,35.12741071428488,75.9141369047602,EFA4,4,36.36363636363637,26.666666666666668,det_06_climate_protection; det_08_trust; det_13_technical_fit; det_14_environmental_concerns,det_04_added_value; det_06_climate_protection; det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_23_support; det_25_agreement; det_32_own_significance,Activist,6,6,54.54545454545455,100,54.54545454545455,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
COMPLETE,matrix_32_pos_0_1,KM3,15,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness,11.788720238095,87.70285714285521,EFA3,0,0,0,NA,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,Careful,12,9,60,75,50,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,matrix_32_pos_0_1,KM4,14,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_19_wellbeing; det_21_rights_and_duties,5.828422619047445,93.53127976190264,EFA6,7,50,46.666666666666664,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_11_knowledge; det_16_commitment; det_21_rights_and_duties,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_11_knowledge; det_16_commitment; det_21_rights_and_duties; det_25_agreement,Fearful,9,9,64.28571428571429,100,64.28571428571429,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
