analysis_sample,matrix_name,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
COMPLETE,matrix_32_raw_0_1,KM1,EFA3,37.5,8,8,3,37.5,37.5,23.076923076923077,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
COMPLETE,matrix_32_raw_0_1,KM2,EFA1,77.77777777777777,9,8,7,77.77777777777777,87.5,70,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,matrix_32_raw_0_1,KM3,EFA5,40,15,8,6,40,75,35.294117647058826,det_07_legal; det_08_trust; det_09_safety; det_16_commitment; det_17_adherence; det_21_rights_and_duties
COMPLETE,matrix_32_raw_0_1,KM4,EFA4,33.333333333333336,9,8,3,33.333333333333336,37.5,21.428571428571427,det_09_safety; det_15_self_satisfaction; det_19_wellbeing
COMPLETE,matrix_32_raw_0_1,KM5,EFA6,33.333333333333336,12,8,4,33.333333333333336,50,25,det_01_profits; det_02_credit_score; det_10_cost_efficiency; det_13_technical_fit
COMPLETE,matrix_32_raw_0_1,KM6,EFA2,7.6923076923076925,13,8,1,7.6923076923076925,12.5,5,det_14_environmental_concerns
COMPLETE,matrix_32_pos_0_1,KM1,EFA2,62.5,8,8,5,62.5,62.5,45.45454545454545,det_01_profits; det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit
COMPLETE,matrix_32_pos_0_1,KM2,EFA4,36.36363636363637,11,8,4,36.36363636363637,50,26.666666666666668,det_06_climate_protection; det_08_trust; det_13_technical_fit; det_14_environmental_concerns
COMPLETE,matrix_32_pos_0_1,KM3,EFA3,0,15,8,0,0,0,0,NA
COMPLETE,matrix_32_pos_0_1,KM4,EFA6,50,14,8,7,50,87.5,46.666666666666664,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_11_knowledge; det_16_commitment; det_21_rights_and_duties
COMPLETE,matrix_32_pos_0_1,KM5,EFA1,33.333333333333336,15,8,5,33.333333333333336,62.5,27.77777777777778,det_09_safety; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_32_own_significance
COMPLETE,matrix_32_pos_0_1,KM6,EFA5,50,8,8,4,50,50,33.333333333333336,det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_32_own_significance
COMPLETE,matrix_32_ext_0_1,KM1,EFA4,70,10,8,7,70,87.5,63.63636363636363,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,matrix_32_ext_0_1,KM2,EFA2,53.333333333333336,15,8,8,53.333333333333336,100,53.333333333333336,det_03_risk_profile; det_07_legal; det_08_trust; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_21_rights_and_duties
COMPLETE,matrix_32_ext_0_1,KM3,EFA5,50,8,8,4,50,50,33.333333333333336,det_09_safety; det_15_self_satisfaction; det_17_adherence; det_19_wellbeing
COMPLETE,matrix_32_ext_0_1,KM4,EFA1,33.333333333333336,12,8,4,33.333333333333336,50,25,det_02_credit_score; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,matrix_32_ext_0_1,KM5,EFA3,44.44444444444444,9,8,4,44.44444444444444,50,30.76923076923077,det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,matrix_32_ext_0_1,KM6,EFA6,11.11111111111111,9,8,1,11.11111111111111,12.5,6.25,det_14_environmental_concerns
COMPLETE,matrix_32_z_abs,KM1,EFA1,100,8,8,8,100,100,100,det_22_peer_pressure; det_24_socialising; det_25_agreement; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,matrix_32_z_abs,KM2,EFA2,25,8,8,2,25,25,14.285714285714286,det_02_credit_score; det_05_frugality
COMPLETE,matrix_32_z_abs,KM3,EFA5,40,15,8,6,40,75,35.294117647058826,det_02_credit_score; det_07_legal; det_21_rights_and_duties; det_25_agreement; det_26_novelty; det_27_fun
COMPLETE,matrix_32_z_abs,KM4,EFA6,13.333333333333334,15,8,2,13.333333333333334,25,9.523809523809524,det_07_legal; det_32_own_significance
