consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_28_recognition,100,1,0.7226471498352843
1,det_31_approval,100,1,0.6952984142151094
1,det_24_socialising,100,1,0.6565432309230533
1,det_30_authority,100,1,0.6032364716288839
1,det_29_trends,100,1,0.5281325014145872
1,det_22_peer_pressure,100,1,0.48614529636596643
1,det_27_fun,100,1,0.42925754928640425
1,det_26_novelty,100,1,0.4097192921080396
2,det_06_climate_protection,100,1,0.7900561131994507
2,det_14_environmental_concerns,100,1,0.7067902680248421
2,det_23_support,100,1,0.3665295659741706
2,det_04_added_value,100,1,0.32673480307130287
2,det_32_own_significance,100,1,0.19039902938238845
2,det_05_frugality,39,0.39,0.09794659225996621
2,det_27_fun,39,0.39,0.0939767157771784
2,det_25_agreement,36,0.36,0.09268377610348678
3,det_15_self_satisfaction,100,1,0.34506892047073123
3,det_18_autonomy,99,0.99,0.31797522044511123
3,det_16_commitment,98,0.98,0.3652191860352089
3,det_32_own_significance,96,0.96,0.34951015288971615
3,det_12_own_competence,80,0.8,0.28658185510954964
3,det_26_novelty,61,0.61,0.23652069327223796
3,det_17_adherence,54,0.54,0.22580375980612893
3,det_11_knowledge,44,0.44,0.21304589912400296
4,det_20_coziness,100,1,0.7209214352768026
4,det_19_wellbeing,100,1,0.7208564637926286
4,det_09_safety,100,1,0.4086327334836485
4,det_27_fun,100,1,0.21812445582622936
4,det_18_autonomy,97,0.97,0.19282053263721266
4,det_25_agreement,89,0.89,0.1645575741130367
4,det_15_self_satisfaction,82,0.82,0.15210108146495283
4,det_32_own_significance,52,0.52,0.12174499626808095
5,det_07_legal,100,1,0.6311021091056676
5,det_21_rights_and_duties,100,1,0.5641589616320958
5,det_25_agreement,99,0.99,0.4047462703959409
5,det_08_trust,99,0.99,0.32683003461212373
5,det_03_risk_profile,88,0.88,0.26349565418011545
5,det_09_safety,85,0.85,0.262082312417167
5,det_17_adherence,69,0.69,0.24058365418296998
5,det_16_commitment,48,0.48,0.22499760843752725
6,det_01_profits,100,1,0.6610063720321766
6,det_10_cost_efficiency,100,1,0.6157644388474942
6,det_05_frugality,100,1,0.5231205570808166
6,det_02_credit_score,100,1,0.4872923358066945
6,det_03_risk_profile,100,1,0.45651268624787644
6,det_13_technical_fit,97,0.97,0.2815159387056071
6,det_18_autonomy,88,0.88,0.2605373139841517
6,det_12_own_competence,87,0.87,0.27265989841796906
