consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_31_approval,100,1,0.578914880275857
1,det_24_socialising,100,1,0.5551892080126208
1,det_28_recognition,100,1,0.5312049755411501
1,det_30_authority,100,1,0.4313670589492243
1,det_22_peer_pressure,99,0.99,0.4066709022276287
1,det_29_trends,99,0.99,0.3396500652591238
1,det_27_fun,96,0.96,0.2882648516852584
1,det_25_agreement,31,0.31,0.1769650377566257
2,det_03_risk_profile,96,0.96,0.3214226700493896
2,det_01_profits,91,0.91,0.3509342986645194
2,det_05_frugality,87,0.87,0.3096996206886373
2,det_10_cost_efficiency,83,0.83,0.31911848291097644
2,det_02_credit_score,78,0.78,0.24352498583656215
2,det_13_technical_fit,43,0.43,0.1628157968918787
2,det_26_novelty,33,0.33,0.1356612161787292
2,det_17_adherence,28,0.28,0.13861386807056467
3,det_04_added_value,100,1,0.3404056814148271
3,det_06_climate_protection,99,0.99,0.6987900602018488
3,det_23_support,99,0.99,0.30090989675340124
3,det_14_environmental_concerns,97,0.97,0.5323453690644777
3,det_32_own_significance,71,0.71,0.11614323884050269
3,det_08_trust,43,0.43,0.08853464509090327
3,det_01_profits,36,0.36,0.0754313899494167
3,det_27_fun,35,0.35,0.07899817810542924
4,det_16_commitment,89,0.89,0.40216786474824257
4,det_15_self_satisfaction,88,0.88,0.3432503956912181
4,det_11_knowledge,86,0.86,0.301655108547985
4,det_12_own_competence,83,0.83,0.2597808876706925
4,det_08_trust,81,0.81,0.24862511048441524
4,det_17_adherence,69,0.69,0.24537856163690566
4,det_13_technical_fit,68,0.68,0.24622655059471915
4,det_18_autonomy,32,0.32,0.16804773102833226
5,det_32_own_significance,61,0.61,0.1907593004705881
5,det_25_agreement,61,0.61,0.16355673299253715
5,det_26_novelty,60,0.6,0.17319692405601617
5,det_07_legal,56,0.56,0.251424714121728
5,det_21_rights_and_duties,54,0.54,0.2226344221524411
5,det_18_autonomy,43,0.43,0.12417626978088689
5,det_02_credit_score,42,0.42,0.1425661656552886
5,det_27_fun,40,0.4,0.12714934377459824
6,det_19_wellbeing,100,1,0.5721265567922202
6,det_20_coziness,100,1,0.5127051317155489
6,det_09_safety,97,0.97,0.3501817049276396
6,det_18_autonomy,82,0.82,0.174269824297203
6,det_32_own_significance,73,0.73,0.1805185759566508
6,det_07_legal,51,0.51,0.14908881409173988
6,det_04_added_value,49,0.49,0.13602782118157408
6,det_05_frugality,31,0.31,0.10213821581373748
