consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_02_credit_score,81,0.81,0.3282387605855236
1,det_01_profits,80,0.8,0.40563788523640876
1,det_05_frugality,69,0.69,0.3011245077080407
1,det_03_risk_profile,48,0.48,0.19163762993185676
1,det_10_cost_efficiency,46,0.46,0.20020423378494423
1,det_18_autonomy,42,0.42,0.15167151443885676
1,det_28_recognition,40,0.4,0.15560877713613153
1,det_27_fun,30,0.3,0.1336182609835947
2,det_31_approval,91,0.91,0.45104548245803194
2,det_24_socialising,87,0.87,0.3419301916364837
2,det_29_trends,85,0.85,0.3528940717089473
2,det_28_recognition,76,0.76,0.35330890351587013
2,det_30_authority,72,0.72,0.3116536736934502
2,det_22_peer_pressure,70,0.7,0.2965390160219851
2,det_23_support,68,0.68,0.31613668380280835
2,det_25_agreement,55,0.55,0.23892772921696476
3,det_04_added_value,54,0.54,0.19314669460444314
3,det_25_agreement,51,0.51,0.2378100130274008
3,det_21_rights_and_duties,45,0.45,0.1780290678904251
3,det_23_support,38,0.38,0.17312851330014056
3,det_13_technical_fit,35,0.35,0.15828803747501316
3,det_15_self_satisfaction,34,0.34,0.14363829320542457
3,det_10_cost_efficiency,31,0.31,0.14929131449117358
3,det_07_legal,30,0.3,0.1579590496184259
4,det_14_environmental_concerns,74,0.74,0.32458476376877055
4,det_12_own_competence,74,0.74,0.2557349352154139
4,det_11_knowledge,64,0.64,0.22596207816548167
4,det_13_technical_fit,43,0.43,0.1669918875840175
4,det_10_cost_efficiency,41,0.41,0.17049175127370741
4,det_03_risk_profile,40,0.4,0.17738633926868222
4,det_21_rights_and_duties,39,0.39,0.17788073095560328
4,det_06_climate_protection,38,0.38,0.18208648289583845
5,det_16_commitment,73,0.73,0.30675928392249724
5,det_32_own_significance,60,0.6,0.2266178462174155
5,det_15_self_satisfaction,56,0.56,0.22741250565854912
5,det_08_trust,50,0.5,0.19984714318629254
5,det_27_fun,41,0.41,0.1631808987987799
5,det_14_environmental_concerns,36,0.36,0.14694019777352438
5,det_07_legal,36,0.36,0.14495298839881926
5,det_17_adherence,31,0.31,0.1238944797608596
6,det_19_wellbeing,86,0.86,0.4231894908305786
6,det_20_coziness,86,0.86,0.41632338142720066
6,det_09_safety,74,0.74,0.26427839096914957
6,det_27_fun,48,0.48,0.20801631569044007
6,det_10_cost_efficiency,36,0.36,0.16182465259068712
6,det_18_autonomy,36,0.36,0.1528306964161301
6,det_26_novelty,29,0.29,0.1419226977114738
6,det_30_authority,26,0.26,0.13909191648929065
