left_id,right_id,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
KM1,EFA1,8,8,2,25,25,14.285714285714286,det_26_novelty; det_27_fun
KM1,EFA2,8,8,8,100,100,100,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
KM1,EFA3,8,8,0,0,0,0,
KM1,EFA4,8,8,0,0,0,0,
KM1,EFA5,8,8,0,0,0,0,
KM1,EFA6,8,8,0,0,0,0,
KM2,EFA1,11,8,5,45.45454545454545,62.5,35.714285714285715,det_01_profits; det_02_credit_score; det_05_frugality; det_25_agreement; det_27_fun
KM2,EFA2,11,8,3,27.272727272727273,37.5,18.75,det_22_peer_pressure; det_27_fun; det_29_trends
KM2,EFA3,11,8,3,27.272727272727273,37.5,18.75,det_06_climate_protection; det_07_legal; det_23_support
KM2,EFA4,11,8,2,18.181818181818183,25,11.764705882352942,det_01_profits; det_05_frugality
KM2,EFA5,11,8,0,0,0,0,
KM2,EFA6,11,8,4,36.36363636363637,50,26.666666666666668,det_01_profits; det_02_credit_score; det_07_legal; det_21_rights_and_duties
KM3,EFA1,10,8,5,50,62.5,38.46153846153846,det_01_profits; det_02_credit_score; det_25_agreement; det_27_fun; det_32_own_significance
KM3,EFA2,10,8,1,10,12.5,5.882352941176471,det_27_fun
KM3,EFA3,10,8,6,60,75,50,det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_17_adherence; det_23_support; det_32_own_significance
KM3,EFA4,10,8,1,10,12.5,5.882352941176471,det_01_profits
KM3,EFA5,10,8,1,10,12.5,5.882352941176471,det_17_adherence
KM3,EFA6,10,8,3,30,37.5,20,det_01_profits; det_02_credit_score; det_04_added_value
KM4,EFA1,15,8,7,46.666666666666664,87.5,43.75,det_01_profits; det_02_credit_score; det_05_frugality; det_25_agreement; det_26_novelty; det_27_fun; det_32_own_significance
KM4,EFA2,15,8,8,53.333333333333336,100,53.333333333333336,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
KM4,EFA3,15,8,3,20,37.5,15,det_07_legal; det_23_support; det_32_own_significance
KM4,EFA4,15,8,2,13.333333333333334,25,9.523809523809524,det_01_profits; det_05_frugality
KM4,EFA5,15,8,0,0,0,0,
KM4,EFA6,15,8,3,20,37.5,15,det_01_profits; det_02_credit_score; det_07_legal
KM5,EFA1,8,8,0,0,0,0,
KM5,EFA2,8,8,0,0,0,0,
KM5,EFA3,8,8,1,12.5,12.5,6.666666666666667,det_07_legal
KM5,EFA4,8,8,6,75,75,60,det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_13_technical_fit; det_19_wellbeing; det_20_coziness
KM5,EFA5,8,8,2,25,25,14.285714285714286,det_10_cost_efficiency; det_13_technical_fit
KM5,EFA6,8,8,5,62.5,62.5,45.45454545454545,det_03_risk_profile; det_07_legal; det_09_safety; det_20_coziness; det_21_rights_and_duties
KM6,EFA1,15,8,5,33.333333333333336,62.5,27.77777777777778,det_01_profits; det_02_credit_score; det_05_frugality; det_18_autonomy; det_25_agreement
KM6,EFA2,15,8,0,0,0,0,
KM6,EFA3,15,8,1,6.666666666666667,12.5,4.545454545454546,det_07_legal
KM6,EFA4,15,8,8,53.333333333333336,100,53.333333333333336,det_01_profits; det_03_risk_profile; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_13_technical_fit; det_19_wellbeing; det_20_coziness
KM6,EFA5,15,8,5,33.333333333333336,62.5,27.77777777777778,det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_18_autonomy
KM6,EFA6,15,8,7,46.666666666666664,87.5,43.75,det_01_profits; det_02_credit_score; det_03_risk_profile; det_07_legal; det_09_safety; det_20_coziness; det_21_rights_and_duties
