left_id,right_id,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
KM1,EFA1,12,8,7,58.333333333333336,87.5,53.84615384615385,det_09_safety; det_11_knowledge; det_12_own_competence; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness
KM1,EFA2,12,8,0,0,0,0,
KM1,EFA3,12,8,6,50,75,42.857142857142854,det_07_legal; det_08_trust; det_11_knowledge; det_12_own_competence; det_15_self_satisfaction; det_18_autonomy
KM1,EFA4,12,8,5,41.666666666666664,62.5,33.333333333333336,det_09_safety; det_12_own_competence; det_15_self_satisfaction; det_16_commitment; det_17_adherence
KM1,EFA5,12,8,2,16.666666666666668,25,11.11111111111111,det_20_coziness; det_23_support
KM1,EFA6,12,8,3,25,37.5,17.647058823529413,det_12_own_competence; det_18_autonomy; det_23_support
KM2,EFA1,8,8,1,12.5,12.5,6.666666666666667,det_09_safety
KM2,EFA2,8,8,0,0,0,0,
KM2,EFA3,8,8,1,12.5,12.5,6.666666666666667,det_07_legal
KM2,EFA4,8,8,4,50,50,33.333333333333336,det_03_risk_profile; det_05_frugality; det_09_safety; det_17_adherence
KM2,EFA5,8,8,2,25,25,14.285714285714286,det_05_frugality; det_23_support
KM2,EFA6,8,8,4,50,50,33.333333333333336,det_02_credit_score; det_03_risk_profile; det_21_rights_and_duties; det_23_support
KM3,EFA1,8,8,2,25,25,14.285714285714286,det_15_self_satisfaction; det_32_own_significance
KM3,EFA2,8,8,1,12.5,12.5,6.666666666666667,det_24_socialising
KM3,EFA3,8,8,4,50,50,33.333333333333336,det_07_legal; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction
KM3,EFA4,8,8,1,12.5,12.5,6.666666666666667,det_15_self_satisfaction
KM3,EFA5,8,8,3,37.5,37.5,23.076923076923077,det_04_added_value; det_14_environmental_concerns; det_32_own_significance
KM3,EFA6,8,8,0,0,0,0,
KM4,EFA1,9,8,1,11.11111111111111,12.5,6.25,det_32_own_significance
KM4,EFA2,9,8,3,33.333333333333336,37.5,21.428571428571427,det_22_peer_pressure; det_25_agreement; det_29_trends
KM4,EFA3,9,8,0,0,0,0,
KM4,EFA4,9,8,0,0,0,0,
KM4,EFA5,9,8,5,55.55555555555556,62.5,41.666666666666664,det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_23_support; det_32_own_significance
KM4,EFA6,9,8,4,44.44444444444444,50,30.76923076923077,det_21_rights_and_duties; det_23_support; det_25_agreement; det_29_trends
KM5,EFA1,8,8,2,25,25,14.285714285714286,det_09_safety; det_20_coziness
KM5,EFA2,8,8,0,0,0,0,
KM5,EFA3,8,8,0,0,0,0,
KM5,EFA4,8,8,4,50,50,33.333333333333336,det_05_frugality; det_09_safety; det_16_commitment; det_17_adherence
KM5,EFA5,8,8,5,62.5,62.5,45.45454545454545,det_04_added_value; det_05_frugality; det_06_climate_protection; det_14_environmental_concerns; det_20_coziness
KM5,EFA6,8,8,0,0,0,0,
KM6,EFA1,15,8,3,20,37.5,15,det_15_self_satisfaction; det_18_autonomy; det_32_own_significance
KM6,EFA2,15,8,4,26.666666666666668,50,21.05263157894737,det_24_socialising; det_25_agreement; det_29_trends; det_30_authority
KM6,EFA3,15,8,5,33.333333333333336,62.5,27.77777777777778,det_07_legal; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction; det_18_autonomy
KM6,EFA4,15,8,1,6.666666666666667,12.5,4.545454545454546,det_15_self_satisfaction
KM6,EFA5,15,8,6,40,75,35.294117647058826,det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_23_support; det_26_novelty; det_32_own_significance
KM6,EFA6,15,8,4,26.666666666666668,50,21.05263157894737,det_18_autonomy; det_23_support; det_25_agreement; det_29_trends
