consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_01_profits,88,0.88,0.3838567082753411
1,det_02_credit_score,85,0.85,0.3493299935056995
1,det_23_support,66,0.66,0.2537347480502193
1,det_10_cost_efficiency,66,0.66,0.2412118638005729
1,det_27_fun,62,0.62,0.24906897747427406
1,det_05_frugality,48,0.48,0.2111945067999747
1,det_03_risk_profile,43,0.43,0.19527146816987248
1,det_26_novelty,39,0.39,0.17629395210804769
2,det_21_rights_and_duties,82,0.82,0.4629564560969137
2,det_07_legal,77,0.77,0.40193524727593316
2,det_16_commitment,51,0.51,0.21987693081435805
2,det_12_own_competence,49,0.49,0.19071863261280111
2,det_25_agreement,48,0.48,0.18863917675688086
2,det_13_technical_fit,43,0.43,0.17769119293600408
2,det_04_added_value,42,0.42,0.1776860368179628
2,det_15_self_satisfaction,41,0.41,0.18683591091010324
3,det_31_approval,100,1,0.741329861245424
3,det_28_recognition,100,1,0.692153816549111
3,det_24_socialising,100,1,0.6742714858967814
3,det_30_authority,100,1,0.5862826602015783
3,det_22_peer_pressure,100,1,0.5023896178482304
3,det_29_trends,99,0.99,0.5466278524802932
3,det_27_fun,95,0.95,0.3345548222652301
3,det_26_novelty,71,0.71,0.24363922287292691
4,det_11_knowledge,73,0.73,0.3173669382343002
4,det_16_commitment,69,0.69,0.31208874475666737
4,det_18_autonomy,63,0.63,0.2637355826401805
4,det_17_adherence,49,0.49,0.22487713005848511
4,det_03_risk_profile,45,0.45,0.20691469900073683
4,det_26_novelty,40,0.4,0.17962101140564554
4,det_32_own_significance,37,0.37,0.17836356657071953
4,det_12_own_competence,36,0.36,0.1825953119024563
5,det_06_climate_protection,100,1,0.7805307636511482
5,det_14_environmental_concerns,100,1,0.6549271732184813
5,det_04_added_value,98,0.98,0.30142586571806507
5,det_32_own_significance,98,0.98,0.24372630277188378
5,det_23_support,97,0.97,0.25156275580060333
5,det_25_agreement,44,0.44,0.12995011762169545
5,det_21_rights_and_duties,38,0.38,0.1218239276920196
5,det_13_technical_fit,38,0.38,0.11857429030218898
6,det_09_safety,95,0.95,0.5245533421023877
6,det_19_wellbeing,87,0.87,0.4653290793034155
6,det_20_coziness,82,0.82,0.3939282371078618
6,det_17_adherence,78,0.78,0.37228856055236026
6,det_10_cost_efficiency,75,0.75,0.34814634250681004
6,det_03_risk_profile,74,0.74,0.3595855874054953
6,det_08_trust,54,0.54,0.2871334182846774
6,det_15_self_satisfaction,44,0.44,0.28720569224369014
