left_id,right_id,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
KM1,EFA1,8,8,1,12.5,12.5,6.666666666666667,det_10_cost_efficiency
KM1,EFA2,8,8,0,0,0,0,
KM1,EFA3,8,8,6,75,75,60,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
KM1,EFA4,8,8,1,12.5,12.5,6.666666666666667,det_11_knowledge
KM1,EFA5,8,8,0,0,0,0,
KM1,EFA6,8,8,1,12.5,12.5,6.666666666666667,det_10_cost_efficiency
KM2,EFA1,13,8,3,23.076923076923077,37.5,16.666666666666668,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency
KM2,EFA2,13,8,4,30.76923076923077,50,23.529411764705884,det_07_legal; det_13_technical_fit; det_15_self_satisfaction; det_21_rights_and_duties
KM2,EFA3,13,8,0,0,0,0,
KM2,EFA4,13,8,3,23.076923076923077,37.5,16.666666666666668,det_03_risk_profile; det_11_knowledge; det_17_adherence
KM2,EFA5,13,8,2,15.384615384615385,25,10.526315789473685,det_13_technical_fit; det_21_rights_and_duties
KM2,EFA6,13,8,8,61.53846153846154,100,61.53846153846154,det_03_risk_profile; det_08_trust; det_09_safety; det_10_cost_efficiency; det_15_self_satisfaction; det_17_adherence; det_19_wellbeing; det_20_coziness
KM3,EFA1,15,8,3,20,37.5,15,det_02_credit_score; det_10_cost_efficiency; det_27_fun
KM3,EFA2,15,8,3,20,37.5,15,det_07_legal; det_13_technical_fit; det_25_agreement
KM3,EFA3,15,8,7,46.666666666666664,87.5,43.75,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
KM3,EFA4,15,8,1,6.666666666666667,12.5,4.545454545454546,det_11_knowledge
KM3,EFA5,15,8,2,13.333333333333334,25,9.523809523809524,det_13_technical_fit; det_25_agreement
KM3,EFA6,15,8,3,20,37.5,15,det_08_trust; det_10_cost_efficiency; det_19_wellbeing
KM4,EFA1,8,8,1,12.5,12.5,6.666666666666667,det_10_cost_efficiency
KM4,EFA2,8,8,1,12.5,12.5,6.666666666666667,det_07_legal
KM4,EFA3,8,8,0,0,0,0,
KM4,EFA4,8,8,2,25,25,14.285714285714286,det_11_knowledge; det_17_adherence
KM4,EFA5,8,8,1,12.5,12.5,6.666666666666667,det_14_environmental_concerns
KM4,EFA6,8,8,5,62.5,62.5,45.45454545454545,det_08_trust; det_09_safety; det_10_cost_efficiency; det_17_adherence; det_19_wellbeing
KM5,EFA1,12,8,1,8.333333333333334,12.5,5.2631578947368425,det_10_cost_efficiency
KM5,EFA2,12,8,4,33.333333333333336,50,25,det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_25_agreement
KM5,EFA3,12,8,4,33.333333333333336,50,25,det_24_socialising; det_28_recognition; det_30_authority; det_31_approval
KM5,EFA4,12,8,2,16.666666666666668,25,11.11111111111111,det_11_knowledge; det_16_commitment
KM5,EFA5,12,8,2,16.666666666666668,25,11.11111111111111,det_13_technical_fit; det_25_agreement
KM5,EFA6,12,8,4,33.333333333333336,50,25,det_08_trust; det_10_cost_efficiency; det_15_self_satisfaction; det_19_wellbeing
KM6,EFA1,8,8,0,0,0,0,
KM6,EFA2,8,8,2,25,25,14.285714285714286,det_07_legal; det_13_technical_fit
KM6,EFA3,8,8,2,25,25,14.285714285714286,det_28_recognition; det_31_approval
KM6,EFA4,8,8,1,12.5,12.5,6.666666666666667,det_11_knowledge
KM6,EFA5,8,8,3,37.5,37.5,23.076923076923077,det_06_climate_protection; det_13_technical_fit; det_14_environmental_concerns
KM6,EFA6,8,8,1,12.5,12.5,6.666666666666667,det_08_trust
