consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_21_rights_and_duties,61,0.61,0.29159327501768634
1,det_07_legal,59,0.59,0.30551166643640887
1,det_32_own_significance,49,0.49,0.2384788059464999
1,det_23_support,45,0.45,0.2001792495809952
1,det_27_fun,42,0.42,0.2138180438217113
1,det_26_novelty,41,0.41,0.1869346862099316
1,det_06_climate_protection,40,0.4,0.2055030184469197
1,det_12_own_competence,33,0.33,0.16690932420065807
2,det_19_wellbeing,85,0.85,0.5039027231654862
2,det_20_coziness,80,0.8,0.49692465870192437
2,det_09_safety,75,0.75,0.3496473382649492
2,det_18_autonomy,48,0.48,0.23751461392569762
2,det_15_self_satisfaction,43,0.43,0.2125417744370443
2,det_16_commitment,42,0.42,0.21305143081390107
2,det_07_legal,37,0.37,0.18700175292031726
2,det_17_adherence,34,0.34,0.17522723948518573
3,det_31_approval,100,1,0.7196114088998693
3,det_24_socialising,100,1,0.6117915443308066
3,det_30_authority,100,1,0.5732524129721618
3,det_28_recognition,99,0.99,0.7312925334824684
3,det_29_trends,99,0.99,0.6015857566411619
3,det_27_fun,62,0.62,0.2913446434609582
3,det_22_peer_pressure,59,0.59,0.28033649005393513
3,det_26_novelty,39,0.39,0.23063992593194804
4,det_15_self_satisfaction,81,0.81,0.4372324711101389
4,det_10_cost_efficiency,76,0.76,0.40508794173842044
4,det_11_knowledge,68,0.68,0.3616243709206301
4,det_13_technical_fit,66,0.66,0.3578902750347912
4,det_17_adherence,66,0.66,0.35505548659531794
4,det_08_trust,65,0.65,0.3497779607748031
4,det_16_commitment,63,0.63,0.3850990588257691
4,det_03_risk_profile,62,0.62,0.3670197315693178
5,det_05_frugality,78,0.78,0.36672823508376995
5,det_01_profits,77,0.77,0.40897148245623405
5,det_04_added_value,66,0.66,0.3314904663193888
5,det_23_support,46,0.46,0.2383313158932433
5,det_02_credit_score,43,0.43,0.2000081916095756
5,det_10_cost_efficiency,38,0.38,0.17742943058628036
5,det_25_agreement,32,0.32,0.17764239816527752
5,det_32_own_significance,30,0.3,0.1533942989590572
6,det_14_environmental_concerns,69,0.69,0.3316672488139003
6,det_06_climate_protection,63,0.63,0.34916620034848117
6,det_22_peer_pressure,49,0.49,0.22396441042492232
6,det_23_support,48,0.48,0.2532745688181128
6,det_09_safety,39,0.39,0.16695319458977742
6,det_04_added_value,38,0.38,0.22393875714523961
6,det_26_novelty,34,0.34,0.15719658609782367
6,det_25_agreement,31,0.31,0.1794425034437084
