analysis_sample,matrix,h,p,comparison,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
COMPLETE,RAW,2,4,KM_vs_EFA_OVERLAP,KM1,EFA3,37.5,8,11,3,37.5,27.272727272727273,18.75,det_11_knowledge; det_28_recognition; det_31_approval
COMPLETE,RAW,2,4,KM_vs_EFA_OVERLAP,KM2,EFA1,77.77777777777777,9,8,7,77.77777777777777,87.5,70,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,RAW,2,4,KM_vs_EFA_OVERLAP,KM3,EFA4,33.333333333333336,15,8,5,33.333333333333336,62.5,27.77777777777778,det_09_safety; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,RAW,2,4,KM_vs_EFA_OVERLAP,KM4,EFA2,44.44444444444444,9,8,4,44.44444444444444,50,30.76923076923077,det_02_credit_score; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit
COMPLETE,RAW,2,4,KM_vs_EFA_JACCARD,KM1,EFA3,18.75,8,11,3,37.5,27.272727272727273,18.75,det_11_knowledge; det_28_recognition; det_31_approval
COMPLETE,RAW,2,4,KM_vs_EFA_JACCARD,KM2,EFA1,70,9,8,7,77.77777777777777,87.5,70,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,RAW,2,4,KM_vs_EFA_JACCARD,KM3,EFA4,27.77777777777778,15,8,5,33.333333333333336,62.5,27.77777777777778,det_09_safety; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,RAW,2,4,KM_vs_EFA_JACCARD,KM4,EFA2,30.76923076923077,9,8,4,44.44444444444444,50,30.76923076923077,det_02_credit_score; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit
COMPLETE,RAW,2,4,KM_vs_EXPERTS,KM1,Stubborn,37.5,8,3,3,37.5,100,37.5,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
COMPLETE,RAW,2,4,KM_vs_EXPERTS,KM2,Influencer,55.55555555555556,9,5,5,55.55555555555556,100,55.55555555555556,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
