analysis_sample,matrix,comparison,metric,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants,greater_than_50,greater_or_equal_50
COMPLETE,RAW,KM_vs_EFA,overlap_left_pct,KM4,EFA4,100,9,15,9,100,60,60,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_19_wellbeing,TRUE,TRUE
COMPLETE,RAW,KM_vs_EFA,overlap_left_pct,KM2,EFA1,77.77777777777777,9,8,7,77.77777777777777,87.5,70,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,TRUE,TRUE
COMPLETE,RAW,KM_vs_EFA,overlap_left_pct,KM1,EFA5,37.5,8,9,3,37.5,33.333333333333336,21.428571428571427,det_07_legal; det_11_knowledge; det_17_adherence,FALSE,FALSE
COMPLETE,RAW,KM_vs_EFA,overlap_left_pct,KM3,EFA3,33.333333333333336,15,8,5,33.333333333333336,62.5,27.77777777777778,det_09_safety; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness,FALSE,FALSE
COMPLETE,RAW,KM_vs_EFA,overlap_left_pct,KM5,EFA2,33.333333333333336,12,8,4,33.333333333333336,50,25,det_01_profits; det_02_credit_score; det_10_cost_efficiency; det_13_technical_fit,FALSE,FALSE
COMPLETE,RAW,KM_vs_EFA,overlap_left_pct,KM6,EFA6,30.76923076923077,13,12,4,30.76923076923077,33.333333333333336,19.047619047619047,det_08_trust; det_14_environmental_concerns; det_16_commitment; det_17_adherence,FALSE,FALSE
COMPLETE,RAW,KM_vs_EXPERTS,jaccard_pct,KM2,Influencer,55.55555555555556,9,5,5,55.55555555555556,100,55.55555555555556,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,TRUE,TRUE
COMPLETE,RAW,KM_vs_EXPERTS,jaccard_pct,KM3,Homo.Economicus,50,15,9,8,53.333333333333336,88.88888888888889,50,det_01_profits; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction,FALSE,TRUE
COMPLETE,RAW,KM_vs_EXPERTS,jaccard_pct,KM4,Careful,50,9,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing,FALSE,TRUE
COMPLETE,RAW,KM_vs_EXPERTS,jaccard_pct,KM6,Activist,46.15384615384615,13,6,6,46.15384615384615,100,46.15384615384615,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence,FALSE,FALSE
COMPLETE,RAW,KM_vs_EXPERTS,jaccard_pct,KM1,Stubborn,37.5,8,3,3,37.5,100,37.5,det_11_knowledge; det_15_self_satisfaction; det_17_adherence,FALSE,FALSE
COMPLETE,RAW,KM_vs_EXPERTS,jaccard_pct,KM5,Fearful,23.529411764705884,12,9,4,33.333333333333336,44.44444444444444,23.529411764705884,det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit,FALSE,FALSE
COMPLETE,RAW,EFA_vs_EXPERTS,jaccard_pct,EFA4,Careful,50,15,12,9,60,75,50,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing,FALSE,TRUE
COMPLETE,RAW,EFA_vs_EXPERTS,jaccard_pct,EFA1,Influencer,44.44444444444444,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,FALSE,FALSE
COMPLETE,RAW,EFA_vs_EXPERTS,jaccard_pct,EFA5,Fearful,38.46153846153846,9,9,5,55.55555555555556,55.55555555555556,38.46153846153846,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_11_knowledge,FALSE,FALSE
COMPLETE,RAW,EFA_vs_EXPERTS,jaccard_pct,EFA6,Activist,28.571428571428573,12,6,4,33.333333333333336,66.66666666666667,28.571428571428573,det_08_trust; det_14_environmental_concerns; det_16_commitment; det_17_adherence,FALSE,FALSE
COMPLETE,RAW,EFA_vs_EXPERTS,jaccard_pct,EFA2,Homo.Economicus,21.428571428571427,8,9,3,37.5,33.333333333333336,21.428571428571427,det_01_profits; det_10_cost_efficiency; det_13_technical_fit,FALSE,FALSE
COMPLETE,RAW,EFA_vs_EXPERTS,jaccard_pct,EFA3,Uninterested,16.666666666666668,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness,FALSE,FALSE
COMPLETE,POS,KM_vs_EFA,overlap_left_pct,KM2,EFA3,81.81818181818181,11,14,9,81.81818181818181,64.28571428571429,56.25,det_06_climate_protection; det_07_legal; det_08_trust; det_11_knowledge; det_13_technical_fit; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_21_rights_and_duties,TRUE,TRUE
COMPLETE,POS,KM_vs_EFA,overlap_left_pct,KM3,EFA2,73.33333333333333,15,11,11,73.33333333333333,100,73.33333333333333,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_18_autonomy,TRUE,TRUE
COMPLETE,POS,KM_vs_EFA,overlap_left_pct,KM4,EFA6,71.42857142857143,14,11,10,71.42857142857143,90.9090909090909,66.66666666666667,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_16_commitment; det_17_adherence; det_21_rights_and_duties,TRUE,TRUE
COMPLETE,POS,KM_vs_EFA,overlap_left_pct,KM6,EFA4,50,8,8,4,50,50,33.333333333333336,det_15_self_satisfaction; det_16_commitment; det_19_wellbeing; det_32_own_significance,FALSE,TRUE
COMPLETE,POS,KM_vs_EFA,overlap_left_pct,KM1,EFA5,37.5,8,15,3,37.5,20,15,det_01_profits; det_11_knowledge; det_13_technical_fit,FALSE,FALSE
COMPLETE,POS,KM_vs_EFA,overlap_left_pct,KM5,EFA1,0,15,8,0,0,0,0,NA,FALSE,FALSE
COMPLETE,POS,KM_vs_EXPERTS,jaccard_pct,KM5,Careful,68.75,15,12,11,73.33333333333333,91.66666666666669,68.75,det_02_credit_score; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing,TRUE,TRUE
COMPLETE,POS,KM_vs_EXPERTS,jaccard_pct,KM4,Fearful,64.28571428571429,14,9,9,64.28571428571429,100,64.28571428571429,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing,TRUE,TRUE
COMPLETE,POS,KM_vs_EXPERTS,jaccard_pct,KM2,Activist,54.54545454545455,11,6,6,54.54545454545455,100,54.54545454545455,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence,TRUE,TRUE
COMPLETE,POS,KM_vs_EXPERTS,jaccard_pct,KM1,Homo.Economicus,41.666666666666664,8,9,5,62.5,55.55555555555556,41.666666666666664,det_01_profits; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction,FALSE,FALSE
COMPLETE,POS,KM_vs_EXPERTS,jaccard_pct,KM6,Early.Adopter,40,8,6,4,50,66.66666666666667,40,det_11_knowledge; det_14_environmental_concerns; det_15_self_satisfaction; det_17_adherence,FALSE,FALSE
COMPLETE,POS,KM_vs_EXPERTS,jaccard_pct,KM3,Stubborn,20,15,3,3,20,100,20,det_11_knowledge; det_15_self_satisfaction; det_17_adherence,FALSE,FALSE
COMPLETE,POS,EFA_vs_EXPERTS,jaccard_pct,EFA1,Influencer,44.44444444444444,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,FALSE,FALSE
COMPLETE,POS,EFA_vs_EXPERTS,jaccard_pct,EFA6,Fearful,42.857142857142854,11,9,6,54.54545454545455,66.66666666666667,42.857142857142854,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_11_knowledge; det_13_technical_fit,FALSE,FALSE
COMPLETE,POS,EFA_vs_EXPERTS,jaccard_pct,EFA2,Careful,35.294117647058826,11,12,6,54.54545454545455,50,35.294117647058826,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence,FALSE,FALSE
COMPLETE,POS,EFA_vs_EXPERTS,jaccard_pct,EFA3,Activist,33.333333333333336,14,6,5,35.714285714285715,83.33333333333333,33.333333333333336,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_16_commitment; det_17_adherence,FALSE,FALSE
COMPLETE,POS,EFA_vs_EXPERTS,jaccard_pct,EFA5,Homo.Economicus,20,15,9,4,26.666666666666668,44.44444444444444,20,det_01_profits; det_04_added_value; det_11_knowledge; det_13_technical_fit,FALSE,FALSE
COMPLETE,POS,EFA_vs_EXPERTS,jaccard_pct,EFA4,Uninterested,16.666666666666668,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness,FALSE,FALSE
COMPLETE,EXT,KM_vs_EFA,overlap_left_pct,KM5,EFA4,77.77777777777777,9,15,7,77.77777777777777,46.666666666666664,41.1764705882353,det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_24_socialising; det_28_recognition; det_30_authority; det_31_approval,TRUE,TRUE
COMPLETE,EXT,KM_vs_EFA,overlap_left_pct,KM3,EFA3,75,8,11,6,75,54.54545454545455,46.15384615384615,det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_15_self_satisfaction; det_16_commitment; det_17_adherence,TRUE,TRUE
COMPLETE,EXT,KM_vs_EFA,overlap_left_pct,KM2,EFA5,73.33333333333333,15,14,11,73.33333333333333,78.57142857142857,61.111111111111114,det_01_profits; det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_19_wellbeing,TRUE,TRUE
COMPLETE,EXT,KM_vs_EFA,overlap_left_pct,KM1,EFA1,70,10,8,7,70,87.5,63.63636363636363,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,TRUE,TRUE
COMPLETE,EXT,KM_vs_EFA,overlap_left_pct,KM4,EFA6,33.333333333333336,12,8,4,33.333333333333336,50,25,det_02_credit_score; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction,FALSE,FALSE
COMPLETE,EXT,KM_vs_EFA,overlap_left_pct,KM6,EFA2,11.11111111111111,9,8,1,11.11111111111111,12.5,6.25,det_14_environmental_concerns,FALSE,FALSE
COMPLETE,EXT,KM_vs_EXPERTS,jaccard_pct,KM2,Fearful,60,15,9,9,60,100,60,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing,TRUE,TRUE
COMPLETE,EXT,KM_vs_EXPERTS,jaccard_pct,KM1,Influencer,50,10,5,5,50,100,50,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,FALSE,TRUE
COMPLETE,EXT,KM_vs_EXPERTS,jaccard_pct,KM6,Careful,50,9,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_14_environmental_concerns; det_17_adherence; det_19_wellbeing,FALSE,TRUE
COMPLETE,EXT,KM_vs_EXPERTS,jaccard_pct,KM3,Activist,40,8,6,4,50,66.66666666666667,40,det_08_trust; det_15_self_satisfaction; det_16_commitment; det_17_adherence,FALSE,FALSE
COMPLETE,EXT,KM_vs_EXPERTS,jaccard_pct,KM4,Homo.Economicus,40,12,9,6,50,66.66666666666667,40,det_07_legal; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction,FALSE,FALSE
COMPLETE,EXT,KM_vs_EXPERTS,jaccard_pct,KM5,Stubborn,20,9,3,2,22.22222222222222,66.66666666666667,20,det_11_knowledge; det_15_self_satisfaction,FALSE,FALSE
COMPLETE,EXT,EFA_vs_EXPERTS,jaccard_pct,EFA1,Influencer,44.44444444444444,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,FALSE,FALSE
COMPLETE,EXT,EFA_vs_EXPERTS,jaccard_pct,EFA5,Careful,44.44444444444444,14,12,8,57.142857142857146,66.66666666666667,44.44444444444444,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing,FALSE,FALSE
COMPLETE,EXT,EFA_vs_EXPERTS,jaccard_pct,EFA3,Activist,41.666666666666664,11,6,5,45.45454545454545,83.33333333333333,41.666666666666664,det_08_trust; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence,FALSE,FALSE
COMPLETE,EXT,EFA_vs_EXPERTS,jaccard_pct,EFA6,Homo.Economicus,30.76923076923077,8,9,4,50,44.44444444444444,30.76923076923077,det_01_profits; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction,FALSE,FALSE
COMPLETE,EXT,EFA_vs_EXPERTS,jaccard_pct,EFA4,Fearful,26.31578947368421,15,9,5,33.333333333333336,55.55555555555556,26.31578947368421,det_02_credit_score; det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit,FALSE,FALSE
COMPLETE,EXT,EFA_vs_EXPERTS,jaccard_pct,EFA2,Early.Adopter,7.6923076923076925,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_14_environmental_concerns,FALSE,FALSE
COMPLETE,Z_ABS,KM_vs_EFA,overlap_left_pct,KM1,EFA1,100,8,10,8,100,80,80,det_22_peer_pressure; det_24_socialising; det_25_agreement; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,TRUE,TRUE
COMPLETE,Z_ABS,KM_vs_EFA,overlap_left_pct,KM5,EFA5,75,8,8,6,75,75,60,det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_23_support; det_27_fun; det_32_own_significance,TRUE,TRUE
COMPLETE,Z_ABS,KM_vs_EFA,overlap_left_pct,KM6,EFA2,53.333333333333336,15,8,8,53.333333333333336,100,53.333333333333336,det_08_trust; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy,TRUE,TRUE
COMPLETE,Z_ABS,KM_vs_EFA,overlap_left_pct,KM2,EFA6,50,8,8,4,50,50,33.333333333333336,det_02_credit_score; det_22_peer_pressure; det_25_agreement; det_29_trends,FALSE,TRUE
COMPLETE,Z_ABS,KM_vs_EFA,overlap_left_pct,KM3,EFA3,40,15,15,6,40,40,25,det_01_profits; det_02_credit_score; det_05_frugality; det_11_knowledge; det_21_rights_and_duties; det_25_agreement,FALSE,FALSE
COMPLETE,Z_ABS,KM_vs_EFA,overlap_left_pct,KM4,EFA4,20,15,8,3,20,37.5,15,det_07_legal; det_26_novelty; det_32_own_significance,FALSE,FALSE
COMPLETE,Z_ABS,KM_vs_EXPERTS,jaccard_pct,KM6,Fearful,50,15,9,8,53.333333333333336,88.88888888888889,50,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_11_knowledge; det_13_technical_fit; det_19_wellbeing,FALSE,TRUE
