bootstrap_id,variable,category,n,total_n,prop
1,self_classification_archetype_model,Activist,71,610,0.11639344262295082
1,self_classification_archetype_model,Careful,165,610,0.27049180327868855
1,self_classification_archetype_model,Early adopter,2,610,0.003278688524590164
1,self_classification_archetype_model,Fearful,110,610,0.18032786885245902
1,self_classification_archetype_model,Homo economicus,164,610,0.26885245901639343
1,self_classification_archetype_model,Influencer,29,610,0.047540983606557376
1,self_classification_archetype_model,None,15,610,0.02459016393442623
1,self_classification_archetype_model,Stubborn,42,610,0.06885245901639345
1,self_classification_archetype_model,Uninterested,12,610,0.019672131147540985
2,self_classification_archetype_model,Activist,63,617,0.10210696920583469
2,self_classification_archetype_model,Careful,191,617,0.3095623987034036
2,self_classification_archetype_model,Early adopter,9,617,0.014586709886547812
2,self_classification_archetype_model,Fearful,93,617,0.1507293354943274
2,self_classification_archetype_model,Homo economicus,165,617,0.26742301458670986
2,self_classification_archetype_model,Influencer,19,617,0.03079416531604538
2,self_classification_archetype_model,None,22,617,0.03565640194489465
2,self_classification_archetype_model,Stubborn,38,617,0.06158833063209076
2,self_classification_archetype_model,Uninterested,17,617,0.027552674230145867
3,self_classification_archetype_model,Activist,61,633,0.09636650868878358
3,self_classification_archetype_model,Careful,200,633,0.315955766192733
3,self_classification_archetype_model,Early adopter,8,633,0.01263823064770932
3,self_classification_archetype_model,Fearful,92,633,0.14533965244865718
3,self_classification_archetype_model,Homo economicus,182,633,0.28751974723538704
3,self_classification_archetype_model,Influencer,17,633,0.026856240126382307
3,self_classification_archetype_model,None,9,633,0.014218009478672985
3,self_classification_archetype_model,Stubborn,50,633,0.07898894154818326
3,self_classification_archetype_model,Uninterested,14,633,0.022116903633491312
4,self_classification_archetype_model,Activist,76,616,0.12337662337662338
4,self_classification_archetype_model,Careful,183,616,0.29707792207792205
4,self_classification_archetype_model,Early adopter,6,616,0.00974025974025974
4,self_classification_archetype_model,Fearful,95,616,0.15422077922077923
4,self_classification_archetype_model,Homo economicus,171,616,0.2775974025974026
4,self_classification_archetype_model,Influencer,25,616,0.040584415584415584
4,self_classification_archetype_model,None,10,616,0.016233766233766232
4,self_classification_archetype_model,Stubborn,35,616,0.056818181818181816
4,self_classification_archetype_model,Uninterested,15,616,0.024350649350649352
5,self_classification_archetype_model,Activist,82,610,0.13442622950819672
5,self_classification_archetype_model,Careful,178,610,0.29180327868852457
5,self_classification_archetype_model,Early adopter,8,610,0.013114754098360656
5,self_classification_archetype_model,Fearful,99,610,0.16229508196721312
5,self_classification_archetype_model,Homo economicus,161,610,0.2639344262295082
5,self_classification_archetype_model,Influencer,19,610,0.03114754098360656
5,self_classification_archetype_model,None,15,610,0.02459016393442623
5,self_classification_archetype_model,Stubborn,35,610,0.05737704918032787
5,self_classification_archetype_model,Uninterested,13,610,0.021311475409836064
6,self_classification_archetype_model,Activist,72,623,0.11556982343499198
6,self_classification_archetype_model,Careful,179,623,0.28731942215088285
