bootstrap_id,variable,category,n,total_n,prop
1,dataset_source,diego,239,1000,0.239
1,dataset_source,rv,626,1000,0.626
1,dataset_source,why,135,1000,0.135
2,dataset_source,diego,226,1000,0.226
2,dataset_source,rv,634,1000,0.634
2,dataset_source,why,140,1000,0.14
3,dataset_source,diego,221,1000,0.221
3,dataset_source,rv,651,1000,0.651
3,dataset_source,why,128,1000,0.128
4,dataset_source,diego,211,1000,0.211
4,dataset_source,rv,636,1000,0.636
4,dataset_source,why,153,1000,0.153
5,dataset_source,diego,240,1000,0.24
5,dataset_source,rv,626,1000,0.626
5,dataset_source,why,134,1000,0.134
6,dataset_source,diego,232,1000,0.232
6,dataset_source,rv,635,1000,0.635
6,dataset_source,why,133,1000,0.133
7,dataset_source,diego,231,1000,0.231
7,dataset_source,rv,629,1000,0.629
7,dataset_source,why,140,1000,0.14
8,dataset_source,diego,239,1000,0.239
8,dataset_source,rv,632,1000,0.632
8,dataset_source,why,129,1000,0.129
9,dataset_source,diego,221,1000,0.221
9,dataset_source,rv,641,1000,0.641
9,dataset_source,why,138,1000,0.138
10,dataset_source,diego,216,1000,0.216
10,dataset_source,rv,659,1000,0.659
10,dataset_source,why,125,1000,0.125
11,dataset_source,diego,232,1000,0.232
11,dataset_source,rv,629,1000,0.629
11,dataset_source,why,139,1000,0.139
12,dataset_source,diego,223,1000,0.223
12,dataset_source,rv,639,1000,0.639
12,dataset_source,why,138,1000,0.138
13,dataset_source,diego,243,1000,0.243
13,dataset_source,rv,618,1000,0.618
13,dataset_source,why,139,1000,0.139
14,dataset_source,diego,218,1000,0.218
14,dataset_source,rv,638,1000,0.638
14,dataset_source,why,144,1000,0.144
15,dataset_source,diego,250,1000,0.25
15,dataset_source,rv,632,1000,0.632
15,dataset_source,why,118,1000,0.118
16,dataset_source,diego,238,1000,0.238
16,dataset_source,rv,609,1000,0.609
16,dataset_source,why,153,1000,0.153
17,dataset_source,diego,241,1000,0.241
17,dataset_source,rv,638,1000,0.638
17,dataset_source,why,121,1000,0.121
18,dataset_source,diego,229,1000,0.229
18,dataset_source,rv,632,1000,0.632
18,dataset_source,why,139,1000,0.139
19,dataset_source,diego,226,1000,0.226
19,dataset_source,rv,637,1000,0.637
19,dataset_source,why,137,1000,0.137
20,dataset_source,diego,229,1000,0.229
20,dataset_source,rv,628,1000,0.628
20,dataset_source,why,143,1000,0.143
21,dataset_source,diego,243,1000,0.243
21,dataset_source,rv,629,1000,0.629
21,dataset_source,why,128,1000,0.128
22,dataset_source,diego,224,1000,0.224
22,dataset_source,rv,632,1000,0.632
22,dataset_source,why,144,1000,0.144
23,dataset_source,diego,240,1000,0.24
23,dataset_source,rv,626,1000,0.626
23,dataset_source,why,134,1000,0.134
24,dataset_source,diego,219,1000,0.219
24,dataset_source,rv,653,1000,0.653
24,dataset_source,why,128,1000,0.128
25,dataset_source,diego,254,1000,0.254
25,dataset_source,rv,637,1000,0.637
25,dataset_source,why,109,1000,0.109
26,dataset_source,diego,214,1000,0.214
26,dataset_source,rv,640,1000,0.64
26,dataset_source,why,146,1000,0.146
27,dataset_source,diego,233,1000,0.233
27,dataset_source,rv,626,1000,0.626
27,dataset_source,why,141,1000,0.141
28,dataset_source,diego,236,1000,0.236
28,dataset_source,rv,618,1000,0.618
28,dataset_source,why,146,1000,0.146
29,dataset_source,diego,230,1000,0.23
29,dataset_source,rv,630,1000,0.63
29,dataset_source,why,140,1000,0.14
30,dataset_source,diego,240,1000,0.24
30,dataset_source,rv,631,1000,0.631
30,dataset_source,why,129,1000,0.129
31,dataset_source,diego,213,1000,0.213
31,dataset_source,rv,656,1000,0.656
31,dataset_source,why,131,1000,0.131
32,dataset_source,diego,231,1000,0.231
32,dataset_source,rv,620,1000,0.62
32,dataset_source,why,149,1000,0.149
33,dataset_source,diego,224,1000,0.224
33,dataset_source,rv,632,1000,0.632
33,dataset_source,why,144,1000,0.144
34,dataset_source,diego,222,1000,0.222
34,dataset_source,rv,636,1000,0.636
34,dataset_source,why,142,1000,0.142
35,dataset_source,diego,230,1000,0.23
