"","Early Adopter","Uninterested","Homo Economicus","Fearful","Stubborn","Influencer","Careful"
"pattern_1",7,7,11,13,9,9,14
"pattern_2",18,14,10,8,12,18,9
"pattern_3",20,10,12,6,10,20,7
"pattern_4",11,13,15,15,11,13,14
"pattern_5",20,12,12,8,16,22,9
"pattern_6",9,7,11,15,9,11,14
"pattern_7",9,13,15,17,13,9,18
"pattern_8",6,14,16,16,14,10,17
"pattern_9",18,14,12,8,14,20,7
"pattern_10",9,9,9,11,7,11,10
"pattern_11",18,12,10,6,8,18,7
"pattern_12",16,14,14,10,10,16,7
"pattern_13",11,15,19,21,13,9,20
"pattern_14",9,11,15,15,11,9,16
"pattern_15",8,14,14,16,14,12,17
"pattern_16",10,12,14,16,12,10,17
"pattern_17",14,16,18,18,10,16,15
"pattern_18",16,12,12,8,12,18,9
"pattern_19",9,9,11,13,9,13,12
"pattern_20",18,14,12,8,8,20,5
"pattern_21",18,14,10,6,12,16,11
"pattern_22",14,14,12,10,12,14,11
"pattern_23",10,12,12,14,10,14,15
"pattern_24",5,13,17,17,15,9,18
"pattern_25",16,14,12,10,12,14,11
"pattern_26",18,14,16,12,16,18,13
"pattern_27",17,11,11,7,11,17,4
"pattern_28",18,10,12,6,10,18,7
"pattern_29",8,12,16,16,12,8,17
"pattern_30",12,14,16,14,10,14,13
"pattern_31",11,15,13,13,13,13,14
"pattern_32",10,8,12,14,8,12,13
"pattern_33",20,10,14,8,14,20,11
"pattern_34",10,6,10,12,12,14,11
"pattern_35",17,13,11,7,9,19,4
"pattern_36",16,14,10,8,10,18,9
"pattern_37",13,13,17,19,11,9,16
"pattern_38",14,16,12,14,12,12,15
"pattern_39",14,16,12,10,12,14,11
"pattern_40",11,11,11,11,7,13,10
"pattern_41",18,12,10,6,10,16,7
"pattern_42",18,16,10,8,12,16,7
"pattern_43",9,13,17,17,13,7,16
"pattern_44",11,15,17,19,13,11,16
"pattern_45",18,14,12,8,10,18,5
"pattern_46",13,11,11,11,11,15,10
"pattern_47",22,10,14,10,14,20,11
"pattern_48",11,11,13,13,9,15,12
"pattern_49",7,15,15,17,15,11,18
"pattern_50",20,12,10,8,10,20,7
"pattern_51",18,14,12,8,6,18,9
"pattern_52",10,14,16,18,14,8,17
"pattern_53",16,14,12,10,12,16,9
"pattern_54",11,9,9,9,9,13,10
"pattern_55",18,12,12,8,16,22,11
"pattern_56",10,10,8,10,8,12,11
"pattern_57",8,10,12,12,10,12,13
"pattern_58",12,16,12,12,14,14,15
"pattern_59",18,10,10,4,10,18,5
"pattern_60",16,16,14,14,8,16,13
"pattern_61",12,12,14,14,10,12,13
"pattern_62",11,11,11,9,9,15,10
"pattern_63",20,10,12,8,10,18,9
"pattern_64",20,10,12,8,12,20,9
"pattern_65",13,15,17,19,13,11,18
"pattern_66",7,13,17,17,13,9,18
"pattern_67",8,8,10,14,10,12,13
"pattern_68",20,12,12,8,12,20,9
"pattern_69",6,12,18,18,14,10,17
"pattern_70",18,12,10,6,10,20,5
"pattern_71",8,8,10,14,8,10,13
"pattern_72",14,16,12,14,16,12,13
"pattern_73",8,10,10,12,10,12,13
"pattern_74",18,12,10,8,10,20,7
"pattern_75",9,11,15,15,11,9,16
"pattern_76",12,14,16,16,8,18,15
"pattern_77",16,12,10,6,14,20,9
"pattern_78",10,8,12,12,10,14,11
"pattern_79",6,12,16,16,14,8,17
"pattern_80",11,13,17,19,13,9,16
"pattern_81",14,14,14,12,16,14,15
"pattern_82",8,8,12,12,8,10,13
"pattern_83",18,14,12,8,10,20,5
"pattern_84",18,12,10,6,8,20,5
"pattern_85",14,14,8,8,10,14,9
"pattern_86",16,10,8,6,10,18,5
"pattern_87",18,14,12,10,12,18,11
"pattern_88",10,12,16,16,12,8,15
"pattern_89",16,16,12,10,10,16,9
"pattern_90",10,10,12,14,10,10,15
"pattern_91",10,14,18,20,14,10,17
"pattern_92",18,14,14,10,16,22,9
"pattern_93",14,10,8,8,10,16,5
"pattern_94",11,11,13,15,9,15,14
"pattern_95",8,12,14,14,12,10,15
"pattern_96",18,12,10,6,12,20,9
"pattern_97",15,11,11,9,9,17,6
"pattern_98",11,13,15,15,15,13,16
"pattern_99",16,12,10,6,14,20,11
"pattern_100",8,8,12,12,8,12,11
"pattern_101",12,14,16,18,14,10,17
"pattern_102",12,16,12,12,14,14,13
"pattern_103",17,13,13,9,9,19,6
"pattern_104",18,14,12,8,10,16,11
"pattern_105",7,13,15,15,13,9,16
"pattern_106",20,12,10,6,14,22,7
"pattern_107",18,12,12,8,10,20,9
"pattern_108",12,14,14,14,12,12,11
"pattern_109",12,14,16,16,10,14,15
"pattern_110",11,13,15,17,13,11,18
"pattern_111",20,10,14,10,12,20,9
"pattern_112",7,9,9,13,9,11,12
"pattern_113",6,16,16,18,16,12,19
"pattern_114",9,9,11,13,9,13,12
"pattern_115",18,10,12,6,10,18,11
"pattern_116",18,10,12,8,10,18,7
"pattern_117",10,16,20,20,12,14,19
"pattern_118",20,10,12,10,14,20,13
"pattern_119",11,13,17,19,15,7,18
"pattern_120",8,10,14,14,10,10,15
"pattern_121",14,16,10,14,14,12,13
"pattern_122",9,7,11,13,11,13,12
"pattern_123",15,11,9,7,9,17,4
"pattern_124",10,12,14,16,12,12,15
"pattern_125",16,12,14,10,10,16,9
"pattern_126",13,13,15,13,15,13,16
"pattern_127",18,10,12,10,12,18,11
"pattern_128",12,14,14,16,14,10,15
"pattern_129",18,12,14,10,16,22,11
"pattern_130",18,12,10,6,10,20,3
"pattern_131",14,14,12,10,14,14,13
"pattern_132",9,9,13,13,9,11,14
"pattern_133",14,18,12,14,14,14,13
"pattern_134",11,7,9,11,11,13,12
"pattern_135",18,14,10,8,10,18,7
"pattern_136",10,14,14,16,16,14,17
"pattern_137",10,14,16,18,12,10,19
"pattern_138",16,10,10,6,12,18,9
"pattern_139",16,16,12,8,12,16,9
"pattern_140",20,12,14,10,12,20,9
"pattern_141",11,13,17,17,11,13,16
"pattern_142",14,10,8,8,12,16,9
"pattern_143",10,16,14,14,12,12,13
"pattern_144",18,12,12,8,12,18,5
"pattern_145",18,12,12,8,12,20,11
"pattern_146",20,14,14,10,8,20,11
"pattern_147",8,8,10,14,10,10,15
"pattern_148",14,16,12,12,12,14,11
"pattern_149",15,15,15,15,15,13,14
"pattern_150",14,14,16,14,14,14,17
"pattern_151",7,9,9,13,9,9,14
"pattern_152",18,12,10,6,12,18,7
"pattern_153",14,12,14,12,12,14,9
"pattern_154",8,12,18,18,14,6,17
"pattern_155",9,7,9,13,9,11,12
"pattern_156",14,16,10,14,14,12,15
"pattern_157",18,14,12,8,10,18,7
"pattern_158",16,14,10,10,14,22,11
"pattern_159",18,12,10,8,8,18,9
"pattern_160",12,14,14,12,14,12,15
"pattern_161",14,12,10,8,10,18,7
"pattern_162",16,12,12,10,16,20,11
"pattern_163",7,11,17,17,13,7,18
"pattern_164",10,10,12,14,10,12,15
"pattern_165",8,14,14,16,14,10,17
"pattern_166",18,12,8,6,12,18,7
"pattern_167",9,15,19,19,13,13,18
"pattern_168",11,9,9,9,9,13,10
"pattern_169",18,12,10,8,10,20,9
"pattern_170",18,16,12,8,10,18,7
"pattern_171",17,11,9,7,9,19,6
"pattern_172",13,17,17,17,13,17,18
"pattern_173",10,14,14,16,14,10,19
"pattern_174",10,8,14,14,8,12,13
"pattern_175",12,18,12,16,16,12,15
"pattern_176",17,13,11,7,9,19,4
"pattern_177",18,12,16,12,8,16,13
"pattern_178",18,14,10,8,12,22,7
"pattern_179",9,9,11,13,9,11,14
"pattern_180",13,5,11,11,9,13,10
"pattern_181",16,16,12,10,14,20,9
"pattern_182",9,11,9,11,11,13,12
"pattern_183",11,15,15,17,15,9,18
"pattern_184",7,15,17,17,13,11,18
"pattern_185",17,13,9,7,11,19,4
"pattern_186",14,18,14,16,14,12,15
"pattern_187",16,18,14,14,16,20,11
"pattern_188",8,14,14,16,12,10,15
"pattern_189",11,15,19,17,11,15,16
"pattern_190",18,12,10,6,14,20,9
"pattern_191",11,9,9,11,9,13,12
"pattern_192",12,16,16,16,14,12,15
"pattern_193",18,12,10,8,12,18,7
"pattern_194",6,12,18,18,14,8,19
"pattern_195",18,12,10,6,12,18,5
"pattern_196",14,18,14,14,16,14,13
"pattern_197",14,14,12,10,14,12,13
"pattern_198",18,10,10,6,10,18,7
"pattern_199",16,12,10,6,8,18,3
"pattern_200",9,15,17,15,11,11,16
"pattern_201",13,11,7,11,11,15,12
"pattern_202",6,14,18,18,16,8,19
"pattern_203",18,14,10,8,12,20,9
"pattern_204",11,9,11,11,9,13,12
"pattern_205",16,16,14,10,10,16,9
"pattern_206",18,12,10,6,10,18,7
"pattern_207",9,7,9,13,11,13,12
"pattern_208",18,12,10,6,12,16,9
"pattern_209",20,12,12,10,10,18,11
"pattern_210",9,11,13,13,11,13,12
"pattern_211",12,14,10,12,12,12,13
"pattern_212",16,14,10,8,14,20,11
"pattern_213",14,12,22,20,14,12,19
"pattern_214",18,12,12,8,14,20,7
"pattern_215",10,14,16,18,12,8,15
"pattern_216",10,10,14,14,10,10,15
"pattern_217",18,10,10,6,12,18,7
"pattern_218",10,16,18,18,12,14,17
"pattern_219",12,16,14,14,12,10,13
"pattern_220",18,10,14,8,10,18,7
"pattern_221",12,10,10,12,10,12,13
"pattern_222",13,13,13,11,13,11,14
"pattern_223",10,6,10,12,10,12,11
"pattern_224",13,15,11,15,13,11,16
"pattern_225",18,10,12,6,10,18,7
"pattern_226",16,14,14,14,12,18,15
"pattern_227",18,10,12,8,12,16,9
"pattern_228",15,13,11,9,9,17,4
"pattern_229",18,10,14,10,10,18,9
"pattern_230",10,14,14,16,14,12,17
"pattern_231",9,11,9,11,9,13,12
"pattern_232",18,14,14,12,14,22,13
"pattern_233",11,7,11,11,11,15,10
"pattern_234",14,12,18,14,12,14,17
"pattern_235",9,13,17,19,13,11,18
"pattern_236",20,10,10,6,14,20,7
"pattern_237",18,14,10,10,10,18,9
"pattern_238",14,16,14,12,12,20,9
"pattern_239",8,8,8,12,8,10,11
"pattern_240",11,15,15,13,15,13,16
"pattern_241",14,18,12,12,14,12,11
"pattern_242",18,14,12,8,10,20,3
"pattern_243",20,14,12,10,12,20,9
"pattern_244",15,15,13,9,11,15,10
"pattern_245",15,13,13,11,11,13,14
"pattern_246",7,13,17,19,15,11,18
"pattern_247",14,14,12,10,14,12,15
"pattern_248",12,14,16,14,14,14,15
"pattern_249",12,12,14,16,12,12,17
"pattern_250",16,16,14,12,12,22,7
"pattern_251",16,16,12,12,14,14,11
"pattern_252",6,14,18,18,14,10,19
"pattern_253",14,14,20,20,14,10,19
"pattern_254",7,17,17,17,15,9,16
"pattern_255",20,12,12,8,14,22,9
"pattern_256",10,16,18,18,14,14,17
"pattern_257",18,10,10,6,12,18,7
"pattern_258",18,12,10,8,12,16,9
"pattern_259",18,16,12,8,10,20,5
"pattern_260",6,8,10,12,10,10,13
"pattern_261",9,7,11,13,9,11,12
"pattern_262",18,14,12,8,12,18,7
"pattern_263",20,12,10,8,12,22,7
"pattern_264",8,14,16,18,14,12,17
"pattern_265",16,14,10,8,14,16,11
"pattern_266",16,8,10,6,10,16,7
"pattern_267",16,16,14,12,12,22,9
"pattern_268",16,14,12,10,12,16,7
"pattern_269",11,13,15,17,13,9,16
"pattern_270",12,14,14,14,14,10,13
"pattern_271",20,10,12,6,10,18,7
"pattern_272",10,10,8,10,8,12,11
"pattern_273",11,5,11,13,11,13,12
"pattern_274",12,14,18,16,16,14,19
"pattern_275",18,16,12,12,8,18,11
"pattern_276",18,14,12,8,12,18,9
"pattern_277",18,12,10,8,12,20,5
"pattern_278",20,10,14,10,14,20,11
"pattern_279",12,12,10,10,6,14,9
"pattern_280",18,12,14,10,12,20,13
"pattern_281",18,14,12,10,12,20,5
"pattern_282",10,10,12,12,8,14,9
"pattern_283",15,13,11,9,11,15,10
"pattern_284",20,10,10,6,14,20,9
"pattern_285",18,16,12,16,10,18,11
"pattern_286",9,15,15,17,15,13,16
"pattern_287",18,16,14,10,10,18,7
"pattern_288",18,12,12,8,8,18,9
"pattern_289",11,9,9,9,9,13,10
"pattern_290",20,10,12,8,10,18,7
"pattern_291",16,16,12,10,14,14,9
"pattern_292",18,10,16,10,10,18,9
"pattern_293",14,12,10,8,10,18,5
"pattern_294",15,13,11,7,11,15,10
"pattern_295",10,10,12,14,8,14,11
"pattern_296",10,14,14,16,12,10,17
"pattern_297",18,12,12,8,16,22,13
"pattern_298",7,9,11,13,11,11,14
"pattern_299",13,13,13,15,11,11,14
"pattern_300",18,12,12,8,10,18,7
"pattern_301",15,11,9,7,9,17,4
"pattern_302",18,12,12,8,14,20,11
"pattern_303",16,16,14,12,8,16,9
"pattern_304",17,11,9,7,9,19,6
"pattern_305",14,16,12,10,14,14,11
"pattern_306",18,12,10,8,12,20,5
"pattern_307",12,14,14,12,14,12,15
"pattern_308",11,11,7,9,9,13,10
"pattern_309",16,12,16,10,10,18,7
"pattern_310",11,9,9,11,11,15,10
"pattern_311",11,15,17,17,11,13,16
"pattern_312",18,12,10,8,10,20,5
"pattern_313",9,15,15,17,15,9,16
"pattern_314",18,14,10,8,12,18,7
"pattern_315",14,14,14,10,12,12,13
"pattern_316",18,14,14,10,12,20,9
"pattern_317",13,13,15,13,15,13,16
"pattern_318",8,14,16,16,12,10,17
"pattern_319",14,12,12,10,10,14,11
"pattern_320",8,8,8,12,10,12,11
"pattern_321",14,16,12,12,12,14,9
