"pattern","freq","best_archetype_within_K","best_dist_within_K","best_sim_jaccard_within_K"
"pattern_1",2454593,"Homo.Economicus",3,0
"pattern_12",770663,"Homo.Economicus",5,0
"pattern_7",623928,"Homo.Economicus",4,0
"pattern_3",605169,"Uninterested",4,0.333333333333333
"pattern_18",455352,"Uninterested",4,0.25
"pattern_6",439103,"Uninterested",5,0.25
"pattern_4",394758,"Homo.Economicus",8,0.111111111111111
"pattern_8",292107,"Homo.Economicus",7,0.125
"pattern_2",242945,"Homo.Economicus",3,0
"pattern_10",195348,"Homo.Economicus",5,0
"pattern_5",191204,"Homo.Economicus",6,0
"pattern_20",147069,"Homo.Economicus",4,0.2
"pattern_19",134646,"Uninterested",5,0.2
"pattern_13",123316,"Homo.Economicus",5,0
"pattern_15",119153,"Homo.Economicus",4,0
"pattern_21",102417,"Homo.Economicus",5,0
"pattern_24",88309,"Homo.Economicus",4,0
"pattern_9",83831,"Homo.Economicus",4,0
"pattern_17",78154,"Homo.Economicus",6,0.142857142857143
"pattern_29",59140,"Homo.Economicus",5,0.166666666666667
"pattern_16",48570,"Uninterested",5,0.333333333333333
"pattern_14",43834,"Homo.Economicus",4,0
"pattern_23",38364,"Homo.Economicus",5,0
"pattern_26",34320,"Homo.Economicus",6,0.142857142857143
"pattern_27",33847,"Uninterested",4,0.5
"pattern_32",32105,"Homo.Economicus",5,0
"pattern_31",18966,"Homo.Economicus",6,0
"pattern_30",17141,"Homo.Economicus",4,0
"pattern_37",12425,"Homo.Economicus",5,0.166666666666667
"pattern_25",11752,"Uninterested",6,0.2
"pattern_41",10371,"Homo.Economicus",6,0
"pattern_44",9995,"Homo.Economicus",6,0
"pattern_33",8569,"Homo.Economicus",6,0
"pattern_38",8415,"Homo.Economicus",4,0
"pattern_39",7809,"Homo.Economicus",6,0
"pattern_28",7110,"Homo.Economicus",5,0.166666666666667
"pattern_46",6660,"Homo.Economicus",6,0.142857142857143
"pattern_34",5635,"Homo.Economicus",4,0.25
"pattern_43",4261,"Homo.Economicus",7,0.125
"pattern_42",4175,"Homo.Economicus",7,0
"pattern_45",3694,"Homo.Economicus",5,0
"pattern_53",2913,"Uninterested",6,0.25
"pattern_11",2803,"Uninterested",6,0.25
"pattern_48",2571,"Homo.Economicus",7,0.125
"pattern_36",2459,"Uninterested",6,0.166666666666667
"pattern_40",1792,"Homo.Economicus",6,0
"pattern_67",1421,"Homo.Economicus",3,0.25
"pattern_52",1211,"Homo.Economicus",5,0
"pattern_51",1109,"Homo.Economicus",6,0
"pattern_54",1092,"Homo.Economicus",4,0
"pattern_55",1007,"Homo.Economicus",7,0
"pattern_61",982,"Homo.Economicus",5,0
"pattern_57",910,"Homo.Economicus",3,0
"pattern_50",860,"Homo.Economicus",4,0
"pattern_35",759,"Uninterested",6,0.2
"pattern_66",579,"Uninterested",7,0.2
"pattern_63",576,"Homo.Economicus",6,0
"pattern_56",540,"Uninterested",5,0.2
"pattern_64",516,"Homo.Economicus",5,0.2
"pattern_49",494,"Homo.Economicus",5,0
"pattern_75",492,"Homo.Economicus",5,0
"pattern_22",413,"Homo.Economicus",7,0.125
"pattern_72",352,"Homo.Economicus",6,0.142857142857143
"pattern_58",334,"Uninterested",7,0.166666666666667
"pattern_47",323,"Homo.Economicus",5,0
"pattern_60",284,"Homo.Economicus",4,0
"pattern_85",233,"Uninterested",5,0.25
"pattern_62",227,"Homo.Economicus",7,0
"pattern_91",221,"Homo.Economicus",5,0
"pattern_80",212,"Homo.Economicus",4,0.2
"pattern_88",194,"Homo.Economicus",7,0
"pattern_73",178,"Uninterested",6,0.2
"pattern_95",175,"Uninterested",4,0.333333333333333
"pattern_96",159,"Uninterested",5,0.25
