"pattern","freq","best_archetype_within_K","best_dist_within_K","best_sim_jaccard_within_K"
"pattern_4",2740460,"Careful",3,0.4
"pattern_3",2195166,"Careful",7,0.222222222222222
"pattern_1",1199441,"Careful",3,0.5
"pattern_2",663042,"Careful",4,0.333333333333333
"pattern_7",212788,"Careful",6,0.25
"pattern_8",198628,"Careful",3,0.5
"pattern_6",184764,"Careful",3,0.666666666666667
"pattern_5",151960,"Careful",5,0.285714285714286
"pattern_9",145369,"Careful",4,0.333333333333333
"pattern_12",68325,"Careful",3,1
"pattern_11",55134,"Careful",6,0.25
"pattern_14",45484,"Careful",5,0.285714285714286
"pattern_16",39260,"Careful",4,0.4
"pattern_15",26302,"Careful",6,0.25
"pattern_18",23887,"Careful",5,0.285714285714286
"pattern_17",16417,"Careful",5,0.285714285714286
"pattern_13",10644,"Careful",4,0.333333333333333
"pattern_10",3615,"Careful",4,0.5
"pattern_20",3358,"Careful",3,0.666666666666667
"pattern_21",2542,"Careful",3,0.666666666666667
"pattern_24",2393,"Influencer",6,0.25
"pattern_19",1459,"Careful",5,0.333333333333333
"pattern_32",1158,"Careful",6,0.285714285714286
"pattern_29",865,"Careful",4,0.4
"pattern_25",853,"Careful",6,0.25
"pattern_23",832,"Careful",4,0.4
"pattern_28",822,"Careful",5,0.285714285714286
"pattern_22",751,"Careful",5,0.333333333333333
"pattern_30",747,"Careful",4,0.4
"pattern_34",725,"Careful",6,0.285714285714286
"pattern_31",592,"Careful",4,0.333333333333333
"pattern_36",584,"Careful",5,0
"pattern_38",411,"Careful",4,0.333333333333333
"pattern_37",266,"Careful",5,0.333333333333333
"pattern_27",255,"Careful",5,0.285714285714286
"pattern_35",170,"Careful",5,0.333333333333333
"pattern_39",142,"Careful",3,0.5
"pattern_33",124,"Careful",6,0.285714285714286
"pattern_26",88,"Careful",6,0.285714285714286
"pattern_42",36,"Careful",5,0.333333333333333
"pattern_41",35,"Careful",4,0.4
"pattern_49",23,"Careful",4,0.333333333333333
"pattern_43",17,"Careful",4,0.5
"pattern_40",13,"Careful",4,0.5
"pattern_44",11,"Careful",4,0.333333333333333
"pattern_53",5,"Careful",4,0.5
"pattern_57",5,"Careful",5,0.333333333333333
"pattern_47",4,"Careful",4,0.25
"pattern_48",4,"Influencer",6,0.25
"pattern_52",4,"Careful",5,0.333333333333333
"pattern_55",4,"Careful",6,0
"pattern_59",3,"Careful",5,0
"pattern_45",2,"Careful",4,0.25
"pattern_46",2,"Influencer",6,0.285714285714286
"pattern_51",2,"Careful",4,0.4
"pattern_50",1,"Influencer",5,0.4
"pattern_54",1,"Influencer",7,0.142857142857143
"pattern_56",1,"Careful",4,0.4
"pattern_58",1,"Careful",4,0.5
"pattern_60",1,"Careful",4,0.4
"pattern_61",1,"Careful",6,0.285714285714286
"pattern_62",1,"Careful",4,0.333333333333333
